,m1,m2,m3,m4,m5,m6,m7,m8
T1,109.54,1.0,5.3,26.94,160.99,25.01,159.55,1.05
T2,106.55,1.09,5.22,25.64,160.09,25.02,151.01,1.04
T3,104.42,1.08,5.46,25.63,152.62,27.02,158.88,1.01
T4,100.79,1.05,5.28,25.85,159.14,26.34,154.76,1.05
T5,108.4,1.02,5.29,25.83,154.39,26.29,152.45,1.03
T6,104.2,1.01,5.28,27.13,155.58,26.34,163.35,1.06
T7,104.11,1.1,5.17,26.17,151.6,26.2,163.76,1.02
T8,106.53,1.06,5.2,25.15,156.67,27.08,151.52,1.05
T9,107.95,1.02,5.32,27.0,158.49,27.01,152.93,1.05
T10,102.85,1.03,5.49,26.09,160.58,27.47,150.36,1.1
