,m1,m2,m3,m4,m5,m6,m7,m8
T1,105.13,27.13,10.19,1.08,1.1,25.27,10.29,105.37
T2,102.43,26.14,10.53,1.1,1.06,26.8,10.74,105.96
T3,107.18,27.26,10.78,1.03,1.02,26.39,10.24,100.91
T4,108.72,26.97,10.86,1.1,1.04,27.07,10.56,104.81
T5,107.6,26.11,10.11,1.04,1.03,26.42,10.72,109.72
T6,102.33,27.39,10.2,1.05,1.02,26.29,10.37,101.91
T7,108.13,27.23,10.13,1.03,1.03,25.33,10.58,103.39
T8,102.1,26.36,10.22,1.04,1.01,27.03,10.84,102.71
T9,108.7,26.5,10.35,1.02,1.04,27.2,10.11,105.38
T10,103.33,25.71,10.97,1.03,1.07,26.39,10.95,107.23
