,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.01,5.33,100.85,26.9,103.53,107.89,10.17,100.11
T2,25.2,5.47,105.34,26.69,101.94,104.0,10.03,104.42
T3,25.46,5.33,105.75,27.04,106.12,105.03,10.12,104.07
T4,27.06,5.38,100.87,25.03,109.29,108.98,10.96,108.57
T5,25.29,5.22,109.34,25.37,103.1,100.06,10.41,100.37
T6,27.22,5.36,109.13,26.95,108.65,109.98,10.37,101.15
T7,25.16,5.08,103.44,27.5,104.01,109.31,10.88,102.23
T8,26.71,5.14,100.85,26.66,103.2,106.64,10.62,106.65
T9,26.25,5.15,106.9,25.58,102.08,105.95,10.28,104.92
T10,27.41,5.26,109.46,25.64,104.45,107.09,10.15,104.52
