,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.18,26.27,154.88,10.3,155.68,150.17,104.36,1.02
T2,5.36,27.02,162.82,10.0,155.32,150.92,104.21,1.01
T3,5.3,26.19,157.23,10.05,155.22,159.26,103.83,1.01
T4,5.3,25.64,158.11,10.46,160.37,160.22,105.14,1.06
T5,5.49,26.02,150.41,10.17,159.3,156.56,109.22,1.04
T6,5.44,26.89,159.87,10.24,157.24,157.49,101.02,1.06
T7,5.16,26.31,155.77,10.6,164.62,156.04,109.49,1.04
T8,5.29,25.11,151.05,10.48,164.45,163.33,108.75,1.02
T9,5.23,26.4,152.13,10.66,162.71,155.25,108.71,1.02
T10,5.15,25.23,152.73,10.15,164.32,150.87,109.65,1.07
