,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.44,10.31,104.01,160.1,1.0,5.35,102.87,5.06
T2,5.05,10.67,102.63,150.33,1.08,5.25,107.52,5.44
T3,5.42,10.29,102.23,161.54,1.07,5.04,101.64,5.19
T4,5.22,10.63,101.69,155.74,1.06,5.14,102.86,5.47
T5,5.26,10.05,100.09,159.82,1.1,5.31,101.88,5.16
T6,5.46,10.46,105.24,153.77,1.09,5.11,101.26,5.1
T7,5.44,10.79,108.69,152.05,1.0,5.25,104.54,5.47
T8,5.48,10.74,104.24,156.98,1.07,5.24,102.76,5.36
T9,5.45,10.96,102.88,160.6,1.1,5.33,101.19,5.23
T10,5.42,10.52,107.57,161.98,1.01,5.41,102.01,5.42
