,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.64,108.22,25.9,10.1,10.06,5.28,105.14,163.17
T2,10.27,102.89,26.73,10.13,10.4,5.44,105.06,157.49
T3,10.14,102.84,26.63,10.39,10.74,5.38,101.04,153.84
T4,10.92,101.73,27.26,10.01,10.94,5.1,105.98,157.53
T5,10.4,104.49,26.64,10.25,10.86,5.1,103.34,159.61
T6,10.6,104.02,25.01,10.09,10.38,5.42,102.78,163.83
T7,10.12,108.38,26.49,10.11,10.14,5.23,102.22,163.11
T8,10.81,109.98,26.25,10.67,10.08,5.26,102.93,155.24
T9,10.08,102.63,25.41,10.01,10.13,5.12,109.02,162.85
T10,10.21,109.42,26.35,10.34,10.0,5.07,102.32,163.66
