,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.03,105.5,10.86,150.45,26.02,105.4,10.13,10.64
T2,1.04,106.35,10.28,155.65,26.12,104.73,10.82,10.6
T3,1.1,108.59,10.08,155.0,25.65,109.03,10.75,10.46
T4,1.02,102.27,10.45,163.07,25.14,101.36,10.77,10.66
T5,1.01,109.22,10.9,160.89,26.35,104.12,10.52,10.52
T6,1.03,104.84,10.59,153.56,26.46,104.32,10.56,10.59
T7,1.08,109.67,10.98,159.78,25.12,104.51,10.07,10.95
T8,1.09,101.3,10.07,162.84,25.74,103.9,10.37,10.23
T9,1.01,109.2,10.94,162.18,25.15,102.22,10.79,10.81
T10,1.04,102.03,10.28,152.24,25.62,108.94,10.0,10.73
