,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.7,5.29,5.11,27.42,25.81,153.28,27.02,109.64
T2,25.5,5.14,5.43,26.79,27.14,152.09,25.01,105.94
T3,27.16,5.34,5.27,27.07,27.36,150.22,25.34,107.71
T4,26.45,5.01,5.18,25.35,26.88,162.07,25.69,107.42
T5,25.07,5.26,5.33,25.68,27.13,164.37,25.57,103.86
T6,26.04,5.27,5.24,25.28,26.73,153.26,26.8,102.9
T7,26.27,5.34,5.49,26.78,25.94,158.47,26.06,105.19
T8,27.11,5.15,5.2,26.85,25.46,153.39,26.58,104.61
T9,26.18,5.33,5.13,25.58,25.44,154.61,25.56,103.72
T10,25.92,5.15,5.33,25.76,26.6,164.99,26.38,100.51
