,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.77,25.95,102.12,10.36,26.72,101.09,26.28,155.56
T2,10.09,26.02,107.7,10.08,27.02,106.91,26.12,158.49
T3,10.53,27.16,109.35,10.59,26.69,108.15,25.94,153.94
T4,10.65,25.61,102.09,10.3,25.1,102.02,25.23,153.64
T5,10.32,26.29,101.28,10.79,25.3,103.08,27.41,162.88
T6,10.74,26.92,104.72,10.19,27.03,108.89,26.94,150.78
T7,10.57,25.55,102.2,10.21,25.29,103.2,25.07,151.7
T8,10.04,26.56,105.35,10.77,25.84,107.22,25.85,158.69
T9,10.32,25.81,109.98,10.82,25.46,108.15,26.52,161.22
T10,10.62,25.34,101.26,10.6,26.08,105.33,26.9,163.53
