,m1,m2,m3,m4,m5,m6,m7,m8
T1,106.67,1.0,10.19,26.27,10.35,26.93,10.22,10.55
T2,108.38,1.07,10.59,27.38,10.26,26.19,10.88,10.36
T3,102.02,1.07,10.03,27.22,10.91,26.33,10.98,10.83
T4,106.83,1.06,10.94,26.63,10.48,25.73,10.19,10.95
T5,106.3,1.04,10.35,26.54,10.04,26.52,10.4,10.44
T6,107.7,1.04,10.75,27.21,10.28,25.38,10.48,10.17
T7,104.46,1.03,10.1,25.75,10.97,27.33,10.98,10.12
T8,104.0,1.06,10.02,25.13,10.94,26.38,10.49,10.45
T9,103.42,1.03,10.14,26.71,10.01,26.23,10.4,10.04
T10,102.94,1.04,10.07,25.81,10.17,27.08,10.03,10.34
