,m1,m2,m3,m4,m5,m6,m7,m8
T1,105.1,25.61,104.9,1.02,103.94,10.17,105.15,1.03
T2,107.26,27.48,106.99,1.08,101.65,10.29,102.11,1.09
T3,108.46,27.25,106.57,1.05,101.8,10.88,109.44,1.02
T4,103.32,27.16,108.95,1.08,103.92,10.95,100.9,1.01
T5,104.88,26.16,100.37,1.02,102.91,10.31,101.96,1.05
T6,109.1,26.08,105.41,1.06,103.29,10.54,101.55,1.08
T7,103.38,25.06,107.39,1.08,101.17,10.35,106.5,1.05
T8,106.94,27.37,109.22,1.07,101.93,10.86,109.08,1.05
T9,102.99,26.31,106.66,1.04,100.46,10.95,102.74,1.02
T10,108.94,25.01,109.89,1.07,108.23,10.97,105.1,1.08
