,m1,m2,m3,m4,m5,m6,m7,m8
T1,107.18,1.08,1.09,10.36,25.81,1.01,100.78,109.0
T2,106.89,1.05,1.06,10.14,25.17,1.08,108.98,109.3
T3,109.72,1.09,1.08,10.34,26.5,1.05,104.14,107.48
T4,108.27,1.09,1.05,10.98,26.65,1.08,106.72,101.55
T5,106.16,1.04,1.06,10.21,25.83,1.02,109.59,104.18
T6,103.02,1.03,1.05,10.84,26.19,1.01,107.9,102.62
T7,109.55,1.07,1.02,10.27,25.57,1.1,105.86,103.9
T8,107.94,1.04,1.07,10.86,26.34,1.0,103.38,103.87
T9,107.81,1.03,1.03,10.03,26.07,1.03,102.15,106.38
T10,105.4,1.09,1.01,10.64,26.65,1.06,100.53,101.15
