,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.02,161.51,27.47,27.45,103.27,107.41,27.33,154.56
T2,1.08,153.63,26.54,25.08,108.58,104.23,27.18,156.99
T3,1.08,151.14,26.59,26.88,109.94,106.04,27.26,154.92
T4,1.04,151.99,26.04,27.03,109.34,107.02,25.37,156.45
T5,1.04,150.21,26.19,26.49,100.05,104.72,26.03,154.29
T6,1.01,161.46,25.21,26.04,104.73,102.62,25.58,154.72
T7,1.06,163.43,26.91,26.58,109.82,103.03,27.2,150.76
T8,1.04,150.36,25.83,26.39,106.18,102.28,26.64,151.84
T9,1.08,159.1,27.45,26.32,103.46,103.69,27.15,151.98
T10,1.09,152.14,25.06,25.49,104.29,106.11,26.49,160.29
