,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.53,5.23,27.18,100.64,159.36,26.31,5.28,5.0
T2,25.77,5.48,25.32,100.79,154.67,26.58,5.35,5.32
T3,27.3,5.15,26.42,101.79,157.99,26.62,5.07,5.29
T4,26.2,5.19,26.1,104.05,156.63,25.08,5.39,5.28
T5,25.95,5.26,27.39,101.76,151.77,27.16,5.04,5.41
T6,27.09,5.04,25.03,100.48,155.36,26.66,5.01,5.05
T7,27.25,5.4,27.03,106.4,159.37,25.36,5.29,5.03
T8,25.78,5.11,26.32,104.27,164.74,25.35,5.37,5.39
T9,26.83,5.42,26.39,100.57,163.3,25.79,5.28,5.13
T10,27.34,5.02,26.72,104.39,164.67,26.19,5.12,5.47
