,m1,m2,m3,m4,m5,m6,m7,m8
T1,105.69,25.67,10.33,5.01,26.06,104.36,25.5,5.28
T2,100.96,27.21,10.13,5.42,25.91,109.15,25.03,5.28
T3,100.48,26.44,10.59,5.27,26.35,107.8,25.46,5.26
T4,107.18,27.49,10.62,5.23,25.21,102.83,25.64,5.34
T5,104.39,26.16,10.39,5.24,26.06,101.2,25.85,5.11
T6,107.78,25.35,10.38,5.45,25.19,106.95,25.13,5.48
T7,107.65,26.81,10.12,5.4,26.01,102.53,27.05,5.12
T8,104.71,27.0,10.92,5.0,26.06,107.97,26.24,5.3
T9,107.94,27.08,10.87,5.2,25.64,107.54,27.11,5.04
T10,100.68,27.22,10.44,5.21,27.17,109.62,25.12,5.35
