,m1,m2,m3,m4,m5,m6,m7,m8
T1,103.68,103.06,109.82,26.42,5.32,1.06,25.78,26.47
T2,103.93,100.62,107.49,25.14,5.18,1.07,25.01,26.28
T3,104.64,103.37,106.59,26.48,5.13,1.1,25.83,26.38
T4,107.79,109.7,104.09,26.76,5.43,1.01,25.61,26.22
T5,100.41,109.75,104.36,25.84,5.47,1.02,26.67,25.11
T6,106.85,106.12,100.46,26.26,5.25,1.08,25.54,25.36
T7,108.01,109.35,100.38,27.38,5.11,1.03,26.2,26.9
T8,108.28,102.15,105.71,27.2,5.47,1.06,27.22,26.38
T9,104.8,107.66,101.8,25.45,5.23,1.05,26.38,27.41
T10,105.47,102.34,108.53,25.65,5.05,1.09,26.45,26.55
