,m1,m2,m3,m4,m5,m6,m7,m8
T1,152.29,10.35,100.42,102.48,5.3,27.43,10.7,107.2
T2,152.96,10.5,102.09,107.9,5.41,25.33,10.93,100.89
T3,158.24,10.08,104.6,103.85,5.24,26.18,10.26,109.96
T4,155.77,10.43,109.16,109.33,5.48,26.31,10.9,105.31
T5,159.04,10.71,109.87,103.27,5.34,27.34,10.05,105.45
T6,160.47,10.27,109.0,103.6,5.47,26.55,10.67,100.89
T7,160.77,10.36,101.12,104.36,5.4,26.34,10.25,103.64
T8,155.79,10.16,103.57,100.59,5.24,26.55,10.17,103.74
T9,150.99,10.52,108.0,102.67,5.48,25.07,10.69,100.2
T10,154.59,10.29,108.1,107.28,5.45,25.44,10.08,103.58
