,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.9,100.45,109.07,151.82,10.07,154.2,1.06,1.02
T2,10.52,104.38,100.45,160.22,10.21,158.68,1.01,1.03
T3,10.88,100.46,103.64,152.56,10.43,155.54,1.02,1.05
T4,10.11,104.7,102.29,163.41,10.01,151.26,1.03,1.01
T5,10.56,101.89,102.89,154.03,10.47,156.57,1.02,1.06
T6,10.48,103.38,109.03,153.11,10.59,154.81,1.07,1.02
T7,10.79,107.07,107.63,155.64,10.89,159.3,1.01,1.05
T8,10.85,103.4,106.57,153.45,10.18,153.24,1.02,1.02
T9,10.04,103.22,106.52,161.72,10.05,159.13,1.04,1.03
T10,10.55,109.77,103.56,153.78,10.4,159.43,1.03,1.06
