,m1,m2,m3,m4,m5,m6,m7,m8
T1,27.33,107.18,107.54,10.58,108.49,27.06,156.57,10.41
T2,26.51,107.49,108.26,10.08,108.03,26.69,156.76,10.55
T3,25.19,100.19,103.24,10.66,101.77,26.03,158.24,10.83
T4,26.56,108.73,100.95,10.27,109.27,26.79,164.95,10.72
T5,27.07,106.85,108.76,10.09,103.46,26.59,160.09,10.9
T6,26.56,107.26,106.81,10.78,108.55,26.6,153.66,10.54
T7,26.53,104.8,107.15,10.06,109.94,26.3,162.15,10.46
T8,25.94,109.8,104.15,10.34,108.81,25.34,155.86,10.47
T9,26.43,105.71,102.01,10.87,100.48,26.62,150.52,10.76
T10,25.45,102.23,102.97,10.4,101.31,26.4,162.3,10.88
