,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.31,103.95,10.43,10.6,10.39,10.66,161.49,106.8
T2,5.48,100.93,10.91,10.63,10.29,10.75,157.69,104.05
T3,5.07,109.95,10.08,11.0,10.62,10.81,151.02,102.52
T4,5.05,104.76,10.64,10.36,10.31,10.09,163.64,108.07
T5,5.3,101.65,10.36,10.64,10.2,10.05,162.26,108.84
T6,5.31,100.76,10.41,10.18,10.61,10.44,160.97,106.19
T7,5.23,105.62,10.79,10.32,10.84,10.53,163.59,102.58
T8,5.46,102.14,10.9,10.49,10.25,10.5,158.1,103.14
T9,5.17,109.92,10.42,10.25,10.53,10.43,158.59,108.52
T10,5.09,101.42,10.82,10.13,10.9,10.55,162.21,101.62
