,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.75,25.82,10.87,1.07,108.61,1.06,25.19,5.11
T2,26.7,25.69,10.31,1.08,105.13,1.06,25.21,5.16
T3,25.96,26.73,10.96,1.04,109.12,1.04,26.61,5.29
T4,26.89,25.47,10.16,1.04,105.37,1.06,26.34,5.38
T5,27.23,25.49,10.01,1.06,101.36,1.07,27.25,5.25
T6,25.74,27.28,10.93,1.05,101.2,1.09,26.24,5.44
T7,25.92,25.56,10.45,1.07,107.17,1.09,25.88,5.26
T8,26.57,27.15,10.78,1.09,104.42,1.0,25.79,5.17
T9,26.1,26.29,10.06,1.1,104.24,1.02,26.09,5.05
T10,25.04,25.35,10.88,1.02,106.12,1.01,25.41,5.27
