,m1,m2,m3,m4,m5,m6,m7,m8
T1,102.77,5.4,104.67,27.42,150.46,1.08,156.49,26.37
T2,107.18,5.02,104.14,26.62,159.95,1.1,157.02,26.27
T3,104.31,5.28,100.44,26.06,159.27,1.04,157.87,25.26
T4,103.43,5.33,108.33,26.05,159.87,1.08,156.11,26.37
T5,104.68,5.16,101.59,25.87,159.22,1.01,151.5,25.64
T6,109.01,5.45,103.86,25.49,155.68,1.01,153.26,25.52
T7,107.88,5.04,103.77,26.34,150.39,1.08,151.15,27.15
T8,105.86,5.27,105.37,26.04,151.87,1.03,157.51,25.41
T9,104.28,5.13,101.47,26.63,161.02,1.1,151.55,25.4
T10,109.45,5.15,107.06,25.43,159.87,1.03,155.43,27.46
