,m1,m2,m3,m4,m5,m6,m7,m8
T1,101.8,108.94,108.56,10.87,1.08,102.1,160.0,1.07
T2,105.9,104.85,108.09,10.84,1.08,106.93,152.34,1.03
T3,101.78,103.37,104.45,10.52,1.02,101.31,160.24,1.0
T4,105.9,101.48,101.74,10.41,1.05,100.79,156.87,1.02
T5,109.53,109.98,100.13,10.14,1.07,105.48,150.37,1.02
T6,102.45,105.03,106.83,10.33,1.04,108.84,163.83,1.04
T7,107.08,103.03,106.65,10.81,1.02,107.15,155.66,1.09
T8,101.25,109.42,104.63,10.48,1.09,104.63,159.94,1.03
T9,107.76,109.05,108.21,10.84,1.08,108.69,159.2,1.03
T10,101.38,101.52,108.55,10.37,1.03,100.69,152.54,1.06
