,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.35,109.57,105.65,25.56,5.11,1.02,106.7,25.89
T2,26.92,108.64,108.96,27.43,5.02,1.09,102.41,26.72
T3,27.16,108.58,103.37,27.05,5.47,1.0,105.05,25.32
T4,25.03,103.78,101.28,25.24,5.45,1.01,103.19,25.77
T5,26.66,100.68,100.66,26.08,5.47,1.1,100.57,27.16
T6,27.36,108.96,105.31,26.66,5.48,1.0,103.26,25.38
T7,26.88,105.13,102.76,26.69,5.06,1.09,101.71,25.73
T8,25.12,109.31,102.83,25.73,5.23,1.07,103.15,25.95
T9,27.1,108.33,107.69,26.65,5.06,1.06,103.74,26.06
T10,27.42,108.18,100.07,26.85,5.33,1.08,107.75,25.85
