,m1,m2,m3,m4,m5,m6,m7,m8
T1,104.26,10.64,108.46,26.1,5.34,1.06,10.38,10.58
T2,105.57,10.62,101.23,27.08,5.23,1.01,10.08,10.04
T3,100.21,10.09,108.55,26.57,5.31,1.06,11.0,10.41
T4,103.93,10.49,100.75,26.26,5.05,1.0,10.96,10.55
T5,104.6,10.94,109.08,27.28,5.45,1.08,10.49,10.5
T6,101.57,10.12,101.03,26.67,5.15,1.03,10.15,10.65
T7,108.23,10.34,103.34,27.27,5.45,1.01,10.51,10.36
T8,100.21,10.6,103.21,26.92,5.08,1.02,10.96,10.73
T9,105.06,10.47,105.59,26.76,5.15,1.01,10.77,10.57
T10,108.57,10.14,109.46,26.22,5.18,1.03,10.26,10.47
