,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.77,104.32,103.85,161.75,161.78,101.63,5.06,103.33
T2,10.6,108.78,106.15,156.36,164.37,108.54,5.39,108.76
T3,10.08,100.32,107.06,158.29,162.83,109.54,5.24,105.48
T4,10.73,105.39,107.45,158.68,152.64,107.57,5.47,108.78
T5,10.86,103.01,101.1,163.59,163.8,104.17,5.01,100.03
T6,10.03,101.16,108.48,155.71,157.54,104.61,5.17,104.27
T7,10.05,109.94,103.95,153.59,158.07,108.9,5.29,102.5
T8,10.39,107.73,103.5,156.66,156.21,105.39,5.46,102.63
T9,10.78,106.0,102.38,158.07,155.37,104.13,5.25,100.36
T10,10.3,108.73,109.9,156.59,162.22,102.8,5.04,109.26
