,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.86,1.1,5.29,5.26,10.87,25.41,27.05,10.13
T2,10.21,1.02,5.31,5.2,10.82,26.62,25.64,10.48
T3,10.84,1.06,5.26,5.14,10.77,25.16,25.73,10.05
T4,10.62,1.08,5.14,5.37,10.56,26.73,25.25,10.1
T5,10.18,1.02,5.46,5.47,10.79,27.46,26.09,10.67
T6,10.44,1.04,5.25,5.37,10.4,25.42,26.74,10.84
T7,10.14,1.02,5.22,5.02,10.27,26.04,25.64,10.75
T8,10.44,1.08,5.05,5.46,10.72,25.98,26.65,10.56
T9,10.63,1.09,5.27,5.33,10.44,25.87,26.86,10.04
T10,10.24,1.06,5.33,5.09,10.54,27.18,26.86,10.83
