,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.38,163.4,1.09,5.5,102.65,27.1,25.27,25.04
T2,27.18,152.63,1.02,5.24,101.36,25.61,25.77,27.08
T3,25.86,158.06,1.07,5.18,106.43,26.37,26.97,26.02
T4,26.79,161.34,1.06,5.35,107.73,26.65,26.98,27.29
T5,26.62,153.55,1.04,5.32,109.54,27.28,25.4,25.18
T6,26.18,155.77,1.09,5.19,109.57,25.34,26.51,27.4
T7,26.21,161.36,1.02,5.29,109.31,25.75,27.26,26.35
T8,26.69,159.33,1.08,5.32,102.14,25.7,27.01,26.38
T9,27.09,153.71,1.0,5.28,105.06,25.73,25.35,25.74
T10,26.49,158.6,1.09,5.1,103.81,27.29,27.33,26.16
