,m1,m2,m3,m4,m5,m6,m7,m8
T1,160.48,27.28,154.45,107.73,26.87,158.99,1.01,1.09
T2,158.13,25.72,160.65,104.31,26.39,157.95,1.05,1.1
T3,161.79,26.56,156.71,104.65,26.53,161.88,1.06,1.06
T4,161.42,27.08,153.68,100.15,25.67,158.61,1.08,1.05
T5,163.59,26.09,150.71,102.94,26.42,161.07,1.09,1.01
T6,162.79,25.4,161.14,109.26,25.52,156.92,1.07,1.1
T7,163.57,26.99,159.12,101.28,27.08,152.07,1.02,1.07
T8,158.63,26.45,160.34,107.64,25.76,160.2,1.05,1.05
T9,163.9,27.09,158.62,103.29,26.0,161.65,1.02,1.08
T10,161.2,26.84,160.71,100.91,27.35,163.54,1.06,1.0
