,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.08,25.54,26.11,10.99,153.13,25.9,159.47,26.34
T2,1.02,25.54,27.18,10.34,150.74,26.97,161.41,26.26
T3,1.07,25.91,25.74,10.93,159.84,26.17,158.56,25.45
T4,1.1,25.76,26.17,10.22,161.51,25.93,158.96,26.75
T5,1.07,25.46,25.8,10.52,164.24,25.1,163.05,26.97
T6,1.05,26.1,26.97,10.47,153.78,26.26,159.96,25.59
T7,1.01,26.65,27.02,10.82,153.18,26.59,157.33,27.42
T8,1.04,26.46,27.2,10.78,164.86,26.22,162.13,25.38
T9,1.03,27.14,26.44,10.71,153.23,26.22,153.71,26.49
T10,1.08,25.69,25.23,10.06,161.07,27.03,164.65,27.21
