,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.66,10.2,5.35,152.11,1.02,104.61,10.18,157.15
T2,27.03,10.68,5.01,163.78,1.08,101.18,10.53,161.37
T3,25.81,10.48,5.15,160.05,1.07,104.84,10.83,154.96
T4,25.28,10.86,5.15,163.12,1.05,100.1,10.6,155.83
T5,26.71,10.92,5.07,152.51,1.07,106.15,10.45,154.21
T6,26.61,10.38,5.09,155.98,1.09,105.29,10.45,151.45
T7,25.03,10.7,5.04,154.8,1.07,107.21,10.12,160.31
T8,26.89,10.38,5.33,162.21,1.05,108.26,10.85,162.08
T9,26.21,10.94,5.42,151.76,1.02,106.32,10.14,150.21
T10,25.21,10.23,5.2,155.6,1.02,106.5,10.01,157.99
