,m1,m2,m3,m4,m5,m6,m7,m8
T1,103.07,10.49,25.21,5.46,26.11,102.88,102.33,1.02
T2,103.86,10.45,25.37,5.5,25.92,107.04,102.6,1.01
T3,101.18,10.19,26.21,5.02,26.79,109.41,104.74,1.08
T4,102.92,10.37,27.08,5.45,26.89,101.78,107.28,1.09
T5,106.93,10.01,25.23,5.11,25.35,103.65,104.99,1.06
T6,108.72,10.35,25.37,5.41,26.45,102.04,101.15,1.03
T7,107.11,10.05,25.68,5.2,26.25,109.15,104.58,1.09
T8,106.33,10.04,26.38,5.42,27.15,106.61,100.57,1.02
T9,105.6,10.81,25.84,5.18,25.85,108.11,101.37,1.0
T10,105.7,10.17,27.14,5.31,25.92,102.35,103.06,1.03
