,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.21,25.18,10.36,101.36,5.38,155.58,105.18,106.73
T2,10.98,25.11,10.48,104.93,5.29,154.42,104.88,108.95
T3,10.66,26.05,10.01,105.54,5.19,151.01,105.39,100.87
T4,10.24,27.07,10.84,105.9,5.48,161.64,107.6,102.74
T5,10.59,25.98,10.33,100.99,5.34,162.28,107.38,106.73
T6,10.83,27.45,10.83,107.21,5.35,157.64,102.07,107.49
T7,10.4,25.57,10.97,100.02,5.06,160.59,101.18,106.49
T8,10.24,25.11,10.62,109.21,5.21,164.86,100.88,107.62
T9,10.85,27.0,10.51,104.93,5.02,150.41,103.1,102.88
T10,10.93,25.83,10.06,101.96,5.19,161.19,105.55,106.25
