,m1,m2,m3,m4,m5,m6,m7,m8
T1,108.42,1.05,26.23,27.48,26.33,157.16,109.56,10.84
T2,100.79,1.04,26.44,27.38,26.38,155.38,100.89,10.63
T3,101.93,1.08,25.38,25.2,25.69,151.33,104.59,10.23
T4,106.45,1.01,26.36,26.85,25.45,156.3,103.46,10.91
T5,107.95,1.04,27.3,27.09,25.4,164.9,107.12,10.26
T6,102.75,1.02,27.16,25.59,25.25,151.38,102.78,10.76
T7,108.0,1.1,25.2,26.45,27.38,159.17,103.16,10.86
T8,108.85,1.07,25.31,27.0,26.94,164.88,106.42,10.83
T9,105.32,1.07,26.43,27.08,26.47,164.09,108.69,10.26
T10,108.04,1.05,25.79,26.93,26.93,163.85,106.74,10.13
