task_type,m1_1,m2_1,m3_1,m4_1
T2,0.452,5.12,6.552,8.834
T2,0.515,4.796,6.935,9.474
T2,0.506,5.483,7.031,8.261
T1,0.017,0.162,0.254,0.316
T2,0.473,5.135,7.332,9.328
T4,0.592,5.41,8.059,10.845
T3,0.493,6.024,7.183,9.656
T4,0.522,5.455,7.769,10.82
T2,0.448,5.152,6.951,8.346
T2,0.477,5.325,7.279,8.765
T3,0.52,5.767,7.633,10.383
T2,0.46,5.167,7.504,8.501
T1,0.016,0.163,0.229,0.303
T1,0.017,0.179,0.244,0.3
T1,0.017,0.177,0.246,0.326
T4,0.52,5.77,8.333,9.336
T4,0.53,6.058,7.329,10.084
T2,0.494,4.982,6.931,9.531
T4,0.518,5.636,8.531,10.18
T2,0.478,4.816,6.518,9.222
T3,0.542,5.162,7.541,9.02
T3,0.49,5.257,8.241,10.202
T4,0.561,6.24,8.498,9.671
T1,0.017,0.183,0.222,0.294
T3,0.545,5.558,7.324,9.383
T1,0.017,0.169,0.258,0.29
T4,0.597,5.444,8.245,9.53
T3,0.556,5.307,8.11,9.004
T3,0.523,5.333,8.174,9.628
T1,0.018,0.173,0.247,0.277
T2,0.473,5.036,7.492,8.226
T3,0.564,5.981,8.164,9.873
T3,0.499,5.933,8.047,9.211
T2,0.505,5.448,6.573,8.857
T1,0.018,0.16,0.229,0.277
T1,0.017,0.167,0.232,0.311
T3,0.566,5.142,7.579,9.728
T2,0.511,4.917,6.818,8.422
T4,0.559,5.73,7.933,9.927
T4,0.551,6.292,7.699,9.723
T2,0.451,5.153,7.015,9.428
T3,0.554,5.978,7.079,10.378
T4,0.551,5.454,8.514,10.391
T4,0.549,6.017,8.028,10.05
T2,0.502,5.37,7.145,9.222
T4,0.536,5.408,7.541,10.205
T3,0.509,5.727,7.366,9.75
T2,0.463,4.72,6.716,8.747
T3,0.569,5.331,7.603,9.623
T2,0.526,5.43,7.475,9.088
T1,0.017,0.169,0.235,0.281
T4,0.52,5.445,7.729,10.117
T3,0.565,5.775,8.043,9.486
T1,0.017,0.181,0.221,0.275
T2,0.48,5.113,7.615,8.195
T3,0.498,5.786,8.407,9.037
T3,0.559,5.624,8.406,10.368
T4,0.514,5.529,8.492,10.705
T3,0.563,5.416,7.155,9.385
T4,0.581,6.134,8.516,10.699
T4,0.547,6.13,8.454,9.266
T2,0.447,5.001,6.91,8.556
T1,0.017,0.161,0.26,0.313
T1,0.016,0.187,0.227,0.325
T2,0.495,5.177,7.456,8.217
T1,0.017,0.162,0.238,0.314
T2,0.516,5.486,6.869,8.453
T4,0.506,5.676,8.204,10.697
T4,0.515,5.723,8.365,9.185
T4,0.546,5.595,8.187,9.913
T4,0.546,6.018,7.316,10.388
T2,0.457,5.132,7.128,8.881
T3,0.545,5.19,7.353,9.987
T1,0.015,0.17,0.239,0.324
T3,0.53,5.371,7.589,9.077
T2,0.463,4.837,6.478,8.159
T2,0.487,4.726,6.521,8.346
T4,0.57,5.4,8.211,10.541
T3,0.562,5.705,7.986,10.07
T3,0.541,5.643,7.439,9.14
T2,0.494,4.929,7.134,8.094
T2,0.526,5.239,7.163,8.201
T3,0.542,5.571,8.368,10.171
T3,0.578,5.975,8.362,10.061
T3,0.568,6.082,7.992,9.981
T4,0.525,5.579,8.305,10.4
T3,0.497,6.093,7.239,9.21
T3,0.51,5.924,7.112,10.049
T4,0.51,5.434,8.617,9.734
T2,0.463,5.105,6.614,8.945
T3,0.525,5.559,8.136,10.179
T3,0.565,5.375,8.04,10.391
T1,0.016,0.161,0.24,0.285
T4,0.594,5.892,8.228,10.714
T1,0.016,0.163,0.244,0.3
T4,0.583,5.871,7.524,10.275
T4,0.554,5.387,7.408,10.844
T3,0.494,5.146,7.431,9.398
T4,0.588,5.94,7.533,10.801
T3,0.529,5.88,8.293,9.865
T2,0.526,5.121,6.51,8.613
T3,0.545,5.948,8.107,9.718
T3,0.494,5.697,8.051,9.477
T2,0.503,5.471,7.215,9.203
T2,0.489,5.537,6.981,8.627
T3,0.527,5.908,8.398,10.364
T1,0.017,0.182,0.247,0.319
T2,0.503,5.531,6.68,8.553
T2,0.474,5.457,7.158,8.05
T2,0.473,5.111,6.586,9.364
T3,0.533,5.544,7.11,10.212
T4,0.56,5.314,7.819,9.55
T1,0.017,0.18,0.249,0.325
T1,0.017,0.189,0.253,0.28
T2,0.52,5.336,6.895,8.38
T3,0.526,5.806,8.301,10.252
T2,0.456,5.036,7.104,8.997
T4,0.525,5.96,7.318,10.241
T2,0.482,5.167,6.474,8.906
T1,0.016,0.18,0.244,0.318
T3,0.525,5.687,7.226,10.441
T1,0.017,0.172,0.259,0.314
T1,0.016,0.16,0.228,0.316
T2,0.465,5.363,6.994,8.159
T1,0.015,0.186,0.237,0.281
T1,0.018,0.168,0.244,0.278
T1,0.016,0.161,0.237,0.313
T4,0.583,5.417,7.432,10.13
T4,0.508,5.895,7.944,9.174
T1,0.017,0.16,0.253,0.288
T4,0.597,6.079,7.539,9.521
T1,0.016,0.172,0.243,0.305
T1,0.016,0.177,0.248,0.317
T1,0.016,0.164,0.238,0.324
T4,0.549,6.044,7.586,10.12
T2,0.511,4.695,7.143,9.237
T1,0.016,0.16,0.258,0.326
T1,0.018,0.166,0.22,0.301
T3,0.559,5.16,8.216,10.191
T1,0.016,0.177,0.257,0.302
T2,0.467,5.303,7.213,9.155
T1,0.016,0.168,0.222,0.304
T1,0.016,0.185,0.231,0.321
T4,0.508,5.812,8.616,10.802
T4,0.585,5.547,8.295,9.886
T3,0.529,5.87,8.193,8.901
T2,0.45,4.903,6.442,9.281
T1,0.018,0.163,0.254,0.31
T1,0.016,0.169,0.232,0.306
T2,0.484,5.514,6.746,8.343
T4,0.536,5.392,7.571,10.113
T3,0.541,5.466,7.644,9.571
T3,0.522,5.994,8.4,9.563
T2,0.493,5.176,7.071,9.342
T1,0.016,0.171,0.22,0.316
T2,0.5,4.846,6.852,9.059
T3,0.493,5.687,7.213,9.029
T2,0.458,4.77,7.201,8.908
T2,0.518,4.806,6.909,8.349
T3,0.499,5.266,7.697,9.075
T2,0.462,4.79,6.938,8.485
T4,0.57,5.337,7.563,9.25
T4,0.56,5.56,7.431,10.631
T4,0.521,5.47,7.539,10.628
T4,0.56,5.679,8.023,9.161
T3,0.489,5.447,8.275,10.264
T3,0.524,5.343,7.098,9.86
T3,0.521,5.263,8.12,9.864
T3,0.528,6.094,7.073,9.793
T2,0.456,4.967,7.595,9.23
T4,0.511,5.914,8.213,9.97
T3,0.531,5.855,8.04,9.416
T3,0.53,5.155,7.67,9.208
T2,0.525,5.02,6.468,8.898
T1,0.016,0.177,0.257,0.304
T4,0.517,5.899,7.994,9.993
T3,0.576,6.045,8.215,9.58
T2,0.473,4.811,6.833,8.203
T1,0.018,0.175,0.248,0.281
T3,0.5,5.826,8.369,10.1
T3,0.524,5.669,7.207,9.69
T1,0.018,0.185,0.25,0.275
T4,0.538,6.251,7.79,9.138
T2,0.492,5.349,6.965,9.156
T4,0.559,5.417,8.227,9.805
T4,0.584,5.796,7.431,10.451
T3,0.529,5.414,7.948,9.152
T2,0.447,4.786,7.633,8.968
T1,0.016,0.162,0.244,0.276
T2,0.484,5.084,6.815,8.89
T4,0.554,6.238,7.99,9.198
T3,0.507,5.411,7.429,9.192
T3,0.566,5.968,7.606,9.864
T4,0.552,6.293,7.723,9.301
T3,0.569,5.919,8.203,10.321
T4,0.538,5.414,7.905,10.685
T2,0.484,5.212,7.311,8.478
T4,0.566,5.482,8.417,10.834
T3,0.523,5.805,7.404,10.357
T2,0.481,5.169,6.878,8.957
T3,0.575,5.879,8.296,10.455
T4,0.584,6.228,7.734,10.318
T3,0.535,5.714,7.425,9.536
T4,0.557,5.869,8.575,9.829
T3,0.577,5.588,8.285,8.949
T3,0.545,5.614,7.317,10.131
T3,0.577,5.28,7.155,10.489
T4,0.519,5.439,7.993,9.969
T4,0.568,5.912,8.474,10.685
T2,0.464,5.456,7.093,9.426
T1,0.017,0.177,0.248,0.313
T3,0.513,5.292,7.382,9.486
T2,0.444,4.986,7.564,8.476
T2,0.457,5.017,6.954,8.757
T4,0.541,6.011,7.496,10.785
T4,0.505,6.044,8.301,10.151
T1,0.018,0.187,0.229,0.326
T1,0.016,0.181,0.243,0.284
T2,0.511,5.081,7.422,8.275
T3,0.551,5.196,7.886,9.476
T3,0.496,5.447,7.871,9.234
T1,0.016,0.166,0.249,0.319
T3,0.523,5.728,7.82,9.636
T1,0.018,0.171,0.26,0.324
T1,0.017,0.177,0.235,0.321
T2,0.486,4.886,6.504,9.232
T2,0.52,4.671,7.495,8.324
T3,0.5,5.259,8.321,8.995
T3,0.511,5.501,8.245,9.347
T2,0.491,5.538,6.562,8.772
T3,0.529,5.974,7.686,10.149
T4,0.564,5.606,7.617,9.642
T1,0.016,0.177,0.232,0.303
T3,0.5,5.648,7.583,9.963
T2,0.457,4.77,7.595,8.147
T2,0.48,5.042,6.689,8.548
T3,0.577,5.795,8.213,10.164
T4,0.573,5.869,8.66,10.082
T1,0.017,0.19,0.239,0.316
T2,0.489,4.751,7.152,8.369
T2,0.479,5.038,7.159,8.86
T1,0.017,0.162,0.245,0.317
T2,0.453,5.062,7.589,9.342
T4,0.597,6.152,7.933,10.012
T2,0.447,4.686,7.293,9.138
T3,0.519,5.51,7.803,10.277
T2,0.447,5.424,6.439,8.263
T1,0.017,0.178,0.245,0.317
T3,0.55,5.178,7.743,9.597
T2,0.526,4.742,7.314,8.352
T1,0.017,0.165,0.23,0.29
T4,0.579,6.308,8.235,9.519
T4,0.53,5.634,7.643,10.135
T1,0.017,0.181,0.242,0.31
T4,0.587,6.243,8.666,9.698
T1,0.015,0.161,0.259,0.291
T2,0.518,5.094,6.49,8.228
T4,0.526,5.613,7.928,9.741
