task_type,m1_1,m2_1,m3_1,m4_1
T2,3.151,10.947,67.062,72.282
T2,3.597,10.255,70.982,77.519
T2,3.528,11.724,71.962,67.593
T1,2.322,6.972,52.142,51.936
T2,3.298,10.979,75.041,76.323
T4,7.572,21.205,151.21,162.674
T3,4.48,16.769,95.714,102.857
T4,6.676,21.383,145.772,162.299
T2,3.124,11.016,71.139,68.284
T2,3.326,11.385,74.498,71.713
T3,4.722,16.054,101.709,110.608
T2,3.211,11.047,76.805,69.551
T1,2.241,6.999,47.117,49.835
T1,2.341,7.699,50.048,49.315
T1,2.431,7.615,50.547,53.459
T4,6.655,22.619,156.353,140.034
T4,6.781,23.744,137.517,151.254
T2,3.449,10.653,70.937,77.983
T4,6.621,22.092,160.067,152.696
T2,3.333,10.296,66.714,75.453
T3,4.924,14.37,100.483,96.09
T3,4.451,14.633,109.81,108.675
T4,7.171,24.457,159.456,145.062
T1,2.442,7.851,45.599,48.348
T3,4.95,15.471,97.586,99.954
T1,2.354,7.259,52.98,47.576
T4,7.633,21.339,154.707,142.956
T3,5.047,14.773,108.067,95.918
T3,4.754,14.844,108.924,102.558
T1,2.474,7.436,50.701,45.5
T2,3.302,10.768,76.674,67.303
T3,5.125,16.649,108.786,105.169
T3,4.528,16.517,107.229,98.121
T2,3.524,11.648,67.269,72.471
T1,2.452,6.857,47.063,45.554
T1,2.306,7.162,47.549,51.005
T3,5.141,14.312,100.986,103.628
T2,3.566,10.513,69.783,68.911
T4,7.157,22.462,148.849,148.912
T4,7.045,24.662,144.464,145.841
T2,3.144,11.019,71.8,77.144
T3,5.03,16.642,94.321,110.546
T4,7.044,21.378,159.759,155.869
T4,7.017,23.583,150.623,150.744
T2,3.502,11.481,73.129,75.454
T4,6.861,21.198,141.498,153.08
T3,4.62,15.943,98.149,103.861
T2,3.233,10.091,68.739,71.567
T3,5.169,14.838,101.307,102.507
T2,3.672,11.61,76.503,74.354
T1,2.375,7.272,48.311,46.148
T4,6.653,21.343,145.021,151.761
T3,5.133,16.076,107.175,101.045
T1,2.369,7.753,45.36,45.239
T2,3.348,10.933,77.938,67.055
T3,4.522,16.107,112.022,96.264
T3,5.08,15.655,112.007,110.448
T4,6.579,21.674,159.335,160.575
T3,5.114,15.077,95.345,99.968
T4,7.435,24.045,159.794,160.484
T4,7.001,24.027,158.621,138.986
T2,3.119,10.694,70.722,70.007
T1,2.318,6.892,53.499,51.444
T1,2.288,8.028,46.602,53.406
T2,3.454,11.068,76.307,67.235
T1,2.344,6.938,48.789,51.557
