task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.148,2.568,1.578,4.174,0.871,2.629,2.007,3.911,0.867
2,0.18,2.508,1.888,4.357,0.909,2.013,1.984,4.23,0.926
2,0.332,2.475,1.535,3.892,0.907,2.333,1.618,3.958,0.977
2,0.549,1.898,1.956,4.884,0.933,2.335,1.908,5.112,0.73
2,0.9,2.229,1.617,4.536,0.965,2.126,1.768,4.014,0.863
2,1.997,2.197,1.598,4.946,0.815,1.88,1.705,3.835,0.805
2,2.004,2.403,1.567,4.2,0.877,2.011,1.831,4.033,0.808
2,5.724,2.181,1.721,5.022,0.952,2.094,1.529,4.736,0.838
2,5.878,2.164,1.989,4.002,0.873,2.12,1.626,4.874,0.954
2,6.265,2.048,1.929,3.999,0.923,1.891,1.828,4.001,0.94
2,6.539,2.491,1.879,3.654,0.899,1.984,2.094,4.1,0.722
2,6.958,2.443,1.768,4.963,0.908,2.276,1.754,4.408,0.982
2,7.131,2.626,1.971,4.66,0.912,2.329,1.633,3.93,0.882
2,7.393,1.973,1.726,5.06,0.868,2.36,2.009,4.283,0.771
2,7.577,2.394,1.688,3.779,0.735,1.902,1.818,3.707,0.783
2,8.681,2.138,2.022,4.474,0.905,2.582,1.795,4.001,1.016
2,8.716,1.951,2.113,4.42,0.84,2.519,1.769,4.268,0.847
2,8.789,2.409,1.92,4.001,0.9,2.143,1.871,3.652,0.745
2,9.418,2.262,1.866,4.927,0.748,2.523,2.054,3.741,0.801
2,9.596,2.143,1.633,3.636,0.967,2.482,1.571,4.258,0.923
2,9.739,2.279,1.971,3.783,0.797,1.912,2.104,5.096,1.01
2,10.078,2.223,2.005,4.838,0.917,2.562,2.087,4.821,0.81
2,10.085,2.074,1.519,4.978,0.97,2.381,1.769,4.115,0.999
2,10.601,2.635,1.686,4.032,0.757,1.926,1.753,5.032,0.728
2,11.69,2.257,1.669,4.884,0.774,2.388,1.679,4.56,0.82
2,12.503,2.258,1.716,4.235,0.846,2.309,1.799,4.131,0.956
2,12.791,2.169,1.982,4.156,0.8,2.008,1.989,4.571,0.822
2,12.834,2.272,1.654,5.013,0.787,2.635,1.673,4.504,0.822
