task_type,m1_1,m2_1,m3_1,m4_1
T2,0.358,2.816,10.858,17.589
T2,0.408,2.638,11.492,18.863
T2,0.401,3.016,11.651,16.447
T1,0.013,0.088,0.414,0.619
T2,0.375,2.824,12.15,18.572
T4,1.178,7.473,33.537,54.225
T3,0.576,4.882,17.537,28.323
T4,1.038,7.535,32.331,54.1
T2,0.355,2.834,11.518,16.616
T2,0.378,2.929,12.062,17.45
T3,0.607,4.673,18.635,30.458
T2,0.365,2.842,12.435,16.924
T1,0.012,0.088,0.374,0.594
T1,0.013,0.097,0.397,0.588
T1,0.014,0.096,0.401,0.638
T4,1.035,7.971,34.678,46.678
T4,1.055,8.367,30.5,50.418
T2,0.392,2.74,11.485,18.976
T4,1.03,7.785,35.501,50.899
T2,0.378,2.649,10.801,18.36
T3,0.633,4.183,18.411,26.46
T3,0.572,4.26,20.12,29.926
T4,1.116,8.619,35.366,48.354
T1,0.014,0.099,0.362,0.577
T3,0.636,4.504,17.88,27.524
T1,0.013,0.092,0.42,0.567
T4,1.187,7.52,34.313,47.652
T3,0.649,4.301,19.8,26.413
T3,0.611,4.321,19.957,28.241
T1,0.014,0.094,0.402,0.543
T2,0.375,2.77,12.414,16.377
T3,0.659,4.847,19.932,28.96
T3,0.582,4.808,19.647,27.019
T2,0.4,2.997,10.891,17.635
T1,0.014,0.086,0.374,0.543
T1,0.013,0.09,0.377,0.608
T3,0.661,4.166,18.503,28.536
T2,0.405,2.705,11.298,16.768
T4,1.113,7.916,33.014,49.637
T4,1.096,8.691,32.041,48.614
T2,0.357,2.835,11.625,18.772
T3,0.646,4.845,17.282,30.441
T4,1.096,7.534,35.433,51.956
T4,1.091,8.311,33.407,50.248
T2,0.398,2.953,11.84,18.36
T4,1.067,7.47,31.383,51.027
T3,0.594,4.641,17.983,28.6
T2,0.367,2.596,11.129,17.415
T3,0.664,4.32,18.562,28.227
T2,0.417,2.987,12.386,18.093
T1,0.013,0.092,0.383,0.55
T4,1.035,7.521,32.165,50.587
T3,0.66,4.68,19.637,27.824
T1,0.013,0.098,0.36,0.54
T2,0.38,2.813,12.619,16.317
T3,0.581,4.689,20.525,26.508
T3,0.653,4.557,20.522,30.414
T4,1.023,7.638,35.339,53.525
T3,0.657,4.389,17.469,27.528
T4,1.156,8.473,35.441,53.495
T4,1.089,8.467,35.181,46.329
T2,0.354,2.751,11.45,17.035
T1,0.013,0.087,0.425,0.614
T1,0.013,0.101,0.37,0.637
T2,0.392,2.847,12.355,16.36
T1,0.013,0.087,0.387,0.615
T2,0.409,3.017,11.382,16.829
T4,1.006,7.84,34.142,53.487
T4,1.026,7.906,34.811,45.926
T4,1.086,7.728,34.07,49.564
T4,1.087,8.313,30.444,51.938
T2,0.362,2.823,11.812,17.682
T3,0.636,4.205,17.951,29.295
T1,0.012,0.092,0.39,0.635
T3,0.618,4.352,18.528,26.627
T2,0.367,2.66,10.735,16.243
T2,0.386,2.599,10.805,16.617
T4,1.133,7.459,34.172,52.705
T3,0.657,4.623,19.498,29.538
T3,0.632,4.573,18.162,26.809
T2,0.391,2.711,11.822,16.115
T2,0.417,2.881,11.87,16.328
T3,0.633,4.514,20.431,29.833
T3,0.675,4.842,20.415,29.513
T3,0.663,4.929,19.513,29.279
T4,1.045,7.706,34.562,52.002
T3,0.58,4.938,17.674,27.015
T3,0.595,4.8,17.363,29.477
T4,1.015,7.507,35.859,48.67
T2,0.367,2.808,10.96,17.808
T3,0.613,4.505,19.864,29.858
T3,0.659,4.355,19.629,30.48
T1,0.013,0.087,0.392,0.559
T4,1.182,8.139,34.243,53.569
T1,0.012,0.088,0.398,0.587
T4,1.161,8.109,31.311,51.376
T4,1.103,7.442,30.826,54.22
T3,0.577,4.17,18.142,27.566
T4,1.17,8.204,31.348,54.005
T3,0.618,4.765,20.248,28.937
T2,0.417,2.817,10.788,17.148
T3,0.636,4.82,19.794,28.505
T3,0.576,4.617,19.656,27.798
T2,0.399,3.009,11.956,18.323
T2,0.388,3.045,11.567,17.177
T3,0.615,4.787,20.504,30.401
T1,0.013,0.098,0.402,0.625
T2,0.399,3.042,11.069,17.029
T2,0.376,3.002,11.861,16.027
T2,0.375,2.811,10.914,18.643
T3,0.622,4.492,17.358,29.956
T4,1.115,7.34,32.537,47.749
T1,0.014,0.097,0.406,0.637
T1,0.013,0.102,0.413,0.548
T2,0.412,2.935,11.425,16.685
T3,0.614,4.705,20.266,30.071
T2,0.362,2.77,11.771,17.913
T4,1.044,8.232,30.455,51.207
T2,0.382,2.842,10.728,17.731
T1,0.012,0.098,0.397,0.623
T3,0.613,4.608,17.643,30.626
T1,0.013,0.093,0.423,0.615
T1,0.012,0.086,0.372,0.618
T2,0.368,2.95,11.589,16.244
T1,0.012,0.101,0.386,0.55
T1,0.014,0.091,0.397,0.545
T1,0.012,0.087,0.386,0.613
T4,1.16,7.482,30.93,50.648
T4,1.011,8.143,33.06,45.871
T1,0.013,0.087,0.412,0.563
T4,1.189,8.396,31.373,47.604
T1,0.013,0.093,0.396,0.598
T1,0.013,0.096,0.405,0.621
T1,0.013,0.089,0.387,0.635
T4,1.092,8.348,31.57,50.601
T2,0.405,2.582,11.836,18.391
T1,0.013,0.087,0.421,0.639
T1,0.014,0.09,0.358,0.59
T3,0.653,4.181,20.059,29.892
T1,0.013,0.096,0.419,0.591
T2,0.37,2.917,11.952,18.227
T1,0.012,0.091,0.362,0.596
T1,0.012,0.1,0.376,0.628
T4,1.012,8.028,35.855,54.008
T4,1.164,7.662,34.518,49.43
T3,0.618,4.757,20.003,26.11
T2,0.357,2.697,10.675,18.479
T1,0.014,0.088,0.413,0.608
T1,0.012,0.091,0.379,0.6
T2,0.384,3.033,11.178,16.611
T4,1.066,7.449,31.505,50.563
T3,0.632,4.429,18.662,28.075
T3,0.61,4.857,20.509,28.051
T2,0.391,2.847,11.718,18.599
T1,0.012,0.093,0.358,0.619
T2,0.396,2.665,11.355,18.035
T3,0.576,4.609,17.61,26.484
T2,0.363,2.624,11.933,17.735
T2,0.411,2.644,11.449,16.622
T3,0.583,4.267,18.792,26.62
T2,0.366,2.635,11.496,16.894
T4,1.134,7.372,31.476,46.25
T4,1.115,7.68,30.922,53.157
T4,1.037,7.556,31.373,53.14
T4,1.114,7.844,33.39,45.807
T3,0.571,4.414,20.203,30.106
T3,0.612,4.33,17.33,28.922
T3,0.608,4.265,19.825,28.934
T3,0.617,4.938,17.268,28.726
T2,0.362,2.732,12.586,18.377
T4,1.017,8.17,34.181,49.851
T3,0.619,4.745,19.629,27.622
T3,0.618,4.177,18.726,27.011
T2,0.416,2.761,10.717,17.715
T1,0.012,0.096,0.419,0.595
T4,1.028,8.148,33.267,49.966
T3,0.672,4.899,20.056,28.1
T2,0.375,2.646,11.324,16.332
T1,0.014,0.095,0.404,0.551
T3,0.584,4.721,20.432,29.625
T3,0.612,4.594,17.596,28.423
T1,0.014,0.1,0.408,0.538
T4,1.071,8.635,32.419,45.691
T2,0.39,2.942,11.542,18.23
T4,1.113,7.482,34.238,49.026
T4,1.162,8.006,30.925,52.254
T3,0.617,4.387,19.405,26.846
T2,0.354,2.632,12.648,17.855
T1,0.012,0.088,0.398,0.541
T2,0.384,2.796,11.292,17.699
T4,1.102,8.617,33.251,45.991
T3,0.592,4.385,18.138,26.965
T3,0.661,4.836,18.568,28.935
T4,1.099,8.692,32.14,46.505
T3,0.665,4.797,20.026,30.276
T4,1.071,7.479,32.896,53.425
T2,0.383,2.867,12.116,16.879
T4,1.126,7.572,35.028,54.171
T3,0.61,4.704,18.076,30.382
T2,0.381,2.843,11.398,17.833
T3,0.671,4.764,20.255,30.669
T4,1.163,8.603,32.185,51.592
T3,0.625,4.631,18.127,27.971
T4,1.109,8.107,35.685,49.145
