task_type,m1_1,m2_1,m3_1,m4_1
T2,0.239,0.55,6.941,11.753
T2,0.273,0.515,7.347,12.604
T2,0.268,0.589,7.448,10.99
T1,0.013,0.026,0.396,0.619
T2,0.25,0.552,7.767,12.41
T4,1.178,2.185,32.084,54.225
T3,0.241,0.598,7.024,11.858
T4,1.038,2.204,30.93,54.1
T2,0.237,0.554,7.363,11.103
T2,0.252,0.572,7.711,11.66
T3,0.254,0.572,7.464,12.752
T2,0.244,0.555,7.949,11.309
T1,0.012,0.026,0.358,0.594
T1,0.013,0.028,0.38,0.588
T1,0.014,0.028,0.384,0.638
T4,1.035,2.331,33.175,46.678
T4,1.055,2.447,29.179,50.418
T2,0.262,0.535,7.342,12.68
T4,1.03,2.277,33.963,50.899
T2,0.253,0.518,6.905,12.268
T3,0.265,0.512,7.374,11.078
T3,0.239,0.522,8.059,12.529
T4,1.116,2.52,33.834,48.354
T1,0.014,0.029,0.346,0.577
T3,0.266,0.551,7.162,11.524
T1,0.013,0.027,0.402,0.567
T4,1.187,2.199,32.826,47.652
T3,0.272,0.527,7.931,11.058
T3,0.256,0.529,7.994,11.824
T1,0.014,0.027,0.385,0.543
T2,0.251,0.541,7.936,10.943
T3,0.276,0.593,7.983,12.125
T3,0.244,0.589,7.869,11.312
T2,0.267,0.586,6.962,11.783
T1,0.014,0.025,0.357,0.543
T1,0.013,0.026,0.361,0.608
T3,0.277,0.51,7.411,11.947
T2,0.271,0.528,7.223,11.205
T4,1.113,2.315,31.583,49.637
T4,1.096,2.542,30.653,48.614
T2,0.239,0.554,7.431,12.543
T3,0.271,0.593,6.922,12.745
T4,1.096,2.203,33.898,51.956
T4,1.091,2.43,31.959,50.248
T2,0.266,0.577,7.569,12.268
T4,1.067,2.185,30.023,51.027
T3,0.249,0.568,7.203,11.974
T2,0.245,0.507,7.114,11.636
T3,0.278,0.529,7.435,11.818
T2,0.279,0.584,7.918,12.09
T1,0.013,0.027,0.367,0.55
T4,1.035,2.199,30.771,50.587
T3,0.276,0.573,7.865,11.65
T1,0.013,0.029,0.344,0.54
T2,0.254,0.55,8.067,10.903
T3,0.243,0.574,8.221,11.098
T3,0.273,0.558,8.22,12.734
T4,1.023,2.234,33.808,53.525
T3,0.275,0.537,6.997,11.525
T4,1.156,2.478,33.905,53.495
T4,1.089,2.476,33.657,46.329
T2,0.237,0.538,7.32,11.383
T1,0.013,0.025,0.406,0.614
T1,0.013,0.03,0.354,0.637
T2,0.262,0.556,7.898,10.932
T1,0.013,0.026,0.37,0.615
T2,0.273,0.59,7.276,11.245
T4,1.006,2.293,32.663,53.487
T4,1.026,2.312,33.303,45.926
T4,1.086,2.26,32.593,49.564
T4,1.087,2.431,29.125,51.938
T2,0.242,0.552,7.551,11.815
T3,0.266,0.515,7.19,12.265
T1,0.012,0.027,0.373,0.635
T3,0.259,0.533,7.421,11.148
T2,0.245,0.52,6.862,10.854
T2,0.258,0.508,6.907,11.103
T4,1.133,2.181,32.692,52.705
T3,0.275,0.566,7.81,12.367
T3,0.265,0.56,7.274,11.225
T2,0.262,0.53,7.557,10.768
T2,0.279,0.563,7.588,10.911
T3,0.265,0.553,8.183,12.491
T3,0.282,0.593,8.177,12.357
T3,0.278,0.603,7.816,12.258
T4,1.045,2.253,33.064,52.002
T3,0.243,0.605,7.079,11.311
T3,0.249,0.588,6.955,12.341
T4,1.015,2.195,34.305,48.67
T2,0.245,0.549,7.006,11.9
T3,0.257,0.552,7.956,12.501
T3,0.276,0.533,7.862,12.761
T1,0.013,0.025,0.375,0.559
T4,1.182,2.38,32.759,53.569
T1,0.012,0.026,0.38,0.587
T4,1.161,2.371,29.955,51.376
T4,1.103,2.176,29.491,54.22
T3,0.242,0.511,7.266,11.541
T4,1.17,2.399,29.99,54.005
T3,0.259,0.583,8.11,12.115
T2,0.279,0.55,6.896,11.458
T3,0.266,0.59,7.928,11.935
T3,0.241,0.565,7.873,11.639
T2,0.267,0.588,7.643,12.243
T2,0.259,0.595,7.394,11.478
T3,0.257,0.586,8.213,12.728
T1,0.013,0.029,0.385,0.625
T2,0.266,0.594,7.076,11.379
T2,0.251,0.587,7.582,10.709
T2,0.25,0.549,6.977,12.457
T3,0.261,0.55,6.953,12.542
T4,1.115,2.146,31.128,47.749
T1,0.014,0.028,0.388,0.637
T1,0.013,0.03,0.395,0.548
T2,0.275,0.573,7.303,11.149
T3,0.257,0.576,8.117,12.59
T2,0.242,0.541,7.525,11.97
T4,1.044,2.407,29.136,51.207
T2,0.255,0.555,6.858,11.848
T1,0.012,0.029,0.38,0.623
T3,0.257,0.564,7.066,12.823
T1,0.013,0.027,0.404,0.615
T1,0.012,0.025,0.356,0.618
T2,0.246,0.576,7.408,10.854
T1,0.012,0.029,0.369,0.55
T1,0.014,0.027,0.38,0.545
T1,0.012,0.025,0.369,0.613
T4,1.16,2.188,29.59,50.648
T4,1.011,2.381,31.627,45.871
T1,0.013,0.025,0.394,0.563
T4,1.189,2.455,30.014,47.604
T1,0.013,0.027,0.379,0.598
T1,0.013,0.028,0.387,0.621
T1,0.013,0.026,0.37,0.635
T4,1.092,2.441,30.203,50.601
T2,0.271,0.505,7.566,12.289
T1,0.013,0.025,0.403,0.639
T1,0.014,0.026,0.343,0.59
T3,0.273,0.512,8.034,12.515
T1,0.013,0.028,0.401,0.591
T2,0.247,0.57,7.64,12.179
T1,0.012,0.027,0.347,0.596
T1,0.012,0.029,0.359,0.628
T4,1.012,2.348,34.302,54.008
T4,1.164,2.241,33.023,49.43
T3,0.259,0.582,8.012,10.932
T2,0.238,0.527,6.824,12.347
T1,0.014,0.026,0.396,0.608
T1,0.012,0.027,0.362,0.6
T2,0.256,0.593,7.145,11.099
T4,1.066,2.178,30.14,50.563
T3,0.265,0.542,7.475,11.755
T3,0.255,0.595,8.214,11.744
T2,0.261,0.556,7.491,12.428
T1,0.012,0.027,0.342,0.619
T2,0.265,0.521,7.259,12.051
T3,0.241,0.564,7.054,11.088
T2,0.242,0.513,7.628,11.851
T2,0.274,0.517,7.319,11.107
T3,0.244,0.522,7.527,11.145
T2,0.245,0.515,7.349,11.288
T4,1.134,2.156,30.112,46.25
T4,1.115,2.246,29.582,53.157
T4,1.037,2.21,30.014,53.14
T4,1.114,2.294,31.943,45.807
T3,0.239,0.54,8.092,12.605
T3,0.256,0.53,6.941,12.109
T3,0.255,0.522,7.94,12.114
T3,0.258,0.605,6.917,12.027
T2,0.242,0.534,8.045,12.279
T4,1.017,2.389,32.7,49.851
T3,0.259,0.581,7.862,11.565
T3,0.259,0.511,7.5,11.309
