task_type,m1_1,m2_1,m3_1,m4_1
T2,3.097,9.108,30.066,32.406
T2,3.534,8.533,31.823,34.754
T2,3.467,9.756,32.262,30.304
T1,2.535,6.446,25.977,25.874
T2,3.241,9.136,33.643,34.218
T4,5.533,13.118,50.403,54.225
T3,3.87,12.264,37.716,40.531
T4,4.878,13.228,48.591,54.1
T2,3.07,9.166,31.894,30.614
T2,3.268,9.473,33.4,32.151
T3,4.079,11.741,40.078,43.585
T2,3.156,9.192,34.434,31.182
T1,2.448,6.472,23.473,24.827
T1,2.556,7.119,24.933,24.568
T1,2.655,7.041,25.182,26.633
T4,4.863,13.993,52.118,46.678
T4,4.954,14.689,45.839,50.418
T2,3.389,8.864,31.803,34.962
T4,4.838,13.667,53.356,50.899
T2,3.275,8.567,29.91,33.828
T3,4.253,10.509,39.595,37.864
T3,3.844,10.702,43.271,42.824
T4,5.24,15.131,53.152,48.354
T1,2.667,7.259,22.717,24.086
T3,4.276,11.315,38.454,39.387
T1,2.57,6.712,26.394,23.702
T4,5.577,13.202,51.569,47.652
T3,4.36,10.804,42.584,37.797
T3,4.106,10.856,42.922,40.413
T1,2.702,6.876,25.259,22.668
T2,3.245,8.96,34.375,30.174
T3,4.427,12.176,42.867,41.442
T3,3.911,12.079,42.254,38.665
T2,3.463,9.692,30.159,32.491
T1,2.677,6.34,23.446,22.694
T1,2.518,6.622,23.688,25.41
T3,4.44,10.467,39.794,40.835
T2,3.505,8.748,31.286,30.895
T4,5.229,13.896,49.616,49.637
T4,5.147,15.257,48.155,48.614
T2,3.09,9.168,32.19,34.586
T3,4.345,12.171,37.167,43.561
T4,5.147,13.225,53.253,51.956
T4,5.127,14.59,50.208,50.248
T2,3.441,9.553,32.786,33.828
T4,5.013,13.114,47.166,51.027
T3,3.991,11.66,38.676,40.927
T2,3.177,8.397,30.818,32.086
T3,4.465,10.852,39.92,40.393
T2,3.609,9.661,34.298,33.335
T1,2.594,6.724,24.068,22.99
T4,4.861,13.204,48.34,50.587
T3,4.434,11.757,42.233,39.817
T1,2.587,7.168,22.598,22.537
T2,3.291,9.097,34.942,30.063
T3,3.906,11.779,44.142,37.933
T3,4.388,11.449,44.137,43.522
T4,4.807,13.409,53.112,53.525
T3,4.417,11.026,37.571,39.393
T4,5.432,14.875,53.265,53.495
T4,5.115,14.864,52.874,46.329
T2,3.065,8.898,31.707,31.386
T1,2.531,6.373,26.653,25.629
T1,2.499,7.423,23.216,26.606
T2,3.395,9.209,34.211,30.143
T1,2.56,6.415,24.306,25.685
T2,3.539,9.759,31.517,31.007
T4,4.726,13.763,51.312,53.487
T4,4.818,13.878,52.318,45.926
T4,5.102,13.567,51.204,49.564
T4,5.108,14.594,45.755,51.938
T2,3.136,9.13,32.709,32.579
T3,4.275,10.565,38.607,41.921
T1,2.333,6.755,24.452,26.52
T3,4.155,10.933,39.847,38.103
T2,3.172,8.605,29.726,29.928
T2,3.341,8.408,29.92,30.616
T4,5.323,13.095,51.358,52.705
T3,4.413,11.615,41.934,42.269
T3,4.246,11.487,39.06,38.364
T2,3.387,8.769,32.734,29.691
T2,3.609,9.32,32.869,30.084
T3,4.251,11.341,43.941,42.692
T3,4.533,12.165,43.906,42.234
T3,4.457,12.382,41.966,41.899
T4,4.907,13.528,51.943,52.002
T3,3.9,12.405,38.012,38.659
T3,4.001,12.06,37.343,42.181
T4,4.767,13.178,53.892,48.67
T2,3.176,9.083,30.349,32.811
T3,4.119,11.317,42.721,42.727
T3,4.429,10.942,42.217,43.617
T1,2.501,6.371,24.597,23.333
T4,5.552,14.288,51.464,53.569
T1,2.373,6.45,24.962,24.523
T4,5.451,14.236,47.058,51.376
T4,5.179,13.064,46.329,54.22
T3,3.877,10.476,39.017,39.447
T4,5.494,14.403,47.113,54.005
T3,4.154,11.97,43.546,41.409
T2,3.609,9.11,29.872,31.595
T3,4.273,12.109,42.57,40.791
T3,3.874,11.598,42.273,39.78
T2,3.452,9.733,33.108,33.759
T2,3.354,9.851,32.031,31.647
T3,4.133,12.027,44.098,43.504
T1,2.647,7.208,25.248,26.088
T2,3.451,9.841,30.651,31.375
T2,3.25,9.709,32.843,29.53
T2,3.242,9.093,30.221,34.349
T3,4.183,11.286,37.331,42.867
T4,5.237,12.885,48.901,47.749
T1,2.665,7.135,25.468,26.618
T1,2.524,7.513,25.898,22.893
T2,3.566,9.493,31.636,30.741
T3,4.124,11.819,43.585,43.033
T2,3.13,8.959,32.595,33.005
T4,4.903,14.452,45.772,51.207
T2,3.307,9.192,29.706,32.669
T1,2.368,7.159,24.942,26.019
T3,4.121,11.577,37.944,43.827
T1,2.603,6.809,26.542,25.672
