task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T5,0.006,25.33,10.14,99.15,27.85,108.53,1.03,111.74,4.77,27.02,10.1,107.79,27.32,107.71,1.06,103.21,5.0
T7,0.108,23.98,10.25,116.35,27.82,100.38,1.01,112.3,5.92,27.31,11.13,112.87,24.8,112.21,1.07,113.29,5.9
T5,0.305,26.4,9.98,103.22,25.43,106.97,1.01,103.52,5.34,27.38,9.83,106.17,24.16,100.0,0.96,114.52,4.7
T5,0.46,27.2,10.2,94.5,26.97,114.33,1.01,108.85,5.29,27.48,9.45,98.71,26.87,107.6,0.96,97.09,5.24
T1,0.611,26.44,11.71,93.46,25.74,101.14,1.11,103.61,4.75,25.01,10.77,98.86,27.0,118.79,1.01,103.42,5.24
T5,0.656,27.56,10.53,97.92,26.81,104.59,1.05,100.93,5.48,24.38,10.72,105.29,25.31,103.24,1.07,111.65,4.77
T3,0.661,28.3,9.71,105.41,25.68,107.36,1.02,100.61,4.98,27.41,9.55,103.02,25.55,103.08,1.09,107.53,5.13
T4,0.678,23.58,10.32,105.84,24.61,105.48,1.07,106.96,5.72,24.46,9.77,112.0,25.93,103.81,1.09,107.82,5.13
T6,0.759,28.49,10.66,107.45,25.78,104.61,1.1,107.11,4.76,26.82,10.22,104.26,23.69,100.54,1.06,102.23,5.0
T3,0.99,28.34,10.33,109.9,27.04,105.81,1.08,116.31,5.03,25.52,9.47,111.34,26.26,107.94,1.03,109.13,5.11
T8,0.993,26.22,10.58,92.64,27.79,101.38,1.01,114.36,5.86,27.36,9.42,102.86,26.62,96.63,1.14,102.95,5.46
T5,1.168,25.03,10.66,106.0,28.32,100.12,1.01,109.12,5.28,25.02,10.4,104.54,26.08,113.26,1.08,105.1,5.32
T4,1.268,26.3,10.96,106.96,24.79,94.86,1.04,108.09,5.69,24.75,9.81,102.35,24.57,107.93,1.09,102.42,5.74
T1,1.447,24.8,10.14,106.26,29.25,118.22,1.11,101.03,5.12,25.75,10.46,104.05,28.58,105.61,1.13,95.65,4.72
T7,1.496,24.0,10.76,116.29,27.22,107.11,1.0,114.81,5.04,25.27,10.52,101.24,24.18,112.17,0.99,114.87,5.41
T4,1.787,25.99,10.02,104.01,24.62,98.8,1.01,113.15,5.62,27.07,10.95,95.37,27.12,101.17,1.09,114.5,5.26
T5,1.821,26.11,9.58,94.87,26.69,102.57,0.97,111.78,4.67,26.24,10.48,99.94,27.37,104.71,1.08,103.47,4.93
T5,1.823,25.84,10.67,96.85,24.83,108.78,0.98,96.8,4.72,24.03,10.83,92.75,26.05,106.18,1.02,100.61,5.18
T6,1.966,28.76,10.26,103.47,24.45,106.72,0.97,94.04,5.11,25.81,10.01,112.11,27.11,99.48,0.97,95.12,5.47
T8,2.01,26.26,10.18,98.77,28.38,99.1,1.01,113.76,5.81,25.52,10.45,97.83,28.23,100.3,1.01,110.72,5.08
T8,2.026,27.17,10.22,103.8,24.63,111.85,1.02,108.65,5.78,25.53,9.88,108.69,25.77,97.62,1.12,104.96,5.12
T3,2.06,27.53,10.54,110.96,25.03,107.48,0.97,109.59,5.7,27.42,9.45,113.79,23.17,109.0,1.06,106.7,5.42
T1,2.141,26.06,11.79,103.44,27.14,112.34,0.96,104.14,5.49,25.69,9.99,94.79,27.4,102.23,1.1,97.21,5.47
T3,2.185,28.25,10.1,111.11,23.31,109.51,1.07,114.96,5.04,24.84,9.88,107.19,27.2,110.68,1.08,118.13,4.96
T4,2.212,26.68,10.31,107.97,24.9,102.63,1.09,117.58,5.45,24.43,10.46,106.44,25.03,110.04,0.94,101.54,5.4
T8,2.217,26.26,10.66,108.11,28.25,105.21,1.12,114.93,5.27,26.52,10.85,101.84,26.05,96.37,1.01,101.61,5.66
T5,2.229,26.87,9.98,108.38,25.35,102.6,1.07,113.56,4.91,24.33,10.05,93.48,27.0,101.77,1.09,109.08,5.16
T8,2.361,23.11,10.26,102.44,28.05,99.38,1.13,105.54,4.98,26.72,9.42,100.09,25.72,112.35,1.12,107.98,5.86
T6,2.464,27.34,10.84,101.81,25.46,99.59,0.96,104.27,4.86,26.13,10.62,103.14,26.32,92.27,1.11,92.79,5.28
T10,2.702,26.09,10.35,116.84,27.46,103.28,1.05,96.75,5.41,26.39,9.99,108.97,28.81,102.38,1.11,93.56,5.65
T8,2.853,27.3,9.57,102.98,26.24,108.02,1.02,100.89,5.72,23.66,10.76,101.79,28.04,106.27,1.16,107.13,5.72
T3,2.91,25.95,9.34,117.96,25.33,115.12,1.03,116.85,5.26,25.82,9.78,105.57,25.4,115.53,1.0,105.19,5.33
