task_type,arrival_time
T3,0.126
T4,3.078
T4,3.422
T1,4.159
T1,4.533
T3,4.745
T2,5.563
T4,5.8
T2,9.787
T2,12.008
T3,13.454
T4,17.563
T2,18.321
T4,19.717
T1,19.851
T2,26.387
T1,28.088
T1,29.528
T2,30.652
T3,34.366
T2,36.964
T3,38.515
T2,44.565
T4,44.966
T3,49.432
T4,53.13
T1,57.634
T3,60.051
T4,62.888
T3,63.558
T3,63.949
T4,66.268
T2,66.592
T1,69.971
T1,72.783
T2,76.237
T4,77.144
T1,77.627
T3,78.677
T4,82.855
T3,84.948
T2,85.271
T2,87.565
T2,88.403
T3,89.72
T1,92.419
T1,93.543
T4,94.657
T3,95.11
T4,104.92
T4,105.637
T2,107.199
T2,110.799
T4,119.567
T3,122.982
T3,127.111
T3,128.267
T4,133.938
T2,135.395
T3,136.545
T2,137.312
T4,137.864
T3,145.314
T4,147.21
T3,156.43
T1,156.663
T3,157.702
T2,158.255
T4,159.449
T3,163.071
T3,164.025
T1,165.13
T4,166.173
T4,167.566
T1,170.731
T2,172.311
T4,173.629
T3,175.521
T3,175.577
T1,175.774
T2,177.71
T3,190.289
T3,193.801
T4,199.576
T1,199.736
T4,201.102
T3,201.151
T3,201.41
T2,205.3
T1,206.775
T1,212.139
T1,212.15
T4,212.284
T4,214.338
T2,218.352
T1,222.225
T3,223.87
T2,224.059
T2,224.415
T1,224.955
T3,227.59
T4,228.216
T2,228.787
T4,228.994
T3,229.925
T3,231.056
T4,231.262
T1,231.76
T4,235.424
T2,236.553
T4,237.221
T1,238.507
T1,239.568
T1,241.991
T1,242.859
T1,243.421
T2,246.075
T3,252.359
T4,253.157
T1,253.337
T3,255.099
T3,255.68
T4,259.922
T3,260.416
T4,263.741
T1,268.388
T2,271.828
T2,272.989
T2,276.163
T3,279.874
T4,283.69
T4,283.888
T3,284.672
T3,286.827
T3,294.976
T2,297.61
T4,299.269
T3,300.51
T3,305.926
T2,307.287
T2,307.394
T1,321.153
T1,321.572
T1,323.172
T4,323.766
T1,324.407
T3,324.605
T4,325.452
T2,326.381
T4,331.005
T2,336.906
T1,345.373
T3,348.195
T3,348.879
T3,350.313
T1,352.74
T1,361.657
T4,366.852
T3,367.099
T2,379.94
T1,381.725
T4,382.03
T4,382.966
T2,385.105
T4,385.118
T3,390.117
T2,394.264
T3,395.467
T3,396.863
T2,403.183
T2,408.224
T4,411.86
T2,415.693
T2,417.513
T3,418.371
T3,418.775
T4,418.809
T1,419.829
T3,423.44
T3,424.507
T2,426.346
T2,429.79
T4,430.036
T1,432.96
T3,434.897
T3,436.808
T4,440.321
T3,440.652
T1,444.05
T3,447.109
T4,451.409
T1,451.42
T1,452.599
T3,457.642
T3,458.646
T2,459.965
T3,467.376
T2,468.894
T4,473.02
T4,478.066
T4,480.748
T4,483.098
T3,486.598
T4,487.825
T1,499.006
T3,503.451
T4,504.381
T2,506.536
T2,507.196
T4,509.258
T3,509.262
T2,514.712
T3,515.185
T2,515.878
