task_type,m1_1,m2_1,m3_1,m4_1
T2,0.39,0.437,11.23,19.19
T2,0.446,0.41,11.886,20.58
T2,0.437,0.468,12.05,17.945
T1,0.039,0.038,1.177,1.858
T2,0.409,0.439,12.566,20.262
T4,3.534,3.191,95.375,162.674
T3,0.641,0.773,18.502,31.522
T4,3.115,3.217,91.946,162.299
T2,0.387,0.44,11.912,18.128
T2,0.412,0.455,12.475,19.039
T3,0.675,0.74,19.66,33.897
T2,0.398,0.441,12.861,18.465
T1,0.037,0.038,1.063,1.783
T1,0.039,0.041,1.129,1.765
T1,0.041,0.041,1.141,1.913
T4,3.106,3.403,98.619,140.034
T4,3.165,3.573,86.738,151.254
T2,0.427,0.426,11.879,20.703
T4,3.09,3.324,100.962,152.696
T2,0.413,0.411,11.171,20.031
T3,0.704,0.663,19.423,29.448
T3,0.637,0.675,21.226,33.305
T4,3.347,3.68,100.576,145.062
T1,0.041,0.042,1.029,1.73
T3,0.708,0.713,18.863,30.632
T1,0.039,0.039,1.196,1.702
T4,3.562,3.211,97.581,142.956
T3,0.722,0.681,20.889,29.396
T3,0.68,0.684,21.055,31.43
T1,0.041,0.04,1.144,1.628
T2,0.409,0.43,12.839,17.868
T3,0.733,0.768,21.028,32.231
T3,0.648,0.762,20.728,30.07
T2,0.437,0.465,11.264,19.24
T1,0.041,0.037,1.062,1.63
T1,0.038,0.039,1.073,1.825
T3,0.735,0.66,19.521,31.758
T2,0.442,0.42,11.685,18.295
T4,3.34,3.38,93.886,148.912
T4,3.288,3.711,91.12,145.841
T2,0.39,0.44,12.023,20.48
T3,0.719,0.767,18.232,33.878
T4,3.287,3.217,100.767,155.869
T4,3.275,3.548,95.005,150.744
T2,0.434,0.459,12.246,20.032
T4,3.202,3.19,89.25,153.08
T3,0.661,0.735,18.972,31.83
T2,0.401,0.403,11.51,19.0
T3,0.739,0.684,19.583,31.415
T2,0.455,0.464,12.811,19.74
T1,0.04,0.039,1.09,1.651
T4,3.105,3.211,91.472,151.761
T3,0.734,0.741,20.717,30.967
T1,0.04,0.042,1.024,1.619
T2,0.415,0.437,13.051,17.802
T3,0.647,0.743,21.654,29.501
T3,0.727,0.722,21.651,33.848
T4,3.07,3.261,100.501,160.575
T3,0.731,0.695,18.43,30.637
T4,3.47,3.618,100.79,160.484
T4,3.267,3.615,100.05,138.986
T2,0.386,0.427,11.843,18.586
T1,0.039,0.037,1.207,1.841
T1,0.038,0.043,1.052,1.911
T2,0.428,0.442,12.778,17.85
T1,0.039,0.037,1.101,1.845
T2,0.446,0.469,11.772,18.361
T4,3.018,3.347,97.096,160.461
T4,3.077,3.375,98.998,137.778
T4,3.258,3.3,96.89,148.692
T4,3.262,3.549,86.58,155.813
T2,0.395,0.438,12.217,19.292
T3,0.708,0.666,18.939,32.603
T1,0.036,0.039,1.108,1.905
T3,0.688,0.689,19.547,29.634
T2,0.4,0.413,11.103,17.722
T2,0.421,0.404,11.175,18.129
T4,3.4,3.185,97.181,158.115
T3,0.731,0.732,20.57,32.874
T3,0.703,0.724,19.161,29.837
T2,0.427,0.421,12.226,17.582
T2,0.455,0.447,12.277,17.815
T3,0.704,0.715,21.555,33.203
T3,0.751,0.767,21.538,32.846
T3,0.738,0.781,20.587,32.586
T4,3.134,3.29,98.29,156.006
T3,0.646,0.782,18.647,30.066
T3,0.663,0.76,18.319,32.805
T4,3.045,3.205,101.977,146.011
T2,0.4,0.436,11.336,19.43
T3,0.682,0.714,20.957,33.23
T3,0.733,0.69,20.709,33.922
T1,0.038,0.037,1.114,1.676
T4,3.546,3.475,97.382,160.708
T1,0.036,0.038,1.131,1.761
T4,3.482,3.462,89.045,154.127
T4,3.308,3.177,87.667,162.659
T3,0.642,0.66,19.14,30.679
T4,3.509,3.503,89.149,162.014
T3,0.688,0.755,21.361,32.205
T2,0.455,0.437,11.157,18.709
T3,0.708,0.763,20.882,31.724
T3,0.641,0.731,20.737,30.938
T2,0.435,0.467,12.366,19.991
T2,0.423,0.473,11.964,18.74
T3,0.684,0.758,21.632,33.834
T1,0.04,0.042,1.144,1.874
T2,0.435,0.472,11.448,18.579
T2,0.41,0.466,12.267,17.486
T2,0.409,0.437,11.288,20.34
T3,0.693,0.712,18.313,33.339
T4,3.345,3.134,92.532,143.246
T1,0.041,0.042,1.154,1.912
T1,0.039,0.044,1.173,1.644
T2,0.45,0.456,11.816,18.203
T3,0.683,0.745,21.381,33.467
T2,0.395,0.43,12.175,19.544
T4,3.132,3.515,86.611,153.62
T2,0.417,0.441,11.095,19.345
T1,0.036,0.042,1.13,1.869
T3,0.682,0.73,18.613,34.085
T1,0.04,0.04,1.202,1.844
T1,0.037,0.037,1.058,1.855
T2,0.402,0.458,11.986,17.723
T1,0.036,0.043,1.097,1.65
T1,0.041,0.039,1.129,1.634
T1,0.036,0.037,1.098,1.839
T4,3.481,3.195,87.961,151.944
T4,3.034,3.477,94.018,137.612
T1,0.04,0.037,1.17,1.69
T4,3.566,3.585,89.222,142.812
T1,0.038,0.04,1.126,1.795
T1,0.038,0.041,1.151,1.863
T1,0.038,0.038,1.101,1.905
T4,3.276,3.564,89.782,151.802
T2,0.442,0.401,12.242,20.065
T1,0.038,0.037,1.197,1.918
T1,0.041,0.038,1.019,1.769
T3,0.726,0.662,21.162,33.268
T1,0.038,0.041,1.192,1.772
T2,0.404,0.453,12.361,19.886
T1,0.037,0.039,1.031,1.787
T1,0.036,0.043,1.069,1.885
T4,3.036,3.428,101.968,162.024
T4,3.491,3.271,98.166,148.289
T3,0.688,0.753,21.103,29.059
T2,0.389,0.419,11.041,20.161
T1,0.042,0.038,1.176,1.823
T1,0.037,0.039,1.077,1.799
T2,0.419,0.471,11.561,18.123
T4,3.197,3.18,89.597,151.69
T3,0.703,0.702,19.689,31.246
T3,0.679,0.769,21.637,31.219
T2,0.426,0.442,12.119,20.292
T1,0.036,0.04,1.017,1.856
T2,0.433,0.414,11.744,19.677
T3,0.641,0.73,18.579,29.475
T2,0.396,0.407,12.342,19.35
T2,0.448,0.411,11.841,18.135
T3,0.648,0.676,19.826,29.626
T2,0.4,0.409,11.89,18.431
T4,3.401,3.148,89.512,138.75
T4,3.345,3.279,87.939,159.471
T4,3.111,3.226,89.222,159.42
T4,3.343,3.349,94.956,137.421
T3,0.636,0.699,21.314,33.506
T3,0.681,0.686,18.283,32.189
T3,0.677,0.675,20.915,32.202
T3,0.686,0.782,18.218,31.97
T2,0.395,0.424,13.017,20.049
T4,3.051,3.488,97.205,149.554
T3,0.689,0.751,20.709,30.741
T3,0.688,0.662,19.756,30.062
T2,0.454,0.429,11.085,19.328
T1,0.037,0.041,1.19,1.786
T4,3.085,3.479,94.608,149.898
T3,0.748,0.776,21.159,31.273
T2,0.409,0.411,11.711,17.819
T1,0.042,0.04,1.15,1.654
T3,0.65,0.748,21.556,32.971
T3,0.681,0.728,18.564,31.633
T1,0.042,0.043,1.161,1.615
T4,3.212,3.687,92.195,137.074
T2,0.425,0.457,11.938,19.889
T4,3.338,3.195,97.369,147.078
T4,3.485,3.418,87.946,156.763
T3,0.687,0.695,20.472,29.878
T2,0.386,0.409,13.082,19.48
T1,0.036,0.038,1.131,1.622
T2,0.419,0.434,11.679,19.311
T4,3.307,3.679,94.561,137.972
T3,0.659,0.694,19.136,30.01
T3,0.735,0.766,19.59,32.202
T4,3.297,3.711,91.401,139.514
T3,0.74,0.76,21.128,33.695
T4,3.212,3.193,93.553,160.276
T2,0.418,0.445,12.53,18.416
T4,3.379,3.233,99.616,162.512
T3,0.679,0.745,19.071,33.813
T2,0.416,0.442,11.788,19.456
T3,0.747,0.755,21.369,34.133
T4,3.488,3.673,91.531,154.777
T3,0.695,0.733,19.125,31.13
T4,3.326,3.461,101.485,147.435
T3,0.75,0.717,21.339,29.215
T3,0.708,0.721,18.846,33.073
T3,0.75,0.678,18.43,34.244
T4,3.096,3.208,94.595,149.541
T4,3.39,3.487,100.287,160.273
T2,0.401,0.466,12.157,20.476
T1,0.04,0.041,1.15,1.841
T3,0.667,0.679,19.013,30.969
T2,0.384,0.426,12.964,18.41
T2,0.395,0.429,11.919,19.021
T4,3.23,3.545,88.714,161.78
T4,3.015,3.565,98.238,152.258
T1,0.042,0.043,1.061,1.914
