task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1
1,0.333,113.778,11.055,1.11,108.424,105.56,11.614,11.12,105.273,11.043,1.081,105.251,112.307,11.764,10.31
1,0.335,115.533,9.878,1.072,113.499,106.595,11.382,11.141,98.928,11.074,1.144,103.605,106.181,10.91,10.201
2,1.056,107.981,10.739,108.132,106.379,100.972,112.069,1.098,97.703,10.06,99.865,102.898,105.04,105.078,1.079
1,1.091,108.891,10.961,1.04,100.996,109.521,11.795,10.198,114.74,9.956,1.08,105.157,110.547,11.147,10.436
1,1.175,97.802,10.227,1.027,113.437,103.684,10.385,10.38,105.659,10.365,1.069,112.476,99.356,10.625,9.87
4,1.62,93.036,10.75,104.9,1.114,102.119,102.231,105.339,101.349,10.324,110.881,0.991,102.58,104.968,95.48
3,1.75,103.195,11.422,100.188,1.02,101.779,0.973,102.885,109.35,11.077,105.465,1.099,109.453,1.044,109.666
4,1.929,102.128,10.459,108.858,1.028,101.597,98.553,96.005,103.289,10.762,110.583,1.029,100.884,107.706,96.376
1,2.231,101.165,11.028,1.107,102.145,106.426,10.271,9.83,114.668,11.512,1.161,98.097,109.719,10.708,10.378
3,2.707,103.084,10.999,104.446,1.151,101.245,0.922,101.058,102.601,10.941,92.586,1.007,102.701,1.071,115.006
4,2.736,101.959,10.667,103.106,1.096,103.694,98.834,108.91,106.504,9.765,103.678,1.107,108.806,98.299,98.393
2,3.596,106.447,10.701,101.734,111.229,108.287,110.556,1.036,108.368,10.699,105.476,111.123,113.454,104.138,1.047
1,3.704,106.979,10.426,1.066,110.764,114.487,10.974,10.666,106.525,10.426,1.166,105.397,102.122,10.438,10.643
4,3.726,102.385,9.649,102.532,1.039,106.901,93.589,96.583,95.323,10.728,108.834,1.096,104.989,102.832,96.783
4,3.743,106.11,10.417,100.51,1.061,107.841,97.35,94.674,104.843,10.385,100.982,1.135,117.508,108.226,105.595
2,3.786,108.734,10.52,115.06,107.182,116.679,112.19,1.059,103.83,10.659,108.821,106.522,101.735,109.504,1.047
1,4.616,98.035,11.47,1.131,98.571,105.317,11.175,10.352,113.184,10.196,1.028,96.308,101.98,11.334,11.32
