task_type,m1_1,m2_1,m3_1,m4_1
T2,4.317,14.448,73.502,79.223
T2,4.927,13.535,77.797,84.962
T2,4.833,15.474,78.871,74.083
T1,3.272,9.466,58.786,58.553
T2,4.518,14.491,82.247,83.651
T4,9.465,25.535,151.21,162.674
T3,5.911,21.315,101.031,108.571
T4,8.344,25.749,145.772,162.299
T2,4.28,14.539,77.97,74.841
T2,4.556,15.026,81.652,78.599
T3,6.23,20.406,107.359,116.753
T2,4.399,14.58,84.179,76.229
T1,3.158,9.503,53.121,56.185
T1,3.299,10.453,56.425,55.598
T1,3.426,10.338,56.988,60.271
T4,8.319,27.237,156.353,140.034
T4,8.476,28.593,137.517,151.254
T2,4.724,14.06,77.749,85.471
T4,8.276,26.604,160.067,152.696
T2,4.565,13.589,73.12,82.698
T3,6.497,18.266,106.064,101.428
T3,5.872,18.601,115.91,114.712
T4,8.963,29.452,159.456,145.062
T1,3.441,10.659,51.409,54.509
T3,6.531,19.666,103.007,105.507
T1,3.317,9.855,59.731,53.638
T4,9.54,25.697,154.707,142.956
T3,6.659,18.778,114.07,101.247
T3,6.272,18.869,114.975,108.255
T1,3.487,10.096,57.162,51.298
T2,4.524,14.212,84.036,73.766
T3,6.762,21.163,114.829,111.012
T3,5.974,20.994,113.186,103.572
T2,4.827,15.374,73.728,79.43
T1,3.455,9.309,53.06,51.358
T1,3.25,9.724,53.607,57.504
T3,6.782,18.192,106.596,109.384
T2,4.885,13.876,76.484,75.528
T4,8.945,27.048,148.849,148.912
T4,8.806,29.698,144.464,145.841
T2,4.307,14.543,78.694,84.551
T3,6.636,21.153,99.561,116.687
T4,8.805,25.743,159.759,155.869
T4,8.77,28.399,150.623,150.744
T2,4.797,15.153,80.15,82.699
T4,8.576,25.527,141.498,153.08
T3,6.096,20.265,103.601,109.631
T2,4.429,13.319,75.339,78.439
T3,6.82,18.861,106.935,108.202
T2,5.031,15.324,83.849,81.493
T1,3.347,9.873,54.467,52.028
T4,8.315,25.702,145.021,151.761
T3,6.772,20.434,113.129,106.659
T1,3.338,10.525,51.139,51.003
T2,4.587,14.43,85.422,73.493
T3,5.966,20.473,118.245,101.611
T3,6.702,19.899,118.229,116.584
T4,8.223,26.1,159.335,160.575
T3,6.747,19.165,100.641,105.522
T4,9.292,28.955,159.794,160.484
T4,8.75,28.933,158.621,138.986
T2,4.272,14.114,77.512,76.728
T1,3.266,9.357,60.316,57.999
T1,3.225,10.899,52.54,60.211
T2,4.732,14.608,83.634,73.691
T1,3.304,9.419,55.005,58.127
T2,4.934,15.48,77.05,75.801
T4,8.084,26.789,153.937,160.461
T4,8.242,27.014,156.953,137.778
T4,8.727,26.407,153.611,148.692
T4,8.737,28.407,137.265,155.813
T2,4.372,14.482,79.962,79.645
T3,6.53,18.362,103.417,112.295
T1,3.01,9.919,55.335,60.017
T3,6.347,19.003,106.739,102.068
T2,4.422,13.65,72.669,73.163
T2,4.657,13.337,73.146,74.846
T4,9.106,25.49,154.073,158.115
T3,6.741,20.187,112.328,113.227
T3,6.486,19.965,104.631,102.767
T2,4.721,13.91,80.025,72.586
T2,5.031,14.784,80.355,73.546
T3,6.493,19.71,117.704,114.36
T3,6.924,21.143,117.611,113.132
T3,6.807,21.52,112.416,112.234
T4,8.394,26.332,155.83,156.006
T3,5.958,21.561,101.823,103.555
T3,6.111,20.96,100.032,112.992
T4,8.154,25.651,161.676,146.011
T2,4.427,14.407,74.194,80.213
T3,6.292,19.669,114.437,114.454
T3,6.765,19.017,113.086,116.838
T1,3.228,9.355,55.665,52.803
T4,9.498,27.811,154.391,160.708
T1,3.063,9.471,56.49,55.497
T4,9.325,27.711,141.174,154.127
T4,8.86,25.429,138.988,162.659
T3,5.922,18.208,104.515,105.668
T4,9.399,28.035,141.339,162.014
T3,6.345,20.804,116.647,110.923
T2,5.031,14.45,73.028,77.239
T3,6.527,21.046,114.032,109.268
T3,5.917,20.157,113.238,106.558
T2,4.812,15.439,80.938,82.53
T2,4.675,15.625,78.305,77.368
T3,6.313,20.904,118.125,116.534
T1,3.415,10.584,57.137,59.038
T2,4.81,15.609,74.931,76.702
T2,4.531,15.4,80.29,72.19
T2,4.52,14.424,73.88,83.973
T3,6.389,19.615,100.0,114.829
T4,8.959,25.081,146.702,143.246
T1,3.44,10.476,57.635,60.238
T1,3.257,11.032,58.609,51.807
T2,4.971,15.057,77.341,75.151
T3,6.299,20.542,116.752,115.272
T2,4.363,14.211,79.685,80.686
