task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
4,0.16,1.06,108.27,1.07,99.68,96.96,106.21,118.89,1.11,0.96,110.85,0.99,106.02,110.95,106.0,109.67,1.02
2,0.297,1.08,105.42,1.16,102.53,94.45,112.2,114.04,1.16,1.04,104.26,1.16,107.27,93.79,111.29,117.12,1.15
1,0.807,0.99,99.45,1.06,116.49,107.25,94.53,107.72,1.03,1.01,108.97,1.09,114.25,101.65,99.7,103.73,1.01
4,0.913,1.06,99.3,1.09,112.96,96.53,109.4,110.07,1.01,1.05,99.73,0.98,102.76,95.22,96.05,114.06,1.09
1,1.312,0.95,107.06,1.08,103.8,95.71,98.82,110.32,1.0,0.95,98.03,0.93,101.79,108.69,94.28,113.7,1.07
1,1.361,1.09,101.98,1.07,114.52,109.08,99.95,96.92,1.01,1.05,101.31,1.07,113.02,107.51,94.74,99.69,1.15
2,1.448,1.13,94.85,1.14,107.64,100.9,105.87,117.12,1.0,1.06,98.31,1.15,106.85,107.75,111.88,111.61,1.03
4,1.594,1.03,97.77,1.01,99.18,99.04,102.11,115.31,0.99,1.1,97.33,1.04,100.76,104.75,102.48,101.09,1.07
4,1.651,0.98,112.03,1.04,108.09,96.71,100.87,109.03,1.03,1.02,102.74,1.07,99.16,108.27,99.01,105.69,1.1
3,1.91,0.96,104.81,1.03,104.48,98.73,95.24,117.88,0.98,0.98,111.0,0.96,111.04,111.33,94.03,109.26,1.13
3,1.987,1.07,108.27,1.01,106.86,102.5,103.08,113.13,1.06,0.96,112.36,1.01,114.62,105.0,100.85,117.56,1.06
1,2.107,0.97,107.06,0.97,111.6,108.3,108.32,100.42,1.16,1.0,108.34,1.06,102.59,98.35,108.21,99.9,1.16
1,2.273,0.97,106.63,0.98,110.33,94.49,107.75,109.43,1.15,1.05,98.06,0.97,104.28,103.48,108.27,98.12,1.03
4,2.336,1.02,105.1,1.09,100.67,102.48,105.27,116.68,1.03,0.96,97.71,1.03,102.27,97.62,99.8,102.43,0.96
