task_type,m1_1,m2_1,m3_1,m4_1
T2,1.652,3.663,7.435,8.014
T2,1.885,3.432,7.869,8.594
T2,1.849,3.924,7.978,7.494
T1,1.507,2.889,7.157,7.129
T2,1.729,3.674,8.319,8.461
T4,2.387,4.267,10.081,10.845
T3,1.857,4.437,8.39,9.017
T4,2.104,4.303,9.718,10.82
T2,1.638,3.687,7.887,7.57
T2,1.743,3.81,8.259,7.95
T3,1.957,4.248,8.916,9.696
T2,1.683,3.697,8.515,7.711
T1,1.455,2.9,6.467,6.841
T1,1.519,3.19,6.87,6.769
T1,1.578,3.155,6.938,7.338
T4,2.098,4.552,10.424,9.336
T4,2.137,4.778,9.168,10.084
T2,1.808,3.565,7.864,8.646
T4,2.087,4.446,10.671,10.18
T2,1.747,3.446,7.396,8.365
T3,2.041,3.803,8.808,8.423
T3,1.845,3.872,9.626,9.527
T4,2.26,4.922,10.63,9.671
T1,1.585,3.253,6.259,6.636
T3,2.052,4.094,8.554,8.762
T1,1.528,3.008,7.272,6.53
T4,2.406,4.294,10.314,9.53
T3,2.092,3.909,9.473,8.408
T3,1.97,3.928,9.548,8.99
T1,1.606,3.081,6.959,6.246
T2,1.731,3.604,8.5,7.462
T3,2.124,4.406,9.536,9.219
T3,1.877,4.371,9.4,8.601
T2,1.847,3.898,7.458,8.034
T1,1.591,2.841,6.46,6.253
T1,1.497,2.968,6.527,7.001
T3,2.131,3.787,8.852,9.084
T2,1.869,3.518,7.737,7.64
T4,2.256,4.52,9.923,9.927
T4,2.221,4.963,9.631,9.723
T2,1.648,3.688,7.96,8.552
T3,2.085,4.404,8.268,9.691
T4,2.22,4.302,10.651,10.391
T4,2.212,4.746,10.042,10.05
T2,1.835,3.842,8.107,8.365
T4,2.163,4.266,9.433,10.205
T3,1.915,4.219,8.604,9.105
T2,1.695,3.377,7.621,7.934
T3,2.142,3.927,8.881,8.986
T2,1.925,3.886,8.481,8.243
T1,1.541,3.013,6.631,6.334
T4,2.097,4.295,9.668,10.117
T3,2.127,4.254,9.395,8.858
T1,1.537,3.212,6.226,6.21
T2,1.755,3.659,8.641,7.434
T3,1.874,4.262,9.82,8.439
T3,2.105,4.143,9.819,9.682
T4,2.074,4.362,10.622,10.705
T3,2.119,3.99,8.358,8.763
T4,2.343,4.839,10.653,10.699
T4,2.207,4.835,10.575,9.266
T2,1.635,3.579,7.841,7.761
T1,1.504,2.856,7.343,7.061
T1,1.485,3.326,6.397,7.331
T2,1.811,3.704,8.46,7.454
T1,1.521,2.875,6.697,7.077
T2,1.888,3.925,7.794,7.667
T4,2.039,4.477,10.262,10.697
T4,2.078,4.515,10.464,9.185
T4,2.201,4.413,10.241,9.913
T4,2.203,4.747,9.151,10.388
T2,1.673,3.672,8.088,8.056
T3,2.051,3.823,8.589,9.326
T1,1.386,3.027,6.737,7.307
T3,1.994,3.956,8.864,8.476
T2,1.692,3.461,7.351,7.401
T2,1.782,3.382,7.399,7.571
T4,2.296,4.26,10.272,10.541
T3,2.118,4.203,9.329,9.403
T3,2.037,4.156,8.689,8.535
T2,1.807,3.527,8.095,7.342
T2,1.925,3.749,8.128,7.439
T3,2.04,4.103,9.775,9.497
T3,2.175,4.402,9.767,9.395
T3,2.138,4.48,9.336,9.321
T4,2.117,4.401,10.389,10.4
T3,1.872,4.489,8.456,8.6
T3,1.92,4.364,8.307,9.384
T4,2.056,4.287,10.778,9.734
T2,1.694,3.653,7.505,8.114
T3,1.976,4.095,9.504,9.505
T3,2.125,3.959,9.391,9.703
T1,1.486,2.855,6.777,6.429
T4,2.395,4.648,10.293,10.714
T1,1.41,2.891,6.878,6.757
T4,2.352,4.631,9.412,10.275
T4,2.234,4.25,9.266,10.844
T3,1.86,3.791,8.68,8.775
T4,2.37,4.685,9.423,10.801
T3,1.993,4.331,9.687,9.212
T2,1.925,3.664,7.387,7.813
