task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T1,0.439,101.9,5.4,5.44,10.19,97.93,4.85,96.42,10.89,101.38,5.02,5.18,10.78,107.33,5.3,112.72,11.05
T5,2.002,98.08,5.75,5.49,9.62,106.14,5.61,107.32,10.84,100.72,5.8,5.06,11.13,113.13,5.72,108.88,11.0
T10,3.68,98.75,4.81,5.49,11.32,100.36,4.94,112.98,10.11,110.23,5.44,5.16,10.3,103.3,5.54,103.64,9.67
T9,7.387,104.84,5.46,5.44,11.3,103.56,5.29,102.23,9.79,115.96,4.95,4.9,9.93,108.74,5.67,106.87,10.48
T9,10.245,109.55,5.41,5.33,10.8,96.6,5.06,107.0,9.87,118.67,5.27,5.38,11.28,96.93,5.6,106.37,10.8
T2,12.209,108.96,5.18,5.49,10.23,101.52,5.04,104.0,10.88,110.07,5.33,4.96,11.01,105.42,5.25,108.88,11.43
T8,13.66,112.11,5.4,4.96,11.45,118.27,4.98,115.31,10.61,98.68,5.64,5.7,9.99,115.41,4.76,110.75,10.63
T10,14.373,111.22,5.16,5.19,10.89,109.65,5.41,98.08,10.43,100.96,5.03,5.27,11.32,100.37,5.57,99.68,10.36
T1,14.563,93.43,5.37,5.46,9.75,105.9,4.81,107.68,11.68,108.23,5.2,4.81,10.38,108.78,5.28,96.46,10.67
T8,15.906,107.44,5.59,5.32,11.18,108.2,5.31,98.66,10.06,100.54,5.1,5.33,10.25,111.97,5.04,104.54,10.4
T5,17.914,102.13,5.2,5.38,10.3,100.29,5.21,107.2,11.43,109.4,5.08,5.33,11.18,110.7,5.68,110.66,11.36
T5,18.57,108.78,5.2,5.04,11.36,108.13,5.6,104.63,10.31,102.06,5.79,5.36,11.32,113.23,5.55,100.96,11.75
T5,19.504,103.46,5.38,5.09,10.06,98.49,4.83,98.17,11.18,108.67,5.25,5.8,10.22,112.18,5.26,103.83,10.58
T7,20.512,109.82,5.01,4.82,10.98,94.65,5.87,101.57,10.42,109.95,5.65,5.09,10.44,100.5,5.39,107.33,10.14
T10,22.819,113.02,4.94,5.44,10.51,98.17,5.11,107.35,9.49,109.76,5.03,5.18,10.0,104.23,5.7,108.14,9.41
T2,24.27,115.72,4.94,5.3,9.66,102.89,5.2,93.88,10.21,105.4,5.5,5.11,9.63,104.94,4.7,107.29,10.33
T1,25.863,98.95,5.23,5.27,9.29,102.84,4.93,112.51,10.42,105.11,5.47,4.68,9.4,111.48,5.42,98.11,11.01
T3,26.25,107.0,4.97,5.42,10.42,101.04,5.42,104.96,9.71,107.4,5.19,5.48,11.05,92.54,4.94,100.81,9.88
T6,27.312,100.09,4.69,5.74,9.8,94.86,5.08,106.54,11.61,104.76,4.65,5.3,10.45,110.7,5.0,110.04,10.05
T2,27.321,107.32,4.81,4.91,10.65,95.72,5.49,108.57,11.36,109.31,4.82,5.32,10.4,106.16,4.83,100.06,9.74
T3,31.214,112.98,5.6,4.99,10.48,106.82,5.25,104.33,10.55,105.54,4.94,5.14,10.51,92.52,5.31,105.94,10.19
T10,33.501,97.97,5.37,5.43,10.57,104.97,5.23,99.45,10.61,100.82,5.19,5.28,10.78,103.2,5.0,96.07,10.78
T7,34.579,113.12,5.46,5.11,9.87,97.55,5.16,98.99,10.87,96.77,5.16,4.77,9.63,97.36,5.79,102.62,10.95
T9,34.628,100.4,4.91,4.92,9.9,108.5,5.35,108.64,10.74,101.78,5.53,4.92,10.97,107.82,5.48,95.45,10.86
T7,35.464,104.63,5.24,5.02,10.64,97.56,5.74,102.65,11.01,104.31,5.07,4.95,9.76,109.12,5.1,93.8,10.96
T7,35.967,96.52,5.26,5.14,10.75,95.85,5.42,109.53,10.43,104.08,5.38,5.15,9.82,93.32,5.28,99.73,9.68
T8,36.478,95.63,5.01,5.18,11.12,110.74,5.09,114.93,9.58,107.89,5.47,5.03,9.75,104.23,5.13,107.02,9.46
T3,36.566,113.22,5.68,5.1,10.83,93.86,4.82,102.44,11.42,111.44,5.06,5.41,10.67,98.97,4.83,101.26,10.28
T3,37.513,106.88,4.94,4.88,11.16,96.88,4.84,93.95,11.04,113.77,5.03,5.42,9.77,99.06,5.39,108.54,10.51
T6,38.761,100.68,4.65,5.37,9.91,95.7,5.2,114.05,11.1,99.86,4.81,5.86,11.12,99.96,5.45,100.17,10.1
T10,39.556,102.9,5.05,5.07,10.33,101.14,5.06,98.93,9.63,99.12,5.45,4.93,10.05,102.95,5.27,99.98,9.41
T2,39.721,100.49,5.2,5.26,10.01,112.73,5.05,99.0,10.05,106.24,5.5,5.0,10.86,99.93,5.51,104.44,11.45
T6,40.805,106.3,4.86,5.55,10.44,99.21,5.39,114.91,10.69,100.25,4.73,5.78,10.65,109.37,4.88,112.23,10.1
T3,40.856,100.99,5.01,5.14,10.24,102.07,4.98,104.18,10.07,106.79,4.81,4.72,9.67,98.3,4.96,93.38,9.98
T7,41.953,97.94,5.39,4.97,10.9,100.89,5.87,108.48,11.06,98.55,4.83,5.04,9.55,93.64,5.62,106.42,9.89
T8,42.989,100.3,4.96,5.39,11.51,106.21,5.01,109.77,10.59,99.49,5.24,5.44,9.96,102.12,5.37,106.31,9.6
T2,43.763,108.01,5.48,5.07,10.12,104.05,5.06,95.65,10.54,105.75,4.88,4.76,10.52,108.6,5.26,110.9,10.74
T10,43.784,112.84,4.99,5.05,11.28,106.48,5.76,106.1,10.46,104.11,4.82,5.07,10.64,101.89,5.74,104.6,9.72
T5,45.487,106.39,5.68,5.09,10.76,99.92,5.52,103.48,10.39,94.33,4.93,5.23,10.83,105.24,5.66,109.31,10.45
T1,45.833,106.63,5.33,5.54,9.55,103.1,5.49,107.43,11.41,105.56,4.87,5.34,10.71,108.13,4.76,107.36,10.32
T1,46.341,98.5,5.24,5.4,9.88,110.79,4.82,102.48,10.66,97.91,4.84,4.85,10.82,107.2,5.01,96.71,10.72
T10,48.979,96.59,4.95,5.26,11.38,109.61,5.19,95.43,9.32,96.66,4.76,4.88,10.22,102.29,5.25,97.4,10.93
T10,49.002,113.04,5.57,4.92,11.6,112.2,5.02,100.54,10.35,110.66,4.72,5.51,10.2,97.61,5.07,107.8,10.91
T7,49.977,101.43,5.3,5.38,9.46,97.44,5.03,109.7,10.22,98.39,5.6,4.66,10.27,106.36,5.78,110.4,11.04
T4,51.238,110.93,4.93,5.26,11.16,101.39,5.29,97.06,9.81,100.48,5.55,5.3,10.3,110.5,5.62,104.13,10.55
T2,51.431,107.19,5.42,4.89,10.17,101.61,4.75,100.91,10.27,101.79,5.38,5.39,9.48,103.98,4.99,98.34,11.02
T5,52.372,94.79,5.57,5.81,10.64,98.62,5.37,105.77,11.6,105.91,5.04,5.42,9.78,109.67,5.33,98.21,11.32
T1,53.492,100.74,5.14,5.19,10.08,95.82,4.92,107.82,11.3,109.37,5.4,5.12,9.97,95.84,5.38,112.21,10.08
T3,56.504,104.74,5.38,4.76,9.83,104.78,4.78,99.43,10.78,101.74,5.28,4.84,10.16,106.23,5.01,103.11,11.06
T3,57.507,102.65,5.42,4.97,10.95,101.1,4.91,97.22,9.92,115.03,5.64,5.42,10.07,100.24,5.48,107.35,11.17
T10,58.45,100.32,5.2,4.7,11.33,110.06,5.16,104.52,9.48,102.61,5.14,5.33,11.18,110.96,4.9,96.55,9.93
T4,61.156,113.85,5.12,4.99,9.93,97.04,5.72,112.02,10.78,109.02,4.88,5.0,10.14,114.52,5.57,104.54,10.31
T5,61.389,101.32,5.29,5.5,11.29,100.0,4.94,109.63,10.53,98.94,5.34,5.39,11.15,112.35,4.9,104.06,11.1
T9,61.719,101.1,5.46,4.7,10.31,96.21,5.34,97.34,10.6,117.94,5.16,5.0,11.16,101.35,5.07,95.18,10.13
T7,62.575,101.69,5.37,4.88,10.9,99.15,5.24,99.62,11.07,103.19,4.76,5.3,9.94,104.01,5.46,97.79,10.44
T3,62.578,102.91,5.27,5.49,10.09,92.51,5.26,95.04,11.46,107.68,5.58,4.97,10.99,96.81,5.12,92.6,9.71
T1,63.022,94.49,4.75,5.34,10.32,109.94,5.55,99.68,11.2,92.84,5.49,4.67,10.86,107.9,5.44,107.93,10.2
T8,63.912,98.29,5.66,5.67,9.8,105.21,5.56,108.22,10.09,97.94,5.26,5.19,10.75,114.72,4.83,111.28,10.39
T9,64.927,107.39,5.08,5.17,10.96,93.7,5.24,94.64,11.29,100.66,5.17,4.72,10.09,106.4,5.82,101.13,11.03
T6,66.308,101.18,4.73,5.43,10.48,98.98,5.42,111.85,11.34,102.72,4.66,5.14,9.83,100.03,5.29,112.38,11.25
T10,66.947,113.96,5.35,4.79,10.25,114.59,5.49,99.55,10.73,109.92,4.78,5.41,11.48,111.6,5.14,100.91,9.82
T1,67.443,96.61,5.05,5.38,9.18,107.9,4.94,96.66,10.2,103.03,4.87,5.36,10.83,104.82,5.56,99.77,10.52
T1,67.664,97.56,5.47,5.22,10.34,104.74,4.82,107.67,10.59,93.32,5.11,4.83,9.36,110.25,5.05,98.72,10.07
T1,68.68,92.3,4.77,4.96,9.32,97.32,5.44,113.61,11.53,97.6,5.57,5.01,9.59,101.12,4.72,96.52,10.22
T10,69.537,106.59,5.53,5.42,11.34,112.02,4.98,109.28,9.56,102.76,5.38,4.88,10.69,98.79,5.71,99.86,9.76
T4,70.226,116.91,5.11,5.44,10.4,100.44,5.79,104.78,10.49,111.28,5.64,5.1,10.08,99.17,5.63,108.0,9.42
T7,71.477,104.32,5.57,5.28,9.55,94.11,5.4,105.54,10.43,100.66,5.61,4.87,10.95,98.63,5.67,93.62,10.54
T5,71.505,97.84,5.17,5.16,10.06,95.74,5.06,113.16,10.18,102.78,5.45,5.74,10.05,106.13,5.27,111.56,11.71
T1,72.589,101.92,5.17,4.66,10.69,95.46,5.44,98.18,11.27,104.6,4.71,4.7,9.65,113.03,5.58,100.42,10.71
T5,73.391,98.75,5.09,5.86,10.41,106.5,4.89,109.41,11.58,97.36,5.72,5.03,10.09,112.28,5.32,105.19,10.37
T4,73.412,105.62,5.27,5.3,9.68,107.48,5.1,112.83,10.82,101.29,5.29,4.8,11.03,114.35,5.61,101.02,10.23
T3,73.759,116.28,5.33,5.02,11.03,97.76,5.36,104.25,10.24,106.94,5.53,5.41,10.94,101.02,4.73,101.5,10.36
T4,73.857,103.72,5.43,5.29,10.04,102.95,5.73,97.09,9.57,117.57,5.29,4.68,11.33,114.48,5.67,98.74,10.05
T7,75.885,96.37,5.12,4.93,10.27,101.62,5.8,109.19,10.95,108.55,5.45,5.35,9.6,108.62,5.71,106.63,11.03
T2,76.869,109.34,4.97,4.77,9.79,104.84,4.69,108.47,10.96,114.03,5.07,5.27,10.7,96.54,5.43,100.87,10.72
T1,77.172,92.59,4.76,4.88,10.32,110.61,5.14,109.84,11.03,97.62,5.39,5.04,9.47,99.43,5.21,98.86,11.73
T10,78.059,111.87,5.59,5.57,10.65,114.78,5.74,108.49,10.52,112.26,5.03,5.52,11.22,110.34,4.86,97.61,9.32
T5,79.432,107.03,5.13,5.75,10.0,97.43,5.66,114.92,10.84,96.43,5.71,5.06,11.02,113.43,5.5,110.35,11.1
T8,80.334,99.18,5.46,5.6,10.19,113.47,5.35,100.55,9.93,97.64,5.23,4.96,9.92,117.22,4.87,98.63,9.5
