task_type,m1_1,m2_1,m3_1,m4_1
T2,0.014,0.051,0.396,0.427
T2,0.016,0.048,0.419,0.458
T2,0.016,0.054,0.425,0.399
T1,0.01,0.031,0.298,0.297
T2,0.015,0.051,0.443,0.451
T4,0.038,0.111,1.008,1.084
T3,0.021,0.082,0.592,0.636
T4,0.034,0.112,0.972,1.082
T2,0.014,0.051,0.42,0.403
T2,0.015,0.053,0.44,0.424
T3,0.022,0.078,0.629,0.684
T2,0.014,0.051,0.454,0.411
T1,0.01,0.031,0.269,0.285
T1,0.01,0.035,0.286,0.282
T1,0.01,0.034,0.289,0.306
T4,0.034,0.119,1.042,0.934
T4,0.034,0.125,0.917,1.008
T2,0.015,0.049,0.419,0.461
T4,0.033,0.116,1.067,1.018
T2,0.015,0.048,0.394,0.446
T3,0.023,0.07,0.622,0.595
T3,0.021,0.071,0.68,0.672
T4,0.036,0.128,1.063,0.967
T1,0.011,0.035,0.261,0.276
T3,0.023,0.075,0.604,0.619
T1,0.01,0.033,0.303,0.272
T4,0.039,0.112,1.031,0.953
T3,0.024,0.072,0.669,0.594
T3,0.022,0.072,0.674,0.635
T1,0.011,0.033,0.29,0.26
T2,0.015,0.05,0.453,0.398
T3,0.024,0.081,0.673,0.651
T3,0.021,0.08,0.664,0.607
T2,0.016,0.054,0.397,0.428
T1,0.011,0.031,0.269,0.26
T1,0.01,0.032,0.272,0.292
T3,0.024,0.07,0.625,0.641
T2,0.016,0.049,0.412,0.407
T4,0.036,0.118,0.992,0.993
T4,0.036,0.129,0.963,0.972
T2,0.014,0.051,0.424,0.456
T3,0.024,0.081,0.584,0.684
T4,0.036,0.112,1.065,1.039
T4,0.035,0.124,1.004,1.005
T2,0.016,0.053,0.432,0.446
T4,0.035,0.111,0.943,1.021
T3,0.022,0.078,0.607,0.643
T2,0.014,0.047,0.406,0.423
T3,0.024,0.072,0.627,0.634
T2,0.016,0.054,0.452,0.439
T1,0.01,0.033,0.276,0.264
T4,0.034,0.112,0.967,1.012
T3,0.024,0.078,0.663,0.625
T1,0.01,0.035,0.259,0.259
T2,0.015,0.051,0.46,0.396
T3,0.021,0.078,0.693,0.596
T3,0.024,0.076,0.693,0.683
T4,0.033,0.114,1.062,1.07
T3,0.024,0.073,0.59,0.619
T4,0.038,0.126,1.065,1.07
T4,0.035,0.126,1.057,0.927
T2,0.014,0.05,0.418,0.414
T1,0.01,0.031,0.306,0.294
T1,0.01,0.036,0.266,0.305
T2,0.015,0.051,0.451,0.397
T1,0.01,0.031,0.279,0.295
T2,0.016,0.054,0.415,0.409
T4,0.033,0.117,1.026,1.07
T4,0.033,0.118,1.046,0.919
T4,0.035,0.115,1.024,0.991
T4,0.035,0.124,0.915,1.039
T2,0.014,0.051,0.431,0.429
T3,0.023,0.07,0.606,0.658
T1,0.009,0.033,0.281,0.304
T3,0.023,0.073,0.626,0.598
T2,0.014,0.048,0.392,0.394
T2,0.015,0.047,0.394,0.403
T4,0.037,0.111,1.027,1.054
T3,0.024,0.077,0.659,0.664
T3,0.023,0.077,0.613,0.602
T2,0.015,0.049,0.431,0.391
T2,0.016,0.052,0.433,0.396
T3,0.023,0.076,0.69,0.67
T3,0.025,0.081,0.689,0.663
T3,0.024,0.082,0.659,0.658
T4,0.034,0.115,1.039,1.04
T3,0.021,0.083,0.597,0.607
T3,0.022,0.08,0.586,0.662
T4,0.033,0.112,1.078,0.973
T2,0.014,0.051,0.4,0.432
T3,0.022,0.075,0.671,0.671
T3,0.024,0.073,0.663,0.685
T1,0.01,0.031,0.282,0.268
T4,0.038,0.121,1.029,1.071
T1,0.009,0.031,0.287,0.281
T4,0.038,0.121,0.941,1.028
T4,0.036,0.111,0.927,1.084
T3,0.021,0.07,0.613,0.619
T4,0.038,0.122,0.942,1.08
T3,0.023,0.08,0.684,0.65
T2,0.016,0.051,0.394,0.416
T3,0.023,0.081,0.668,0.641
T3,0.021,0.077,0.664,0.625
T2,0.016,0.054,0.436,0.445
T2,0.015,0.055,0.422,0.417
T3,0.022,0.08,0.692,0.683
T1,0.01,0.035,0.29,0.299
T2,0.016,0.055,0.404,0.413
T2,0.015,0.054,0.433,0.389
T2,0.015,0.051,0.398,0.453
T3,0.023,0.075,0.586,0.673
T4,0.036,0.109,0.978,0.955
T1,0.011,0.035,0.292,0.306
T1,0.01,0.037,0.297,0.263
T2,0.016,0.053,0.417,0.405
T3,0.022,0.079,0.684,0.676
T2,0.014,0.05,0.429,0.435
T4,0.034,0.123,0.915,1.024
T2,0.015,0.051,0.391,0.43
T1,0.009,0.035,0.286,0.299
T3,0.022,0.077,0.596,0.688
T1,0.01,0.033,0.305,0.295
T1,0.009,0.031,0.268,0.296
T2,0.014,0.053,0.423,0.394
T1,0.009,0.036,0.278,0.264
T1,0.011,0.032,0.286,0.261
T1,0.009,0.031,0.278,0.294
T4,0.038,0.111,0.93,1.013
T4,0.033,0.121,0.994,0.917
T1,0.01,0.031,0.297,0.27
T4,0.039,0.125,0.943,0.952
T1,0.01,0.033,0.285,0.287
T1,0.01,0.034,0.292,0.298
T1,0.01,0.032,0.279,0.304
T4,0.035,0.124,0.949,1.012
T2,0.016,0.047,0.432,0.446
T1,0.01,0.031,0.303,0.307
T1,0.011,0.032,0.258,0.283
T3,0.024,0.07,0.677,0.672
T1,0.01,0.034,0.302,0.283
T2,0.015,0.053,0.436,0.442
T1,0.009,0.032,0.261,0.286
T1,0.009,0.036,0.271,0.301
T4,0.033,0.119,1.078,1.08
T4,0.038,0.114,1.038,0.989
T3,0.023,0.08,0.676,0.587
T2,0.014,0.049,0.389,0.449
T1,0.011,0.031,0.298,0.291
T1,0.009,0.033,0.273,0.287
T2,0.015,0.055,0.408,0.403
T4,0.035,0.111,0.947,1.011
T3,0.023,0.074,0.63,0.631
T3,0.022,0.081,0.693,0.63
T2,0.015,0.051,0.427,0.451
T1,0.009,0.033,0.258,0.297
