#, task_type_id, arrival_time,	estimated_time_t2xlarge,	estimated_time_g3sxlarge,	estimated_time_CLOUD,	execution_time_t2xlarge,	execution_time_g3sxlarge,	execution_time_CLOUD
1,	1,	0.0,			1.216,			0.964,			0.964,			1.185,			0.654,			0.968
2,	1,	0.0,			1.941,			0.628,			0.628,			2.072,			1.248,			1.389
3,	2,	0.116,			22.684,			0.099,			0.099,			24.446,			0.099,			0.099
4,	2,	1.098,			22.337,			0.099,			0.099,			24.569,			0.099,			0.099
5,	2,	3.284,			22.154,			0.099,			0.099,			23.075,			0.099,			0.099
6,	2,	4.303,			21.942,			0.099,			0.099,			21.796,			0.099,			0.099
7,	3,	6.664,			5.064,			0.974,			0.974,			1.48,			1.466,			1.364
8,	3,	6.897,			4.507,			0.607,			0.607,			2.449,			3.142,			0.683
9,	3,	6.903,			4.555,			1.737,			1.737,			5.69,			3.265,			1.531
10,	3,	7.086,			4.852,			1.106,			1.106,			8.437,			0.815,			2.016
11,	3,	7.215,			2.747,			1.075,			1.075,			6.317,			1.755,			3.294
12,	3,	7.373,			5.986,			1.281,			1.281,			6.769,			2.985,			1.345
13,	2,	7.392,			21.586,			0.099,			0.099,			23.318,			0.099,			0.099
14,	3,	7.726,			5.165,			3.139,			3.139,			5.806,			1.279,			3.259
15,	2,	8.416,			24.426,			0.099,			0.099,			22.018,			0.099,			0.099
16,	3,	8.664,			10.557,			1.639,			1.639,			9.818,			0.946,			1.159
17,	3,	8.758,			5.094,			3.037,			3.037,			2.227,			1.69,			1.791
18,	3,	8.778,			7.115,			2.026,			2.026,			8.337,			1.273,			0.781
19,	2,	8.797,			22.014,			0.099,			0.099,			24.798,			0.1,			0.099
20,	3,	8.802,			1.918,			1.189,			1.189,			5.715,			2.335,			1.363
21,	3,	8.985,			2.496,			0.47,			0.47,			2.153,			0.878,			3.139
22,	3,	9.143,			12.529,			2.929,			2.929,			8.408,			0.803,			1.179
23,	3,	9.215,			3.757,			0.737,			0.737,			5.064,			0.533,			1.648
24,	3,	9.768,			6.312,			1.737,			1.737,			3.161,			3.085,			0.738
25,	3,	9.893,			2.135,			1.37,			1.37,			4.322,			3.105,			1.675
26,	3,	10.08,			4.555,			1.062,			1.062,			5.69,			1.201,			0.567
27,	3,	10.414,			4.529,			0.96,			0.96,			10.237,			0.972,			0.837
