#, task_type_id, arrival_time,	estimated_time_t2xlarge,	estimated_time_g3sxlarge,	estimated_time_CLOUD,	execution_time_t2xlarge,	execution_time_g3sxlarge,	execution_time_CLOUD
1,	3,	10.042,			3.911,			0.959,			0.959,			8.1,			1.5,			0.853
2,	3,	11.144,			6.348,			1.454,			1.454,			6.093,			3.23,			2.956
3,	3,	12.363,			4.935,			0.818,			0.818,			3.445,			1.535,			0.675
4,	3,	13.659,			9.829,			1.216,			1.216,			2.838,			1.08,			1.255
5,	1,	17.647,			1.454,			0.866,			0.866,			2.436,			1.405,			0.939
6,	2,	26.643,			21.81,			0.099,			0.099,			22.006,			0.099,			0.099
7,	2,	113.309,			22.231,			0.099,			0.099,			22.509,			0.099,			0.099
8,	2,	114.269,			23.583,			0.099,			0.099,			22.679,			0.099,			0.099
9,	2,	125.504,			22.677,			0.099,			0.099,			23.836,			0.099,			0.099
10,	2,	134.868,			22.394,			0.099,			0.099,			22.431,			0.099,			0.1
11,	2,	139.456,			21.946,			0.099,			0.099,			21.414,			0.099,			0.099
12,	2,	140.626,			22.439,			0.099,			0.099,			22.465,			0.099,			0.099
13,	1,	148.235,			2.04,			0.884,			0.884,			1.051,			0.817,			1.216
14,	1,	152.114,			1.237,			0.952,			0.952,			1.201,			0.967,			1.401
15,	1,	154.615,			1.448,			1.151,			1.151,			1.126,			0.937,			1.132
16,	2,	154.724,			23.263,			0.099,			0.099,			23.682,			0.099,			0.099
17,	2,	158.931,			22.09,			0.099,			0.099,			21.921,			0.099,			0.099
18,	2,	158.997,			21.661,			0.099,			0.099,			22.045,			0.099,			0.1
19,	1,	164.303,			1.483,			0.999,			0.999,			2.279,			0.968,			0.619
20,	2,	166.34,			22.82,			0.099,			0.099,			21.865,			0.099,			0.099
21,	1,	173.163,			1.825,			1.027,			1.027,			1.312,			1.539,			0.948
22,	1,	174.334,			1.41,			0.641,			0.641,			2.119,			0.963,			1.113
23,	1,	177.825,			1.097,			1.132,			1.132,			1.104,			0.87,			0.63
24,	2,	180.163,			22.009,			0.099,			0.099,			23.769,			0.099,			0.099
25,	2,	181.229,			21.558,			0.099,			0.099,			22.132,			0.099,			0.099
26,	1,	182.294,			2.074,			0.961,			0.961,			1.793,			1.396,			1.239
27,	1,	190.76,			2.019,			0.588,			0.588,			1.725,			0.912,			0.719
28,	2,	192.452,			23.203,			0.099,			0.099,			22.289,			0.099,			0.099
29,	1,	197.922,			1.257,			1.213,			1.213,			1.102,			0.891,			0.629
30,	2,	202.92,			21.671,			0.1,			0.1,			22.414,			0.099,			0.1
31,	2,	207.762,			21.992,			0.099,			0.099,			21.627,			0.099,			0.099
32,	2,	209.074,			24.187,			0.099,			0.099,			23.54,			0.099,			0.099
33,	2,	210.479,			21.564,			0.1,			0.1,			21.87,			0.099,			0.099
34,	2,	213.254,			23.36,			0.099,			0.099,			21.825,			0.099,			0.099
35,	2,	214.985,			24.767,			0.099,			0.099,			21.8,			0.099,			0.099
36,	2,	223.973,			22.155,			0.099,			0.099,			21.735,			0.099,			0.099
37,	2,	224.715,			21.564,			0.099,			0.099,			22.073,			0.099,			0.099
38,	2,	230.096,			24.374,			0.099,			0.099,			24.509,			0.099,			0.1
39,	2,	233.708,			21.951,			0.099,			0.099,			24.468,			0.099,			0.099
40,	2,	234.266,			22.282,			0.099,			0.099,			22.983,			0.099,			0.099
41,	2,	245.595,			21.387,			0.099,			0.099,			22.099,			0.099,			0.1
42,	2,	246.781,			24.445,			0.099,			0.099,			23.464,			0.099,			0.1
43,	1,	249.656,			1.93,			1.238,			1.238,			1.272,			0.746,			0.961
44,	1,	249.69,			1.296,			0.981,			0.981,			1.075,			0.998,			0.894
45,	2,	249.723,			22.465,			0.099,			0.099,			23.512,			0.099,			0.099
46,	1,	250.02,			1.286,			1.235,			1.235,			1.237,			0.866,			1.342
47,	1,	251.493,			1.301,			0.874,			0.874,			1.785,			0.619,			0.735
48,	2,	252.92,			21.977,			0.099,			0.099,			23.007,			0.1,			0.099
49,	2,	253.006,			23.999,			0.099,			0.099,			22.481,			0.099,			0.099
50,	1,	253.562,			1.436,			0.641,			0.641,			1.257,			0.945,			1.245
51,	1,	254.826,			1.299,			0.935,			0.935,			1.326,			1.396,			0.632
52,	1,	262.545,			1.217,			1.149,			1.149,			1.429,			0.896,			0.972
53,	2,	264.296,			22.738,			0.1,			0.1,			21.872,			0.099,			0.099
54,	1,	264.754,			1.29,			1.231,			1.231,			1.305,			0.902,			0.915
