#, task_type_id, arrival_time,	estimated_time_t2xlarge,	estimated_time_g3sxlarge,	estimated_time_CLOUD,	execution_time_t2xlarge,	execution_time_g3sxlarge,	execution_time_CLOUD
1,	1,	62.464,			1.894,			0.812,			0.812,			1.203,			0.875,			0.617
2,	2,	71.685,			23.035,			0.099,			0.099,			22.012,			0.099,			0.099
3,	1,	82.308,			1.467,			0.841,			0.841,			1.251,			0.624,			0.934
4,	2,	82.502,			21.813,			0.099,			0.099,			22.198,			0.099,			0.099
5,	1,	96.024,			2.103,			0.891,			0.891,			1.126,			1.192,			1.49
6,	2,	100.231,			23.903,			0.099,			0.099,			23.396,			0.1,			0.099
7,	1,	132.239,			1.774,			1.264,			1.264,			1.204,			0.612,			1.011
8,	1,	137.396,			1.109,			0.873,			0.873,			1.923,			0.928,			0.899
9,	1,	149.445,			1.216,			0.84,			0.84,			2.147,			1.16,			1.128
10,	2,	152.268,			22.519,			0.099,			0.099,			24.519,			0.099,			0.099
11,	2,	161.625,			22.012,			0.099,			0.099,			21.493,			0.099,			0.1
12,	1,	167.777,			1.244,			0.627,			0.627,			1.249,			1.142,			1.332
13,	2,	168.963,			22.196,			0.099,			0.099,			21.903,			0.099,			0.099
14,	2,	171.651,			24.492,			0.099,			0.099,			22.289,			0.099,			0.099
15,	2,	175.211,			22.27,			0.099,			0.099,			22.233,			0.099,			0.099
16,	1,	178.128,			1.269,			0.898,			0.898,			1.82,			0.964,			0.925
17,	1,	193.622,			1.469,			0.964,			0.964,			1.217,			0.832,			1.199
18,	1,	201.077,			1.019,			0.919,			0.919,			0.993,			1.171,			0.917
19,	2,	202.376,			22.73,			0.1,			0.1,			24.065,			0.099,			0.099
20,	1,	203.829,			1.004,			0.913,			0.913,			1.287,			0.882,			1.096
21,	1,	204.683,			1.109,			0.825,			0.825,			2.252,			0.972,			1.082
22,	2,	212.15,			23.664,			0.099,			0.099,			22.818,			0.099,			0.099
23,	1,	212.545,			1.11,			1.082,			1.082,			1.305,			0.624,			0.618
24,	2,	213.428,			23.662,			0.099,			0.099,			21.555,			0.099,			0.099
25,	2,	216.779,			21.804,			0.099,			0.099,			21.958,			0.1,			0.099
26,	2,	218.731,			21.715,			0.099,			0.099,			22.029,			0.099,			0.099
27,	2,	224.43,			21.89,			0.099,			0.099,			22.113,			0.099,			0.099
28,	1,	224.643,			1.223,			0.969,			0.969,			1.04,			0.628,			0.944
29,	2,	229.911,			23.16,			0.099,			0.099,			21.977,			0.099,			0.099
30,	1,	230.503,			1.497,			1.054,			1.054,			1.277,			0.874,			1.258
31,	2,	231.321,			21.9,			0.099,			0.099,			21.712,			0.099,			0.099
32,	2,	234.021,			24.137,			0.099,			0.099,			22.12,			0.099,			0.1
33,	2,	235.433,			21.621,			0.099,			0.099,			23.365,			0.099,			0.099
34,	2,	242.49,			21.844,			0.099,			0.099,			25.069,			0.099,			0.099
35,	1,	242.801,			1.801,			0.955,			0.955,			1.105,			0.898,			1.096
36,	2,	243.202,			21.758,			0.099,			0.099,			22.089,			0.1,			0.099
37,	1,	245.866,			1.311,			0.881,			0.881,			1.09,			1.268,			0.922
38,	1,	246.88,			1.252,			0.794,			0.794,			2.099,			1.009,			1.189
39,	1,	248.964,			1.255,			0.885,			0.885,			1.523,			0.74,			0.903
40,	1,	250.123,			1.24,			1.258,			1.258,			1.782,			1.153,			0.588
41,	2,	250.165,			22.648,			0.099,			0.099,			22.164,			0.099,			0.099
42,	2,	251.845,			24.27,			0.099,			0.099,			23.683,			0.1,			0.099
43,	2,	252.091,			22.836,			0.099,			0.099,			21.735,			0.099,			0.1
44,	2,	253.56,			24.069,			0.099,			0.099,			23.965,			0.099,			0.099
45,	2,	261.41,			21.832,			0.099,			0.099,			23.071,			0.099,			0.099
46,	2,	262.646,			24.235,			0.099,			0.099,			23.764,			0.1,			0.099
47,	2,	265.199,			23.805,			0.099,			0.099,			22.25,			0.099,			0.099
48,	2,	265.463,			21.86,			0.099,			0.099,			23.139,			0.099,			0.099
49,	1,	266.461,			1.239,			0.627,			0.627,			1.42,			0.91,			0.895
50,	2,	267.449,			21.791,			0.099,			0.099,			21.697,			0.099,			0.099
51,	1,	267.827,			1.277,			0.619,			0.619,			1.435,			0.925,			1.339
52,	2,	269.33,			22.177,			0.099,			0.099,			21.99,			0.099,			0.099
53,	1,	270.055,			1.199,			1.527,			1.527,			1.102,			1.437,			0.84
54,	2,	270.696,			21.883,			0.099,			0.099,			23.118,			0.099,			0.099
55,	2,	271.164,			24.765,			0.099,			0.099,			24.066,			0.099,			0.099
56,	1,	274.159,			1.778,			1.234,			1.234,			1.499,			0.993,			0.914
57,	2,	276.487,			24.242,			0.099,			0.099,			23.176,			0.099,			0.099
58,	1,	277.956,			0.943,			1.164,			1.164,			1.26,			1.135,			1.09
59,	1,	278.602,			1.033,			0.932,			0.932,			0.936,			0.944,			0.956
60,	1,	280.09,			1.452,			1.459,			1.459,			1.403,			0.621,			0.875
61,	2,	280.896,			21.754,			0.099,			0.099,			22.904,			0.099,			0.099
62,	2,	282.123,			22.02,			0.099,			0.099,			22.018,			0.1,			0.099
63,	2,	283.648,			22.206,			0.099,			0.099,			21.561,			0.099,			0.099
64,	1,	285.396,			1.101,			0.819,			0.819,			1.422,			1.346,			1.436
65,	1,	289.827,			1.123,			0.781,			0.781,			0.979,			1.085,			0.928
66,	2,	290.117,			23.782,			0.099,			0.099,			22.642,			0.099,			0.099
