#, task_type_id, arrival_time,	estimated_time_t2xlarge,	estimated_time_g3sxlarge,	estimated_time_CLOUD,	execution_time_t2xlarge,	execution_time_g3sxlarge,	execution_time_CLOUD
1,	1,	50.053,			1.235,			0.924,			0.924,			1.108,			1.4,			0.782
2,	2,	100.083,			21.89,			0.099,			0.099,			23.733,			0.099,			0.099
3,	2,	116.092,			21.866,			0.099,			0.099,			22.243,			0.099,			0.099
4,	2,	119.829,			22.197,			0.099,			0.099,			23.739,			0.099,			0.1
5,	2,	136.854,			22.738,			0.099,			0.099,			22.745,			0.099,			0.099
6,	2,	140.79,			23.483,			0.099,			0.099,			21.83,			0.1,			0.099
7,	1,	142.226,			1.181,			0.935,			0.935,			1.943,			0.952,			0.889
8,	1,	142.911,			2.436,			0.618,			0.618,			1.231,			0.857,			1.109
9,	2,	150.245,			22.426,			0.099,			0.099,			21.974,			0.099,			0.099
10,	2,	157.195,			23.526,			0.099,			0.099,			21.323,			0.1,			0.099
11,	2,	158.666,			22.11,			0.099,			0.099,			22.378,			0.099,			0.099
12,	1,	160.742,			2.044,			0.926,			0.926,			1.09,			0.587,			0.62
13,	1,	178.302,			1.066,			0.971,			0.971,			2.145,			0.85,			0.871
14,	1,	184.468,			1.3,			0.847,			0.847,			1.331,			1.183,			1.08
15,	1,	185.319,			1.798,			0.845,			0.845,			1.894,			0.726,			1.234
16,	2,	190.512,			21.687,			0.099,			0.099,			22.741,			0.099,			0.099
17,	1,	190.791,			2.067,			0.812,			0.812,			1.303,			0.903,			1.446
18,	1,	195.345,			1.916,			0.783,			0.783,			1.202,			1.093,			1.199
19,	1,	197.287,			0.999,			0.932,			0.932,			1.223,			0.875,			0.62
20,	1,	199.315,			1.249,			0.613,			0.613,			2.37,			0.617,			0.781
21,	2,	203.648,			22.916,			0.099,			0.099,			22.968,			0.099,			0.099
22,	2,	213.914,			22.424,			0.099,			0.099,			23.807,			0.099,			0.1
23,	2,	217.103,			22.267,			0.099,			0.099,			21.642,			0.099,			0.099
24,	1,	224.062,			1.516,			0.812,			0.812,			1.308,			0.996,			0.88
25,	1,	224.443,			1.216,			0.879,			0.879,			1.027,			0.727,			0.746
26,	1,	226.758,			2.04,			0.988,			0.988,			2.025,			1.119,			0.732
27,	2,	227.089,			22.93,			0.099,			0.099,			23.731,			0.099,			0.099
28,	1,	227.755,			1.11,			1.137,			1.137,			0.948,			1.386,			1.234
29,	2,	228.491,			22.134,			0.099,			0.099,			22.156,			0.099,			0.099
30,	1,	228.614,			1.475,			0.951,			0.951,			1.25,			0.73,			1.085
31,	2,	233.637,			24.848,			0.099,			0.099,			23.526,			0.099,			0.1
32,	1,	234.806,			1.292,			0.876,			0.876,			1.006,			0.898,			0.625
33,	2,	236.029,			21.851,			0.099,			0.099,			21.527,			0.099,			0.099
34,	2,	238.224,			24.119,			0.099,			0.099,			23.541,			0.099,			0.099
35,	1,	241.756,			1.07,			0.885,			0.885,			1.816,			1.135,			1.12
36,	1,	248.253,			1.26,			0.692,			0.692,			1.294,			0.859,			0.998
37,	2,	249.513,			22.748,			0.099,			0.099,			23.935,			0.099,			0.099
38,	1,	258.532,			1.243,			0.944,			0.944,			2.126,			1.054,			0.623
39,	2,	262.08,			21.578,			0.099,			0.099,			22.029,			0.099,			0.099
40,	1,	263.249,			1.255,			0.876,			0.876,			1.478,			1.405,			0.912
41,	1,	264.267,			1.269,			0.988,			0.988,			1.438,			0.739,			0.879
42,	1,	264.962,			1.772,			1.132,			1.132,			1.747,			0.871,			0.985
43,	2,	265.415,			21.627,			0.1,			0.1,			22.414,			0.099,			0.099
44,	2,	266.832,			22.17,			0.099,			0.099,			21.759,			0.099,			0.099
45,	2,	267.735,			24.346,			0.099,			0.099,			21.463,			0.099,			0.099
46,	2,	272.216,			22.015,			0.099,			0.099,			22.913,			0.099,			0.099
47,	2,	275.335,			21.622,			0.099,			0.099,			22.513,			0.099,			0.099
48,	1,	279.92,			2.059,			0.884,			0.884,			1.102,			1.187,			0.938
49,	2,	281.334,			22.019,			0.099,			0.099,			21.786,			0.099,			0.1
50,	2,	281.718,			22.218,			0.1,			0.1,			21.463,			0.099,			0.099
51,	2,	282.988,			21.641,			0.099,			0.099,			22.089,			0.099,			0.099
