#, task_type_id, arrival_time,	estimated_time_t2xlarge,	estimated_time_g3sxlarge,	estimated_time_CLOUD,	execution_time_t2xlarge,	execution_time_g3sxlarge,	execution_time_CLOUD
1,	1,	0.0,			1.084,			0.881,			0.881,			1.434,			0.756,			0.732
2,	2,	0.028,			22.133,			0.099,			0.099,			24.036,			0.099,			0.099
3,	2,	5.318,			23.788,			0.099,			0.099,			24.558,			0.099,			0.099
4,	2,	7.1,			22.682,			0.099,			0.099,			21.946,			0.099,			0.099
5,	2,	7.582,			22.371,			0.099,			0.099,			23.664,			0.099,			0.1
6,	2,	8.892,			22.487,			0.1,			0.1,			21.902,			0.1,			0.099
7,	2,	9.764,			22.035,			0.099,			0.099,			23.642,			0.099,			0.099
8,	2,	10.889,			22.037,			0.099,			0.099,			23.944,			0.099,			0.099
9,	2,	11.272,			21.752,			0.099,			0.099,			24.117,			0.099,			0.099
10,	2,	11.346,			23.642,			0.099,			0.099,			22.366,			0.099,			0.099
11,	2,	12.53,			21.685,			0.099,			0.099,			22.004,			0.099,			0.1
12,	2,	17.036,			22.067,			0.099,			0.099,			23.526,			0.099,			0.099
13,	2,	18.167,			22.852,			0.099,			0.099,			22.344,			0.099,			0.099
14,	2,	18.98,			21.438,			0.099,			0.099,			22.747,			0.099,			0.099
15,	2,	19.393,			21.716,			0.099,			0.099,			24.774,			0.099,			0.099
16,	2,	19.439,			22.455,			0.1,			0.1,			23.788,			0.1,			0.099
17,	2,	19.886,			24.344,			0.099,			0.099,			21.968,			0.099,			0.099
18,	2,	21.054,			21.988,			0.099,			0.099,			22.177,			0.099,			0.099
19,	2,	22.64,			22.185,			0.099,			0.099,			24.104,			0.099,			0.099
20,	2,	29.119,			22.08,			0.099,			0.099,			24.543,			0.1,			0.1
21,	2,	31.869,			22.237,			0.099,			0.099,			23.175,			0.099,			0.099
22,	2,	32.761,			22.282,			0.099,			0.099,			22.427,			0.099,			0.099
23,	2,	33.366,			22.255,			0.099,			0.099,			23.197,			0.099,			0.099
24,	2,	33.68,			22.232,			0.099,			0.099,			21.972,			0.1,			0.099
25,	2,	33.736,			23.684,			0.099,			0.099,			23.793,			0.099,			0.099
26,	2,	35.536,			22.607,			0.099,			0.099,			23.628,			0.099,			0.099
27,	2,	37.102,			21.464,			0.099,			0.099,			21.659,			0.099,			0.099
