task_type,m1_1,m2_1,m3_1,m4_1
T2,2.152,6.782,27.38,29.511
T2,2.456,6.354,28.98,31.649
T2,2.409,7.264,29.38,27.596
T1,1.696,4.621,22.774,22.683
T2,2.252,6.803,30.638,31.161
T4,4.222,10.727,50.403,54.225
T3,2.808,9.534,35.859,38.535
T4,3.722,10.817,48.591,54.1
T2,2.134,6.825,29.044,27.879
T2,2.271,7.054,30.416,29.279
T3,2.959,9.128,38.105,41.439
T2,2.193,6.845,31.357,28.396
T1,1.637,4.639,20.579,21.766
T1,1.71,5.103,21.859,21.539
T1,1.776,5.047,22.077,23.349
T4,3.711,11.442,52.118,46.678
T4,3.781,12.012,45.839,50.418
T2,2.355,6.601,28.962,31.838
T4,3.692,11.176,53.356,50.899
T2,2.276,6.379,27.238,30.806
T3,3.086,8.17,37.645,36.0
T3,2.789,8.32,41.14,40.715
T4,3.998,12.372,53.152,48.354
T1,1.784,5.204,19.916,21.116
T3,3.102,8.796,36.56,37.447
T1,1.72,4.812,23.14,20.779
T4,4.256,10.795,51.569,47.652
T3,3.163,8.399,40.487,35.935
T3,2.979,8.44,40.808,38.423
T1,1.808,4.929,22.144,19.873
T2,2.255,6.672,31.304,27.478
T3,3.212,9.466,40.756,39.401
T3,2.838,9.391,40.173,36.76
T2,2.406,7.217,27.464,29.588
T1,1.791,4.545,20.555,19.896
T1,1.685,4.747,20.767,22.277
T3,3.221,8.137,37.834,38.824
T2,2.435,6.514,28.491,28.135
T4,3.99,11.363,49.616,49.637
T4,3.928,12.476,48.155,48.614
T2,2.147,6.827,29.314,31.496
T3,3.152,9.462,35.337,41.416
T4,3.927,10.814,53.253,51.956
T4,3.912,11.93,50.208,50.248
T2,2.391,7.114,29.857,30.806
T4,3.825,10.723,47.166,51.027
T3,2.895,9.065,36.771,38.911
T2,2.208,6.253,28.064,29.219
T3,3.239,8.437,37.954,38.404
T2,2.508,7.194,31.234,30.357
T1,1.735,4.82,21.1,20.156
T4,3.709,10.797,48.34,50.587
T3,3.217,9.14,40.153,37.856
T1,1.731,5.139,19.811,19.758
T2,2.287,6.774,31.82,27.377
T3,2.834,9.158,41.968,36.065
T3,3.183,8.901,41.963,41.379
T4,3.668,10.964,53.112,53.525
T3,3.205,8.572,35.72,37.453
T4,4.145,12.164,53.265,53.495
T4,3.903,12.155,52.874,46.329
T2,2.13,6.626,28.874,28.582
T1,1.693,4.569,23.366,22.469
T1,1.672,5.321,20.354,23.326
T2,2.359,6.858,31.154,27.45
T1,1.713,4.599,21.309,22.518
T2,2.46,7.267,28.702,28.237
T4,3.606,11.254,51.312,53.487
T4,3.676,11.348,52.318,45.926
T4,3.893,11.093,51.204,49.564
T4,3.898,11.934,45.755,51.938
T2,2.179,6.799,29.786,29.668
T3,3.102,8.214,36.706,39.857
T1,1.561,4.843,21.437,23.25
T3,3.015,8.5,37.885,36.227
T2,2.204,6.408,27.07,27.254
T2,2.322,6.261,27.247,27.881
T4,4.062,10.708,51.358,52.705
T3,3.202,9.03,39.868,40.187
T3,3.08,8.93,37.137,36.475
T2,2.354,6.53,29.81,27.039
T2,2.508,6.94,29.933,27.397
T3,3.084,8.817,41.776,40.589
T3,3.289,9.457,41.743,40.154
T3,3.233,9.626,39.9,39.835
T4,3.744,11.062,51.943,52.002
T3,2.83,9.644,36.14,36.755
T3,2.903,9.375,35.504,40.104
T4,3.637,10.776,53.892,48.67
T2,2.207,6.764,27.638,29.88
T3,2.988,8.798,40.617,40.623
T3,3.213,8.507,40.137,41.469
T1,1.673,4.567,21.565,20.456
T4,4.237,11.683,51.464,53.569
T1,1.588,4.624,21.884,21.499
T4,4.16,11.641,47.058,51.376
T4,3.952,10.683,46.329,54.22
T3,2.813,8.144,37.095,37.505
T4,4.193,11.777,47.113,54.005
T3,3.014,9.306,41.401,39.37
T2,2.508,6.784,27.204,28.772
T3,3.1,9.414,40.473,38.782
T3,2.81,9.016,40.191,37.82
T2,2.399,7.248,30.15,30.743
T2,2.331,7.335,29.169,28.82
T3,2.998,9.35,41.926,41.361
T1,1.771,5.167,22.135,22.871
T2,2.398,7.328,27.912,28.572
T2,2.259,7.23,29.908,26.891
T2,2.253,6.771,27.521,31.28
T3,3.035,8.774,35.493,40.756
T4,3.996,10.536,48.901,47.749
T1,1.783,5.115,22.328,23.336
T1,1.689,5.386,22.705,20.07
T2,2.478,7.069,28.81,27.994
T3,2.992,9.188,41.439,40.913
T2,2.175,6.671,29.683,30.056
T4,3.742,11.817,45.772,51.207
T2,2.298,6.845,27.052,29.75
T1,1.584,5.132,21.866,22.81
T3,2.99,9.0,36.075,41.668
T1,1.741,4.882,23.269,22.507
T1,1.603,4.545,20.478,22.64
T2,2.215,7.104,29.224,27.255
T1,1.571,5.284,21.227,20.138
T1,1.808,4.776,21.847,19.943
T1,1.587,4.586,21.255,22.449
T4,4.159,10.74,46.485,50.648
T4,3.625,11.69,49.686,45.871
T1,1.765,4.553,22.651,20.63
T4,4.26,12.053,47.151,47.604
T1,1.661,4.881,21.784,21.907
T1,1.652,5.03,22.282,22.739
T1,1.65,4.676,21.306,23.258
T4,3.914,11.984,47.448,50.601
T2,2.435,6.219,29.847,30.857
T1,1.674,4.552,23.161,23.414
T1,1.801,4.716,19.726,21.595
T3,3.182,8.166,41.015,40.669
T1,1.663,5.025,23.072,21.631
T2,2.225,7.025,30.139,30.582
T1,1.606,4.778,19.946,21.814
T1,1.591,5.259,20.679,23.015
T4,3.627,11.525,53.887,54.008
T4,4.171,10.999,51.878,49.43
T3,3.013,9.29,40.901,35.524
T2,2.146,6.496,26.919,31.004
T1,1.821,4.639,22.755,22.258
T1,1.6,4.804,20.847,21.96
T2,2.308,7.305,28.187,27.87
T4,3.82,10.693,47.349,50.563
T3,3.081,8.651,38.16,38.198
T3,2.974,9.487,41.935,38.164
T2,2.35,6.857,29.548,31.207
T1,1.588,4.875,19.691,22.657
T2,2.384,6.42,28.633,30.261
T3,2.808,9.001,36.009,36.032
T2,2.182,6.319,30.092,29.757
T2,2.47,6.367,28.87,27.89
T3,2.841,8.335,38.426,36.217
T2,2.203,6.346,28.989,28.345
T4,4.063,10.583,47.305,46.25
T4,3.997,11.024,46.473,53.157
T4,3.717,10.847,47.151,53.14
T4,3.994,11.261,50.182,45.807
T3,2.785,8.621,41.31,40.961
T3,2.982,8.456,35.435,39.35
T3,2.966,8.329,40.536,39.366
T3,3.007,9.645,35.31,39.083
T2,2.175,6.58,31.737,30.833
T4,3.645,11.728,51.37,49.851
T3,3.02,9.266,40.136,37.58
T3,3.015,8.158,38.29,36.75
T2,2.5,6.65,27.026,29.723
T1,1.627,5.034,23.033,21.805
T4,3.685,11.697,49.998,49.966
T3,3.276,9.568,41.009,38.231
T2,2.253,6.373,28.554,27.403
T1,1.825,4.981,22.253,20.185
T3,2.846,9.22,41.778,40.306
T3,2.985,8.973,35.979,38.67
T1,1.838,5.251,22.469,19.71
T4,3.837,12.396,48.723,45.691
T2,2.345,7.087,29.106,30.587
T4,3.988,10.74,51.457,49.026
T4,4.163,11.493,46.477,52.254
T3,3.01,8.568,39.678,36.525
T2,2.13,6.34,31.895,29.958
T1,1.588,4.612,21.895,19.802
T2,2.308,6.735,28.476,29.697
T4,3.95,12.369,49.973,45.991
T3,2.887,8.563,37.088,36.686
T3,3.222,9.445,37.968,39.367
T4,3.939,12.478,48.303,46.505
T3,3.242,9.369,40.949,41.192
T4,3.838,10.736,49.44,53.425
T2,2.305,6.905,30.551,28.321
T4,4.037,10.87,52.644,54.171
T3,2.976,9.188,36.962,41.336
T2,2.293,6.848,28.741,29.921
T3,3.273,9.304,41.417,41.727
T4,4.167,12.349,48.372,51.592
T3,3.046,9.044,37.066,38.056
T4,3.973,11.637,53.632,49.145
T3,3.285,8.843,41.358,35.715
T3,3.103,8.884,36.527,40.431
T3,3.285,8.357,35.72,41.862
T4,3.699,10.786,49.991,49.847
T4,4.05,11.722,52.999,53.424
T2,2.213,7.228,29.64,31.489
T1,1.761,5.044,22.264,22.467
T3,2.921,8.376,36.85,37.858
T2,2.116,6.606,31.608,28.312
T2,2.18,6.646,29.06,29.251
T4,3.859,11.92,46.883,53.927
T4,3.602,11.984,51.916,50.753
T1,1.84,5.317,20.527,23.365
T1,1.668,5.162,21.81,20.342
T2,2.435,6.731,31.014,27.643
T3,3.135,8.223,39.366,37.817
T3,2.826,8.621,39.295,36.852
T1,1.674,4.723,22.378,22.915
T3,2.978,9.065,39.038,38.458
T1,1.792,4.861,23.298,23.259
T1,1.731,5.039,21.066,23.055
T2,2.314,6.473,27.177,30.84
T2,2.48,6.188,31.319,27.806
T3,2.843,8.323,41.54,35.899
T3,2.907,8.707,41.16,37.303
T2,2.338,7.336,27.419,29.302
T3,3.009,9.454,38.369,40.502
T4,4.026,11.116,47.637,48.21
T1,1.585,5.032,20.837,21.752
T3,2.845,8.939,37.858,39.762
T2,2.176,6.319,31.736,27.217
T2,2.288,6.68,27.95,28.553
T3,3.282,9.171,41.0,40.564
T4,4.09,11.638,54.162,50.412
T1,1.771,5.39,21.413,22.642
T2,2.331,6.295,29.887,27.958
T2,2.283,6.675,29.913,29.597
T1,1.743,4.604,22.017,22.755
T2,2.16,6.705,31.711,31.208
T4,4.26,12.198,49.615,50.061
T2,2.128,6.208,30.472,30.526
T3,2.954,8.721,38.954,41.013
T2,2.132,7.186,26.906,27.603
T1,1.744,5.069,21.968,22.73
T3,3.131,8.195,38.652,38.301
T2,2.506,6.283,30.561,27.899
T1,1.748,4.704,20.673,20.783
T4,4.128,12.508,51.507,47.596
T4,3.783,11.172,47.802,50.674
T1,1.704,5.149,21.71,22.268
T4,4.186,12.378,54.203,48.49
T1,1.565,4.565,23.239,20.891
T2,2.468,6.749,27.118,27.485
T4,3.754,11.129,49.586,48.703
T1,1.83,5.108,22.346,21.765
T3,3.063,8.419,41.631,37.013
T4,3.78,11.172,49.925,46.555
T2,2.138,7.247,31.601,31.314
T1,1.552,4.792,20.748,22.49
T2,2.495,6.496,28.126,28.13
T2,2.15,6.789,28.712,30.114
T4,4.004,11.402,46.968,46.303
T2,2.155,6.845,29.862,29.035
T1,1.562,5.282,22.451,22.785
T2,2.468,7.182,29.49,29.347
T2,2.432,6.919,31.621,30.582
T3,3.082,8.799,41.984,41.911
T4,3.841,10.876,50.605,49.877
T3,3.16,8.232,41.779,39.684
T2,2.493,6.339,29.558,30.306
T2,2.388,7.149,28.752,27.105
T2,2.151,7.15,29.305,30.644
T2,2.153,7.231,28.327,28.35
T3,3.216,9.297,38.248,35.689
T4,3.655,12.434,50.459,52.528
T3,2.934,8.726,37.45,39.658
T1,1.723,4.955,23.365,21.841
T4,4.257,11.3,50.113,52.522
T2,2.135,6.931,31.623,27.825
T1,1.762,5.177,19.954,20.088
T3,2.842,9.341,38.118,36.448
T3,3.142,8.614,36.789,40.539
T3,3.253,9.27,36.839,37.883
T2,2.127,7.135,30.981,29.4
T2,2.317,7.319,28.53,27.928
