task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T7,0.001,106.36,162.78,10.85,1.05,153.16,154.17,106.1,100.36,102.13,164.73,9.66,0.99,162.4,170.5,107.36,105.39
T7,0.002,101.89,141.55,10.82,1.03,146.08,177.65,113.22,104.1,107.25,153.69,9.91,1.03,158.1,177.79,111.65,103.33
T5,0.005,101.29,175.65,10.24,1.0,153.64,153.44,106.34,102.93,105.27,150.93,10.34,1.01,160.47,157.86,97.79,98.35
T7,0.009,113.54,149.06,10.66,1.02,144.86,165.0,103.78,114.02,107.64,150.17,10.55,0.99,162.82,162.37,115.58,111.13
T2,0.011,111.81,159.2,10.74,1.0,147.77,166.0,106.02,108.05,110.53,154.65,11.37,1.07,150.01,151.79,109.19,109.23
T2,0.054,109.93,141.56,10.95,1.03,145.73,154.97,112.59,98.6,109.09,139.22,10.93,1.06,147.39,167.38,110.14,100.93
T6,0.055,103.43,142.18,9.75,0.96,149.12,147.1,102.15,105.23,109.19,144.96,10.94,0.97,167.43,148.53,108.93,92.9
T3,0.058,100.86,149.62,11.12,0.96,162.28,153.67,104.37,112.91,113.84,172.24,11.28,1.01,153.81,151.48,104.33,111.85
T1,0.062,97.44,156.43,11.09,1.12,154.09,157.6,104.47,111.22,104.71,150.09,11.29,1.07,153.59,145.48,99.64,95.85
T6,0.063,108.18,138.43,10.0,1.04,159.55,158.41,95.0,93.44,107.62,139.28,9.71,1.08,166.67,143.9,92.14,108.12
T4,0.075,104.15,151.34,10.8,1.15,151.54,143.31,106.74,107.61,94.62,156.35,10.14,1.02,147.15,143.97,103.43,94.95
T3,0.089,101.9,172.91,10.74,1.0,162.69,172.15,97.14,102.87,103.31,169.34,10.98,1.02,149.96,167.99,98.89,117.17
T6,0.091,99.36,141.06,10.82,0.94,168.26,144.97,100.29,92.46,108.34,152.5,10.03,1.1,157.12,146.01,93.95,97.75
T1,0.135,100.47,142.11,9.95,0.96,162.59,142.22,102.1,110.18,103.09,152.27,11.09,0.98,151.3,142.5,97.84,104.02
T5,0.194,106.86,174.65,10.82,1.01,158.79,165.54,101.36,110.23,110.52,167.41,10.64,1.06,144.16,151.31,107.62,96.12
T1,0.2,105.82,159.96,11.27,1.06,156.95,158.4,108.43,104.87,95.2,147.78,10.89,0.96,165.66,162.79,106.27,97.3
T3,0.244,99.3,152.72,10.98,0.98,170.7,174.09,107.25,102.7,116.04,155.6,10.72,0.95,164.8,148.82,102.88,117.05
T2,0.245,108.82,139.22,10.18,1.1,149.92,153.81,109.45,107.58,116.14,144.82,10.62,1.1,161.55,144.71,97.36,101.56
T3,0.247,111.21,156.22,10.47,1.02,164.32,163.62,109.16,102.65,108.16,149.48,10.8,1.05,163.8,159.11,104.81,104.5
T3,0.259,102.12,147.79,10.35,0.99,154.21,163.48,101.9,109.03,98.51,163.16,10.08,0.96,167.59,175.43,104.61,100.13
T4,0.264,110.36,166.06,10.7,0.98,146.51,147.31,105.87,106.94,109.81,159.21,10.02,1.14,144.89,146.08,102.18,102.67
T7,0.272,98.86,151.33,10.39,1.07,143.94,169.46,102.76,100.6,99.75,150.18,10.38,1.04,141.51,170.23,98.38,100.2
T6,0.281,95.98,139.1,10.59,1.08,171.37,168.1,95.45,103.83,110.62,151.1,9.88,1.07,161.27,148.56,104.64,106.88
T7,0.286,113.23,152.03,10.44,1.13,147.2,154.07,109.01,106.29,98.13,161.24,11.25,1.11,139.72,155.62,103.98,115.34
T10,0.295,109.07,151.43,9.85,0.96,176.66,151.33,110.57,109.96,95.6,175.95,10.08,1.05,158.33,160.99,108.05,116.96
T5,0.3,100.82,155.34,11.43,1.08,166.6,144.6,113.24,105.54,107.64,169.6,10.62,1.01,156.28,168.5,98.95,109.31
T5,0.301,95.7,154.32,10.82,1.02,166.63,145.61,108.61,101.1,95.53,169.92,10.18,0.99,144.66,162.82,99.2,97.84
T9,0.308,109.1,157.31,10.71,1.08,159.19,148.33,101.97,109.74,110.58,148.3,9.76,1.08,162.77,159.2,95.76,107.58
T9,0.327,112.49,144.88,11.2,0.93,142.0,173.31,105.79,111.97,100.24,146.31,10.37,1.02,159.14,172.85,112.44,100.27
T1,0.337,101.42,142.99,11.34,1.0,144.4,151.92,103.52,100.37,99.95,142.98,11.65,1.1,167.0,154.32,100.7,107.96
T2,0.338,110.88,146.71,11.55,0.96,149.96,151.79,111.98,98.48,117.5,151.86,11.12,1.09,157.24,155.29,112.83,100.76
T9,0.339,112.41,162.57,10.7,1.05,160.42,164.55,106.24,104.17,109.06,163.84,10.04,1.03,140.63,164.75,103.65,100.65
T3,0.373,116.21,161.64,10.96,0.94,170.51,154.8,100.87,104.59,105.32,170.95,10.71,1.04,162.78,173.32,96.23,109.32
T6,0.383,110.81,145.04,10.0,1.06,168.35,164.82,105.43,100.63,102.32,156.01,9.52,1.05,170.65,162.32,93.89,103.13
T10,0.397,111.12,159.29,10.59,0.97,158.12,155.1,105.96,118.85,109.69,162.35,9.57,1.06,170.02,155.67,111.7,113.8
T7,0.433,105.66,154.98,10.31,1.0,144.76,171.37,113.58,114.02,100.49,156.88,10.88,1.07,145.27,176.16,107.36,109.08
T1,0.445,95.99,143.56,10.73,1.1,152.32,155.23,108.91,100.12,107.58,151.64,11.17,0.97,165.44,166.11,98.61,101.07
T4,0.451,109.34,161.05,10.12,1.11,164.43,141.77,99.76,107.58,102.07,146.4,10.37,1.08,167.58,150.53,108.08,102.13
T4,0.451,100.34,142.68,10.69,1.01,157.9,144.12,115.99,102.51,93.24,153.65,11.38,0.99,154.2,161.55,109.93,102.24
T6,0.457,105.72,155.38,11.17,1.06,150.8,147.53,96.97,101.62,100.21,149.88,10.95,1.1,148.07,166.87,97.32,99.06
T1,0.477,99.91,145.25,10.02,1.03,147.19,162.95,104.64,108.37,103.09,145.58,11.34,1.1,163.83,153.91,99.96,110.69
T9,0.521,99.28,151.52,9.48,1.01,162.35,159.47,109.06,101.18,113.88,157.01,10.44,1.04,147.38,159.06,111.61,102.54
T5,0.528,107.67,160.98,10.54,0.97,163.5,164.15,96.84,105.71,100.22,153.43,11.43,1.1,167.95,161.19,103.56,94.7
T5,0.539,95.52,174.59,11.4,0.99,147.98,165.14,102.01,98.9,108.68,162.82,11.05,1.09,156.25,166.98,102.94,104.85
T6,0.562,98.27,155.96,10.59,1.08,148.63,147.71,99.61,92.49,110.24,151.76,10.18,0.96,158.48,142.61,92.04,100.63
T9,0.566,108.09,163.14,9.93,1.01,141.11,169.86,111.07,102.38,107.13,166.0,10.01,1.06,163.5,171.02,109.72,106.44
