task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T1,0.439,107.14,9.68,1.01,110.73,10.44,5.12,1.08,4.88,104.65,9.34,1.15,113.44,9.88,5.21,1.01,5.44
T5,2.002,91.84,10.71,1.13,101.2,10.84,5.39,1.0,5.46,108.15,10.54,1.09,112.34,10.89,5.32,1.04,5.4
T10,3.68,104.76,10.55,1.09,94.91,10.04,5.4,1.07,5.21,113.1,9.67,1.11,109.67,10.3,4.97,1.07,5.09
T9,7.387,114.87,10.6,1.06,106.65,10.02,4.89,1.06,5.22,110.33,10.49,1.08,107.83,9.95,5.39,1.01,5.14
T9,10.245,112.96,10.04,1.1,102.93,9.93,5.32,0.98,5.04,111.05,11.26,1.0,114.78,11.31,4.76,1.08,5.45
T2,12.209,106.31,11.02,0.95,108.27,10.35,4.77,0.96,5.35,112.18,11.79,0.97,107.15,9.99,5.43,1.02,4.7
T8,13.66,103.49,10.3,1.09,94.53,10.41,5.48,1.08,4.61,104.37,9.72,1.15,98.31,11.18,5.54,0.99,4.89
T10,14.373,106.09,10.86,1.08,98.12,9.8,4.83,1.09,5.32,106.97,9.46,1.06,97.79,9.93,4.84,1.06,5.53
T1,14.563,103.63,10.04,0.98,111.22,10.98,4.84,1.1,5.04,110.0,9.58,0.97,108.4,11.04,4.68,1.01,4.92
T8,15.906,100.82,10.56,1.12,96.82,10.26,4.79,1.13,5.16,112.4,9.41,1.12,97.44,10.44,5.29,1.06,4.59
T5,17.914,93.85,9.63,1.14,95.07,9.65,4.76,0.95,4.7,105.74,9.61,1.12,96.9,10.62,5.39,0.98,4.96
T5,18.57,96.54,10.35,1.16,95.28,9.44,5.24,1.04,5.53,96.98,10.43,1.17,109.14,9.79,4.76,0.93,5.34
T5,19.504,97.7,9.79,1.06,111.09,10.91,5.16,1.02,4.89,103.47,10.34,1.1,97.84,10.15,5.05,1.0,5.35
T7,20.512,108.13,11.15,0.95,101.88,10.31,4.65,1.02,5.38,96.26,10.37,0.93,110.52,9.63,5.0,1.12,5.2
T10,22.819,100.17,10.68,1.1,97.81,9.65,4.95,1.01,5.39,106.4,10.08,1.04,98.43,9.47,5.61,0.99,4.96
T2,24.27,107.52,10.5,0.95,104.39,10.41,5.24,1.09,5.23,107.08,10.53,1.08,102.08,10.24,5.36,1.01,4.8
T1,25.863,110.35,10.36,1.07,105.07,9.78,5.48,1.06,4.83,117.27,10.0,1.14,117.74,11.2,5.48,0.98,5.3
T3,26.25,111.6,11.36,0.96,103.75,10.78,5.27,1.02,4.89,113.65,10.96,1.09,108.81,10.64,5.1,0.96,4.82
T6,27.312,108.34,10.01,1.08,108.82,10.31,5.81,1.06,5.23,110.97,10.4,1.16,105.08,10.21,5.68,0.96,4.86
T2,27.321,104.72,10.01,1.0,102.62,9.5,5.41,1.08,4.99,105.54,10.77,1.0,115.61,10.26,5.44,0.98,5.42
T3,31.214,106.72,10.72,0.99,96.65,9.93,4.7,0.98,5.3,106.45,11.18,1.04,111.36,10.91,5.16,1.01,5.27
T10,33.501,107.4,9.53,1.09,112.26,10.94,4.85,1.0,4.82,106.02,9.66,1.0,110.11,10.36,5.38,0.98,4.81
T7,34.579,98.52,10.66,1.05,101.18,10.71,4.8,1.01,5.64,102.26,10.15,0.94,97.25,10.17,5.45,1.16,5.56
T9,34.628,109.26,9.78,1.09,109.32,10.36,5.54,1.07,5.56,104.75,10.38,1.06,110.44,11.14,4.72,1.01,4.93
T7,35.464,100.16,10.25,1.09,108.18,9.92,4.65,1.16,5.38,102.67,9.97,1.08,104.84,9.64,5.32,1.08,5.64
T7,35.967,97.14,10.7,1.08,105.74,10.26,5.14,1.09,5.07,97.15,10.22,1.08,109.47,9.51,4.69,1.16,5.17
T8,36.478,111.23,9.73,1.0,109.21,10.62,4.92,1.14,4.68,111.63,11.03,1.04,99.95,10.96,4.82,1.17,5.08
T3,36.566,103.48,10.67,0.94,104.11,9.51,4.88,0.97,5.1,109.54,10.27,1.06,108.7,10.38,4.67,0.94,5.15
T3,37.513,100.47,10.78,1.05,99.66,10.45,4.59,0.97,4.83,108.94,10.2,0.98,109.93,10.96,4.71,1.08,5.41
T6,38.761,118.35,10.4,1.05,104.18,10.32,5.24,0.94,5.5,110.54,9.97,1.04,111.27,10.64,5.07,1.07,5.32
T10,39.556,104.45,9.68,1.08,101.96,9.61,5.44,1.08,4.8,109.26,10.87,1.02,99.56,9.83,5.26,0.99,5.35
T2,39.721,108.26,10.49,0.98,118.33,11.04,5.16,1.01,5.5,99.38,10.61,1.04,105.31,10.8,4.92,1.08,4.72
T6,40.805,100.13,9.91,1.15,100.39,10.13,5.12,1.02,5.44,104.57,9.28,1.14,114.55,9.34,5.69,1.01,5.18
T3,40.856,105.94,11.6,1.04,110.13,9.51,4.69,1.06,5.02,101.08,11.66,0.97,110.32,10.58,5.25,1.08,5.44
T7,41.953,98.53,9.72,1.06,107.36,10.78,5.23,1.17,5.33,109.38,10.96,1.08,105.61,9.65,4.73,1.09,5.36
T8,42.989,98.2,9.87,1.1,101.79,10.49,5.12,1.05,5.15,104.02,10.76,1.14,98.73,10.14,4.89,1.16,5.12
T2,43.763,107.88,10.73,0.98,111.38,10.21,4.96,1.1,5.21,105.2,10.96,1.04,105.8,10.06,4.92,0.96,4.76
T10,43.784,105.48,9.34,1.08,102.04,11.04,5.17,1.07,4.7,105.37,9.37,0.97,96.07,10.44,5.09,1.14,5.5
T5,45.487,99.06,10.75,1.12,103.99,9.59,5.41,0.93,5.23,98.19,9.69,1.11,102.23,9.84,4.96,1.08,5.4
T1,45.833,101.83,10.32,1.13,104.72,10.62,5.09,1.06,4.61,108.9,10.15,1.14,99.9,11.54,5.12,1.06,4.98
T1,46.341,100.3,10.14,1.03,115.19,10.63,5.22,1.13,4.93,107.96,9.42,1.11,106.88,9.91,4.75,1.1,4.61
T10,48.979,106.41,10.57,1.12,97.53,10.89,5.1,1.05,5.21,101.45,10.41,0.98,111.01,9.72,5.36,1.02,5.26
T10,49.002,103.42,9.31,1.08,106.08,10.94,5.17,1.03,4.72,99.54,10.16,1.03,110.2,9.99,5.49,1.11,5.22
T7,49.977,101.59,10.35,1.05,111.5,9.67,4.99,1.12,5.43,102.57,10.96,0.95,98.92,9.98,4.88,1.07,5.5
T4,51.238,116.3,10.28,1.02,110.65,9.67,5.22,0.98,5.38,107.46,10.75,1.11,111.31,11.18,5.58,1.04,5.68
T2,51.431,115.96,10.81,1.08,100.08,10.17,5.38,0.96,5.35,108.26,11.17,0.99,114.74,10.15,4.95,0.99,4.97
T5,52.372,106.06,9.4,1.16,98.51,9.52,4.76,1.09,4.76,99.22,9.33,1.12,94.7,11.1,5.24,1.05,4.84
T1,53.492,108.95,10.59,1.1,101.41,10.06,5.31,1.0,5.27,117.79,10.77,1.12,107.42,10.02,4.84,1.11,5.24
T3,56.504,105.43,11.07,1.08,111.45,9.68,5.02,1.05,5.02,108.57,10.86,0.95,101.27,10.59,4.6,0.92,5.11
T3,57.507,107.17,10.89,1.03,107.52,10.33,4.6,1.05,4.92,97.0,11.31,0.98,100.4,9.81,5.03,1.06,5.08
T10,58.45,108.95,10.62,1.06,98.4,10.06,5.64,1.02,5.37,101.78,10.98,1.14,103.07,10.71,5.09,1.13,4.99
T4,61.156,117.17,10.41,1.02,111.38,11.17,5.32,1.04,5.32,109.19,10.42,1.07,108.19,9.7,5.29,0.96,5.0
T5,61.389,104.31,9.88,1.1,101.1,10.23,5.24,0.95,5.25,106.33,10.32,1.11,105.72,10.47,4.88,0.92,4.91
T9,61.719,98.81,10.15,1.09,107.17,10.33,5.45,1.01,5.52,102.99,11.12,1.14,102.6,10.25,5.29,1.04,5.08
T7,62.575,101.85,11.22,0.99,108.81,9.84,5.08,1.09,5.42,106.17,9.54,1.04,114.29,10.59,5.2,1.11,5.41
T3,62.578,110.33,11.67,1.07,104.53,10.9,5.37,1.02,5.21,97.96,10.85,1.03,105.17,9.52,5.39,1.06,5.49
T1,63.022,109.03,10.38,0.97,117.31,9.73,5.39,1.02,4.77,104.71,10.88,1.08,107.59,9.76,5.49,1.12,5.16
T8,63.912,106.21,10.71,1.15,101.09,10.12,5.47,1.13,4.93,105.38,9.52,0.97,106.71,10.42,5.0,1.04,4.78
