task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.5,11.17,114.99,97.81,151.22,176.92,114.06,5.77,102.98,11.04,110.77,110.02,151.59,168.48,108.43,5.41,108.9
T8,1.035,10.0,98.83,98.76,154.64,169.38,101.11,5.49,102.47,11.14,111.81,111.35,157.76,148.17,113.24,5.67,100.22
T1,1.988,9.97,102.63,104.75,174.82,154.33,95.63,5.36,100.8,11.15,111.05,97.34,156.94,165.62,106.61,5.14,109.98
T4,2.053,10.33,101.01,108.14,158.55,144.04,114.84,5.91,100.63,9.96,99.21,111.7,157.2,165.69,110.22,5.39,100.33
T1,2.184,10.42,97.1,99.5,151.65,167.4,104.31,5.2,110.55,10.78,97.25,112.47,160.08,165.51,99.54,4.96,101.79
T3,2.889,10.46,92.89,101.57,160.08,167.15,113.81,5.15,111.87,10.84,108.28,98.34,162.04,162.0,106.86,4.8,100.26
T3,3.361,10.7,107.16,108.9,170.0,160.12,117.28,5.39,104.67,9.29,107.44,111.43,146.67,158.67,117.41,5.24,108.47
T2,3.912,10.01,117.24,101.16,146.47,165.27,106.44,5.75,110.73,11.16,103.39,109.57,152.05,162.46,101.48,5.61,106.49
T10,4.303,9.58,115.41,100.82,145.81,169.01,104.31,4.66,101.24,9.9,105.87,116.48,164.82,154.56,109.79,4.78,106.52
T4,6.94,10.09,107.5,110.86,156.04,145.86,113.86,5.19,105.53,11.46,112.45,101.51,159.1,164.61,109.82,5.72,117.4
T7,7.909,10.8,116.82,98.2,145.09,146.13,117.25,5.33,101.69,10.06,110.76,109.61,155.24,145.04,113.98,4.84,96.7
T1,8.406,10.46,104.55,112.12,170.03,174.19,97.55,5.28,101.23,10.67,103.45,102.51,154.12,152.44,102.88,5.24,110.38
T5,9.472,11.22,111.67,106.4,163.94,175.08,109.5,4.77,107.3,10.96,111.71,107.98,155.75,175.37,100.28,5.07,92.67
T9,11.11,11.23,111.73,108.94,170.52,160.91,95.78,5.36,99.33,11.66,104.22,104.67,155.65,160.73,105.18,5.56,94.91
T5,11.324,10.69,107.89,99.76,170.72,175.33,96.83,4.77,92.92,10.77,108.12,97.31,165.1,155.81,98.87,4.59,104.14
T8,12.255,10.82,101.72,100.52,144.24,150.09,101.04,5.84,95.67,10.81,99.41,101.01,154.29,166.01,104.88,5.4,103.17
T3,14.656,10.34,108.97,106.66,148.58,149.4,117.28,5.16,108.3,10.16,99.42,108.91,158.02,151.4,117.21,5.22,99.32
