task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
1,0.974,2.314,1.835,4.613,0.839,1.946,1.672,3.627,0.758
1,1.313,2.576,1.943,4.235,0.826,2.419,1.743,4.225,0.619
2,3.589,1.898,1.626,4.187,0.856,1.948,1.785,4.135,0.815
2,3.82,2.57,1.956,4.269,1.006,2.29,1.796,4.995,0.737
1,3.885,2.031,1.638,3.8,0.671,1.86,1.446,4.833,0.775
1,3.91,1.949,1.753,5.05,0.686,2.34,1.601,3.717,0.744
1,4.343,1.974,1.476,4.961,0.661,1.983,1.728,5.098,0.862
1,4.344,2.308,1.62,4.889,0.837,2.285,1.412,4.751,0.759
2,4.921,2.166,2.057,4.572,0.831,2.504,1.625,4.334,0.951
1,5.65,2.017,1.842,4.698,0.696,2.119,1.53,3.737,0.81
2,5.679,2.341,1.986,4.721,0.983,2.544,1.531,4.268,0.719
1,6.336,2.404,1.41,4.999,0.61,1.925,1.904,4.62,0.804
2,7.796,2.063,1.924,4.37,0.81,2.541,1.612,5.091,0.923
1,9.192,1.946,1.516,3.756,0.613,2.49,1.784,4.292,0.631
2,9.623,2.137,1.897,5.003,0.933,2.428,1.516,3.633,0.921
1,9.717,2.479,1.933,3.822,0.78,2.078,1.622,4.17,0.724
1,10.304,2.373,1.41,4.889,0.765,2.511,1.79,4.633,0.821
2,10.642,2.209,1.612,3.966,0.898,2.074,1.856,3.913,0.9
1,10.85,2.361,1.594,4.475,0.724,2.21,1.872,3.958,0.837
2,13.016,2.075,2.087,4.869,0.752,2.418,1.944,4.995,0.9
1,13.197,2.52,1.929,4.746,0.705,2.114,1.58,4.922,0.764
1,13.309,2.552,1.752,3.64,0.723,1.98,1.423,4.112,0.789
1,13.898,2.003,1.844,4.291,0.696,2.028,1.569,4.38,0.741
1,14.083,1.88,1.671,4.386,0.734,2.272,1.445,4.41,0.634
2,14.242,2.283,1.545,4.325,0.779,2.466,1.612,4.357,0.988
1,14.6,2.474,1.744,5.099,0.695,2.11,1.621,4.252,0.672
1,15.347,2.458,1.615,4.705,0.765,2.14,1.479,4.632,0.861
1,15.577,2.517,1.42,4.053,0.751,2.467,1.647,4.727,0.801
2,16.086,2.095,1.974,4.962,0.785,2.492,1.655,4.5,0.977
2,16.15,2.39,1.695,4.556,0.928,2.435,1.578,4.399,0.802
1,16.835,2.616,1.413,3.719,0.661,2.131,1.577,4.216,0.837
2,17.012,2.296,1.752,5.092,0.734,2.258,2.126,5.096,0.893
1,17.875,2.306,1.899,3.893,0.719,1.872,1.494,5.1,0.688
2,18.074,2.157,2.034,4.848,0.938,1.885,2.121,3.954,0.751
