task_type,m1_1,m2_1,m3_1,m4_1
T2,0.155,0.21,4.459,7.606
T2,0.177,0.197,4.72,8.157
T2,0.173,0.225,4.785,7.112
T1,0.013,0.015,0.393,0.619
T2,0.162,0.211,4.99,8.031
T4,1.178,1.29,31.85,54.225
T3,0.218,0.32,6.316,10.741
T4,1.038,1.301,30.705,54.1
T2,0.153,0.212,4.73,7.185
T2,0.163,0.219,4.954,7.546
T3,0.23,0.306,6.712,11.551
T2,0.158,0.212,5.107,7.318
T1,0.012,0.015,0.355,0.594
T1,0.013,0.017,0.377,0.588
T1,0.014,0.017,0.381,0.638
T4,1.035,1.376,32.934,46.678
T4,1.055,1.445,28.966,50.418
T2,0.169,0.205,4.717,8.205
T4,1.03,1.344,33.716,50.899
T2,0.164,0.198,4.436,7.939
T3,0.24,0.274,6.631,10.035
T3,0.217,0.279,7.246,11.349
T4,1.116,1.488,33.587,48.354
T1,0.014,0.017,0.344,0.577
T3,0.241,0.295,6.44,10.438
T1,0.013,0.016,0.399,0.567
T4,1.187,1.299,32.587,47.652
T3,0.246,0.282,7.131,10.017
T3,0.232,0.283,7.188,10.71
T1,0.014,0.016,0.382,0.543
T2,0.162,0.207,5.098,7.082
T3,0.25,0.317,7.179,10.983
T3,0.221,0.315,7.076,10.247
T2,0.173,0.224,4.473,7.626
T1,0.014,0.015,0.355,0.543
T1,0.013,0.016,0.358,0.608
T3,0.251,0.273,6.664,10.822
T2,0.175,0.202,4.64,7.251
T4,1.113,1.367,31.353,49.637
T4,1.096,1.501,30.43,48.614
T2,0.154,0.212,4.774,8.117
T3,0.245,0.317,6.224,11.544
T4,1.096,1.301,33.651,51.956
T4,1.091,1.435,31.727,50.248
T2,0.172,0.221,4.862,7.939
T4,1.067,1.29,29.805,51.027
T3,0.225,0.304,6.477,10.846
T2,0.159,0.194,4.571,7.53
T3,0.252,0.283,6.685,10.705
T2,0.18,0.223,5.087,7.824
T1,0.013,0.016,0.364,0.55
T4,1.035,1.299,30.547,50.587
