task_type,arrival_time
T3,2.467
T3,3.054
T3,10.52
T3,15.679
T3,22.204
T3,23.953
T3,26.705
T3,29.394
T3,33.255
T3,33.372
T1,35.842
T3,43.014
T1,43.657
T3,52.347
T1,53.212
T1,60.534
T3,70.513
T3,70.607
T3,73.2
T3,75.104
T1,77.256
T3,93.812
T3,95.418
T3,98.047
T1,101.245
T3,103.368
T1,105.152
T3,106.072
T1,115.1
T1,122.313
T3,130.375
T3,133.315
T1,148.792
T3,150.433
T3,160.074
T3,180.353
T3,194.74
T3,194.82
T3,196.543
T3,199.515
T1,203.103
T3,203.614
T3,205.908
T3,206.346
T3,210.87
T3,213.208
T3,216.118
T3,216.321
T3,226.97
T3,239.778
T3,240.539
T3,240.971
T1,241.878
T1,252.202
T1,253.337
T1,254.932
T3,257.369
T3,258.985
T3,269.252
T3,269.458
T3,276.999
T3,287.779
T3,295.447
T3,296.089
T1,305.215
T3,306.44
T1,320.641
T3,321.172
T3,324.817
T3,324.945
T3,329.34
T3,330.397
T1,333.221
T3,335.621
T1,338.858
T3,343.783
T3,344.29
T3,346.166
T3,347.333
T1,351.703
T3,355.627
T3,358.826
T3,360.54
T3,365.232
T1,374.117
T3,376.535
T3,384.66
T3,389.432
T3,398.171
T3,403.914
T3,432.563
T3,432.813
T3,448.103
T3,448.47
T1,450.401
T3,457.846
T3,466.849
T3,472.96
T3,475.042
T3,478.507
T3,478.899
T3,482.273
T3,488.23
T3,488.344
T3,494.163
T3,506.975
T3,507.796
T1,521.026
T3,525.922
T3,526.118
T3,526.23
T3,526.621
T3,530.665
T1,535.873
T3,536.39
T3,538.178
T3,544.498
T3,546.577
T3,557.897
T3,563.015
T3,565.237
T3,571.602
T3,574.86
T3,575.604
T1,579.756
T3,579.907
T3,581.54
T3,582.928
T3,596.137
T3,603.049
T1,614.311
T3,619.824
T3,639.439
T1,646.076
T3,648.101
T3,653.084
T3,653.345
T1,662.79
T3,671.745
T3,681.956
T1,682.561
T3,685.99
T1,692.701
T3,698.768
T3,699.007
T3,700.243
T3,704.064
T1,709.68
T3,717.544
T1,730.516
T1,734.332
T3,744.488
T1,746.475
T3,760.825
T3,761.691
T3,777.762
T3,777.84
T1,786.146
T3,788.825
T1,798.201
T3,808.72
T3,812.072
T3,823.551
T3,825.138
T3,826.158
T3,826.571
T3,831.286
T1,835.473
T1,837.0
T3,847.021
T3,861.445
T3,863.783
T3,867.053
T3,876.338
T3,878.74
T3,881.891
T3,882.11
T3,882.333
T3,888.844
T3,891.257
T3,924.893
T3,927.109
T1,931.952
T1,935.913
T3,953.817
T1,955.823
T1,959.764
T3,964.628
T1,966.232
T3,976.523
T1,978.477
T3,978.727
T3,992.979
T3,999.834
T3,1000.892
T1,1006.186
T3,1020.192
T3,1027.185
T1,1032.307
T3,1044.122
T3,1044.469
T1,1049.806
T1,1051.175
T3,1053.033
T1,1053.056
T1,1054.868
T3,1057.817
T3,1059.697
T3,1062.906
T3,1066.405
T3,1067.796
T3,1071.302
T3,1071.339
T3,1080.065
T1,1082.951
T3,1088.382
T1,1091.198
T3,1092.304
T3,1097.732
T3,1097.987
T1,1098.285
T3,1098.65
T1,1105.474
T3,1112.731
T3,1118.667
T3,1122.172
T3,1140.141
T3,1147.741
T3,1148.33
T3,1160.023
T3,1163.1
T3,1170.008
T3,1172.601
T3,1180.25
T3,1182.576
T1,1189.12
T3,1201.786
T1,1204.152
T3,1204.761
T1,1215.929
T3,1216.733
T3,1217.414
T3,1227.124
T3,1228.167
T3,1228.504
T3,1230.459
T1,1245.24
T3,1248.628
T3,1252.353
T3,1254.983
T1,1257.286
T3,1275.93
T3,1285.744
T3,1294.371
