task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
2,0.211,0.95,100.42,108.21,0.99,111.17,93.98,110.1,9.56,1.0,101.12,93.67,0.98,105.88,102.94,107.43,10.27
2,0.363,0.93,105.51,107.16,1.09,101.11,98.58,109.45,9.87,0.95,105.68,97.43,0.99,116.46,102.03,113.06,11.1
4,1.237,1.07,109.07,103.87,1.07,104.86,115.34,101.09,10.83,1.11,108.7,101.54,1.08,106.06,112.58,100.51,9.78
2,1.647,1.09,100.19,96.98,1.1,114.27,107.9,111.24,10.12,0.97,109.24,108.65,1.01,104.42,106.43,109.03,9.72
1,1.734,1.13,108.15,98.78,1.01,104.92,105.56,99.53,10.75,1.06,108.94,111.11,1.03,101.45,99.15,107.57,9.54
1,2.278,1.04,98.25,99.9,1.06,113.42,103.73,99.88,10.36,1.1,104.91,100.75,1.18,102.55,100.21,107.27,9.98
3,2.712,1.01,95.62,104.62,1.1,103.94,112.53,106.09,10.17,1.04,109.53,101.97,1.12,103.86,106.58,103.87,9.2
4,2.882,1.09,102.69,112.09,0.97,113.46,105.3,103.09,10.6,1.07,109.06,105.2,0.98,103.62,108.11,102.52,9.9
3,3.176,0.93,97.53,92.99,1.05,109.97,108.79,100.16,9.68,0.96,103.46,109.67,1.04,97.72,112.47,102.06,9.45
2,3.651,1.01,108.19,97.35,1.02,108.5,101.24,106.0,10.12,1.08,114.34,96.27,1.08,113.0,97.37,104.0,11.22
2,3.923,1.07,98.57,105.3,1.16,108.59,99.02,103.75,10.7,0.98,110.29,105.98,1.08,110.09,96.7,97.51,10.39
2,4.264,0.98,98.45,95.69,1.02,113.68,96.1,106.81,10.8,1.01,101.12,96.45,1.06,100.56,108.11,103.75,11.25
4,4.556,0.98,105.64,111.69,0.99,111.36,107.03,96.89,10.78,0.97,94.48,110.66,1.06,108.25,111.24,99.59,10.15
1,4.558,1.17,97.18,103.85,1.18,114.32,99.81,96.21,10.32,1.12,109.18,104.76,1.09,110.29,102.46,100.67,10.92
4,4.608,0.96,109.66,98.47,0.95,97.34,100.07,98.59,10.04,1.07,102.19,109.55,0.95,114.9,114.62,106.93,11.11
1,4.809,1.06,110.6,111.96,1.04,101.92,108.03,108.72,10.62,1.14,95.55,111.87,1.08,107.23,96.11,105.88,10.46
4,4.897,1.07,97.83,110.28,1.08,112.86,101.25,106.3,10.53,0.96,94.39,100.7,0.96,99.54,105.88,95.17,10.14
4,5.019,1.03,92.78,109.34,1.04,106.02,104.39,100.62,11.34,1.1,107.24,111.1,1.11,109.7,110.03,96.32,11.36
2,5.262,1.07,111.15,99.96,1.1,102.99,108.31,103.08,10.17,1.09,107.78,105.89,1.03,101.13,98.59,110.0,10.76
4,5.495,1.1,106.88,103.87,0.95,110.9,105.91,99.44,10.49,1.08,103.22,98.82,1.06,108.59,114.56,101.69,10.26
4,5.839,1.0,99.96,109.78,1.05,104.56,110.04,107.54,11.24,1.08,98.26,100.12,1.12,97.68,104.8,102.45,11.57
2,6.313,1.04,102.02,104.35,1.01,103.24,98.63,105.77,9.93,1.01,108.09,109.74,1.1,114.28,96.1,110.5,10.17
