task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T2,0.833,101.63,10.11,1.01,98.61,10.07,1.01
T1,2.485,99.5,101.22,10.04,98.33,100.23,10.02
T1,2.731,100.31,99.53,9.99,101.17,101.51,9.95
T3,4.815,101.59,0.99,9.99,100.48,0.99,10.0
T3,5.602,101.01,1.01,10.08,100.81,1.0,9.85
T2,6.52,101.4,10.02,0.99,99.93,9.9,1.0
T1,10.508,98.35,98.7,10.13,98.32,100.36,10.1
T3,24.427,99.94,1.01,9.87,101.67,0.98,9.96
T3,25.168,98.53,0.98,9.99,100.04,0.99,9.9
T1,26.642,101.6,100.17,10.01,101.54,100.76,9.91
T3,27.231,101.31,1.0,9.97,99.51,0.99,9.96
T2,27.794,98.76,10.02,1.0,98.37,10.14,1.01
T2,28.158,99.58,9.95,1.01,99.18,10.02,1.01
T2,32.001,101.66,10.17,0.99,100.88,10.16,1.01
T2,32.869,99.01,10.01,1.01,101.64,10.09,0.99
T1,33.455,100.28,98.4,10.11,101.66,100.43,10.13
T2,38.868,100.65,10.11,1.0,101.21,10.06,1.01
T1,41.761,98.6,101.52,9.97,98.66,101.32,10.08
T1,41.921,99.1,99.39,10.12,100.35,101.34,9.94
T3,42.664,98.84,1.01,10.16,99.95,1.02,9.88
T3,46.196,99.11,0.99,10.01,98.29,1.01,10.06
T1,50.274,100.82,101.45,10.01,98.31,101.52,10.1
T2,57.041,99.37,10.15,0.99,99.32,10.15,1.0
T2,63.18,101.44,9.85,1.01,99.54,9.99,1.0
T3,64.598,100.29,0.99,9.99,101.29,1.0,10.1
T2,77.781,100.18,9.92,0.98,99.7,10.07,0.99
T2,78.983,101.37,9.85,0.99,101.0,10.1,1.01
T1,85.824,99.14,99.41,10.05,100.29,100.0,10.12
T3,106.171,99.33,1.01,9.93,100.14,0.99,10.03
T1,109.604,98.6,98.53,9.87,98.54,98.46,10.15
T2,112.657,101.17,9.91,1.0,99.5,9.86,1.0
T2,115.04,101.09,9.91,0.99,100.72,10.0,1.02
T3,115.214,98.31,1.0,9.92,99.39,1.01,9.93
T2,118.31,99.64,10.04,0.99,101.72,9.99,1.01
T3,121.945,100.99,0.99,9.95,101.34,1.01,9.96
T1,125.969,101.09,99.67,10.06,101.6,98.29,10.11
T1,127.408,101.02,101.69,10.07,98.44,99.46,9.99
T3,127.491,100.41,0.99,10.02,100.33,0.99,9.83
T2,129.727,99.43,10.13,1.01,98.4,9.93,0.99
T3,130.926,98.94,1.01,9.89,100.43,0.99,9.85
T3,137.283,98.82,0.99,9.96,98.42,0.98,9.91
T3,148.22,100.18,1.02,10.06,101.56,1.01,9.95
T3,149.421,99.04,0.99,9.98,99.83,0.99,9.99
T1,155.451,100.18,101.32,9.93,98.32,100.18,10.07
T2,162.942,101.12,10.07,1.0,100.76,10.04,0.98
T3,169.766,98.58,0.98,9.98,100.55,1.0,9.92
T3,176.064,100.11,1.0,9.9,98.64,0.99,9.85
T1,179.776,101.21,98.76,9.97,99.62,101.08,9.84
T1,182.031,99.13,101.27,10.06,100.88,101.65,9.96
T2,186.654,98.57,9.97,1.01,99.06,9.98,1.0
T1,194.538,98.67,100.92,10.16,100.09,100.43,10.12
T1,194.797,100.79,100.77,10.03,98.98,98.73,9.89
T1,196.349,98.61,98.52,10.08,100.82,99.92,9.97
T3,198.857,98.49,1.01,10.15,100.17,1.0,9.9
T1,201.103,101.62,99.48,10.12,98.45,99.49,10.07
T1,203.251,98.94,100.86,9.99,100.01,98.3,9.88
T3,207.321,100.83,1.01,10.17,101.17,0.98,10.05
T1,221.037,98.79,99.62,9.93,101.08,101.67,9.99
T3,222.939,101.32,1.01,10.12,99.6,1.01,9.9
T1,242.353,100.78,101.52,10.04,99.23,101.67,10.1
T3,244.666,100.24,1.0,10.12,98.8,1.01,9.96
T2,245.369,101.56,10.02,1.0,98.9,9.87,0.99
T1,247.635,99.75,99.73,9.94,99.62,100.47,10.14
T1,252.433,100.61,101.58,10.11,101.5,100.15,10.13
T3,253.796,101.16,0.98,10.07,101.59,0.99,10.02
T1,253.914,99.26,101.09,9.98,98.27,101.14,10.04
T1,255.01,100.48,98.4,10.15,99.62,99.13,9.84
T3,262.141,99.98,0.99,10.0,100.18,0.99,9.87
T3,266.545,101.15,1.01,9.98,100.93,1.0,10.16
T2,269.105,99.89,9.9,1.0,99.14,10.01,1.0
T1,270.601,98.36,101.53,9.9,100.82,100.37,10.13
T3,276.259,101.22,1.01,10.1,101.13,1.01,9.9
T2,277.187,99.57,9.97,1.01,99.85,9.96,0.98
T1,282.04,99.27,99.61,9.99,100.03,98.42,9.85
T1,282.757,98.68,99.27,10.09,99.57,100.44,9.83
T3,284.039,99.19,1.0,10.16,100.35,1.01,10.05
T2,285.945,100.1,10.17,0.99,100.87,10.04,1.01
T1,290.926,99.31,98.33,9.93,98.71,98.34,9.93
T1,297.346,100.63,100.95,9.86,101.31,99.67,10.01
T3,298.641,100.12,0.98,10.12,101.02,1.01,10.06
T3,300.398,100.02,1.0,9.98,99.45,0.99,10.08
T2,306.771,101.34,10.15,1.0,100.41,10.14,1.0
T2,312.031,101.43,10.09,1.0,101.72,10.01,0.99
T1,320.893,100.44,99.02,10.03,101.07,98.83,9.83
T3,322.936,98.31,1.0,9.92,101.59,1.02,9.87
T1,336.709,98.6,98.98,9.91,98.96,101.09,9.93
T2,344.112,101.32,9.85,1.01,99.14,10.17,1.0
T1,348.227,100.62,99.94,9.95,99.49,100.28,9.98
T1,358.275,98.81,101.21,9.94,99.56,100.23,10.12
T2,384.841,100.11,9.9,0.99,99.92,10.09,0.99
T1,395.499,100.38,98.85,10.03,100.38,100.34,9.99
T2,408.679,98.72,9.94,1.01,100.36,10.0,0.99
T2,420.796,101.2,10.17,1.01,99.41,10.07,1.0
T2,423.858,100.49,9.84,1.0,101.05,9.84,0.99
T2,429.772,100.72,10.06,1.01,98.96,10.07,0.99
T2,435.338,100.5,10.0,1.01,98.32,10.16,0.99
T1,449.474,99.23,99.11,9.97,100.28,100.95,9.97
T1,454.631,100.82,101.06,10.11,98.35,101.56,9.93
T1,458.06,99.34,99.01,9.92,101.39,101.22,9.83
T1,477.957,99.12,100.32,9.98,100.36,98.85,10.09
