task_type,m1_1,m2_1,m3_1,m4_1
T2,35.825,68.247,118.72,127.961
T2,40.89,63.936,125.658,137.231
T2,40.109,73.095,127.393,119.659
T1,33.991,55.976,118.869,118.398
T2,37.499,68.451,132.845,135.114
T4,48.631,74.678,151.21,162.674
T3,38.957,79.956,129.587,139.258
T4,42.872,75.305,145.772,162.299
T2,35.52,68.678,125.937,120.883
T2,37.81,70.98,131.884,126.953
T3,41.059,76.546,137.703,149.752
T2,36.511,68.874,135.967,123.126
T1,32.815,56.194,107.413,113.609
T1,34.273,61.816,114.095,112.423
T1,35.598,61.137,115.232,121.872
T4,42.742,79.657,156.353,140.034
T4,43.548,83.621,137.517,151.254
T2,39.207,66.416,125.58,138.052
T4,42.522,77.804,160.067,152.696
T2,37.889,64.191,118.103,133.574
T3,42.815,68.518,136.043,130.096
T3,38.699,69.773,148.672,147.135
T4,46.054,86.133,159.456,145.062
T1,35.755,63.033,103.952,110.219
T3,43.044,73.769,132.121,135.327
T1,34.463,58.28,120.779,108.459
T4,49.019,75.152,154.707,142.956
T3,43.887,70.438,146.311,129.864
T3,41.338,70.779,147.472,138.853
T1,36.228,59.702,115.584,103.727
T2,37.544,67.136,135.735,119.146
T3,44.562,79.385,147.285,142.388
T3,39.372,78.752,145.178,132.846
T2,40.062,72.622,119.085,128.295
T1,35.897,55.05,107.291,103.849
T1,33.766,57.501,108.397,116.276
T3,44.699,68.242,136.724,140.301
T2,40.545,65.545,123.537,121.992
T4,45.962,79.105,148.849,148.912
T4,45.244,86.855,144.464,145.841
T2,35.745,68.696,127.106,136.567
T3,43.736,79.35,127.701,149.669
T4,45.239,75.288,159.759,155.869
T4,45.062,83.055,150.623,150.744
T2,39.81,71.578,129.459,133.575
T4,44.064,74.654,141.498,153.08
T3,40.172,76.016,132.884,140.618
T2,36.758,62.914,121.688,126.695
T3,44.946,70.751,137.16,138.784
T2,41.752,72.384,135.433,131.628
T1,34.773,58.387,110.135,105.204
T4,42.726,75.166,145.021,151.761
T3,44.631,76.651,145.104,136.805
T1,34.681,62.242,103.407,103.131
T2,38.069,68.163,137.973,118.706
T3,39.321,76.798,151.666,130.331
T3,44.169,74.644,151.646,149.536
T4,42.249,76.33,159.335,160.575
T3,44.465,71.889,129.087,135.347
T4,47.746,84.68,159.794,160.484
T4,44.96,84.617,158.621,138.986
T2,35.456,66.669,125.198,123.932
T1,33.934,55.336,121.963,117.278
T1,33.502,64.452,106.238,121.75
T2,39.274,69.004,135.086,119.026
T1,34.325,55.7,111.224,117.536
T2,40.948,73.122,124.451,122.434
T4,41.536,78.347,153.937,160.461
T4,42.346,79.005,156.953,137.778
T4,44.841,77.23,153.611,148.692
T4,44.894,83.079,137.265,155.813
T2,36.282,68.41,129.155,128.642
T3,43.038,68.88,132.647,144.035
T1,31.274,58.659,111.89,121.357
T3,41.829,71.283,136.908,130.917
T2,36.697,64.477,117.376,118.174
T2,38.65,62.998,118.145,120.891
T4,46.787,74.546,154.073,158.115
T3,44.426,75.726,144.077,145.23
T3,42.743,74.892,134.205,131.814
T2,39.183,65.707,129.257,117.241
T2,41.755,69.833,129.79,118.792
T3,42.795,73.937,150.972,146.683
T3,45.634,79.31,150.853,145.108
T3,44.862,80.725,144.19,143.957
T4,43.129,77.01,155.83,156.006
T3,39.263,80.877,130.602,132.825
T3,40.276,78.624,128.305,144.928
T4,41.899,75.017,161.676,146.011
T2,36.741,68.056,119.839,129.56
T3,41.465,73.783,146.781,146.804
T3,44.585,71.337,145.049,149.861
T1,33.533,55.32,112.558,106.77
T4,48.8,81.336,154.391,160.708
T1,31.82,56.01,114.226,112.218
T4,47.913,81.043,141.174,154.127
T4,45.521,74.369,138.988,162.659
T3,39.03,68.3,134.056,135.534
T4,48.292,81.991,141.339,162.014
T3,41.815,78.038,149.617,142.275
T2,41.752,68.26,117.955,124.756
T3,43.013,78.947,146.262,140.152
T3,38.993,75.614,145.244,136.676
T2,39.935,72.93,130.731,133.302
T2,38.801,73.809,126.478,124.964
T3,41.604,78.413,151.513,149.472
T1,35.485,62.587,115.534,119.379
T2,39.922,73.734,121.028,123.888
T2,37.6,72.747,129.684,116.602
T2,37.51,68.134,119.331,135.633
T3,42.106,73.579,128.265,147.284
T4,46.031,73.35,146.702,143.246
T1,35.737,61.953,116.541,121.805
T1,33.838,65.238,118.51,104.758
T2,41.252,71.127,124.921,121.383
T3,41.512,77.056,149.751,147.853
T2,36.205,67.129,128.708,130.324
T4,43.097,82.268,137.315,153.62
T2,38.258,68.875,117.3,128.998
T1,31.747,62.165,114.133,119.061
T3,41.485,75.477,130.368,150.582
T1,34.899,59.127,121.455,117.477
T1,32.133,55.056,106.886,118.169
T2,36.877,71.486,126.718,118.178
T1,31.492,64.008,110.798,105.113
T1,36.239,57.845,114.034,104.095
T1,31.81,55.551,110.941,117.173
T4,47.909,74.773,139.456,151.944
T4,41.752,81.382,149.057,137.612
T1,35.365,55.143,118.228,107.681
T4,49.069,83.911,141.454,142.812
T1,33.281,59.125,113.702,114.346
